feature,coefficient,abs_coefficient
ختك,10.577845670470035,10.577845670470035
وجوه,9.871241401906717,9.871241401906717
كلاب,9.800022176187687,9.800022176187687
نيك,9.629982914735093,9.629982914735093
امك,9.629192211015647,9.629192211015647
شر,8.488260486117005,8.488260486117005
بوصبع,8.003953627711518,8.003953627711518
الكلاب,7.846941290618944,7.846941290618944
حمار,7.755615053896622,7.755615053896622
المازدا,7.599188045807758,7.599188045807758
مزيه,-7.588273211065766,7.588273211065766
تكذب,7.578550260840871,7.578550260840871
كلب,7.559058294242457,7.559058294242457
الكلب,7.558691709379852,7.558691709379852
علابالي,-7.1685553636505945,7.1685553636505945
الكفار,7.035506479522133,7.035506479522133
بغل,7.016559124131806,7.016559124131806
زبي,7.002616323422697,7.002616323422697
شكوبي,6.999488763362929,6.999488763362929
اختك,6.971082689181762,6.971082689181762
سبي,6.922700536867263,6.922700536867263
جاهل,6.812583866041642,6.812583866041642
الحمير,6.709623706542295,6.709623706542295
مك,6.702384921013583,6.702384921013583
لعنه,6.549590539149419,6.549590539149419
عملاء,6.514366990473611,6.514366990473611
وعلاه,-6.36384076295094,6.36384076295094
وجه,6.354669512174674,6.354669512174674
الشعر,6.336040863033747,6.336040863033747
الباجه,6.332525089789099,6.332525089789099
الزواف,6.328199812325688,6.328199812325688
الغاز,-6.260954039893202,6.260954039893202
عميل,6.223778185658417,6.223778185658417
كافي,6.222025033777288,6.222025033777288
تعاني,-6.217012003345283,6.217012003345283
ترمتك,6.2088283722466775,6.2088283722466775
العار,6.192070730549193,6.192070730549193
طحان,6.0936124886194625,6.0936124886194625
الذباب,6.075931679544532,6.075931679544532
nik,6.065745106780152,6.065745106780152
خاين,6.039740330122708,6.039740330122708
سراق,6.030046645756542,6.030046645756542
روحي,6.00588322751481,6.00588322751481
نكره,5.9789153286796255,5.9789153286796255
نقش,5.9699063411956645,5.9699063411956645
الموت,5.9574823726261625,5.9574823726261625
كذاب,5.933130057916104,5.933130057916104
الكعب,5.909503193324025,5.909503193324025
