texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
يا خي بترونه,1,1,0,0,0.38785204,0.6121479,False
بغل حركي,1,1,0,0,0.33680937,0.6631906,False
خارينا,1,1,0,0,0.37928945,0.62071055,False
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,0,0,0.437488,0.56251204,False
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,0,0,0.4109273,0.5890727,False
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,0,0,0.47893393,0.52106607,False
عملاء فرنسا يسيطرون الجزاءر,1,1,0,0,0.37167007,0.62832993,False
جاري الخروج الصفحه الكاشيريه,1,1,0,0,0.38917658,0.6108234,False
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,0,0,0.4618808,0.5381192,False
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,0,0,0.44557163,0.55442834,False
دوك الصلاه تمنيكو بيها,1,1,0,0,0.3343364,0.6656636,False
الكعباخطرمنذالكورونا,1,1,0,0,0.37928945,0.62071055,False
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,0,0,0.38699195,0.613008,False
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,0,0,0.39876726,0.60123277,False
se9si yemak tgoulk awlid,1,1,0,0,0.3459915,0.6540085,False
el khra yaw,1,1,0,0,0.34640077,0.65359926,False
khanza faiha tfo,1,1,0,0,0.3344765,0.6655235,False
كس امو لي ميحب فري فاير 😑,1,1,0,0,0.43399537,0.56600463,False
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,1,0,0,0.4139252,0.5860748,False
😅😆,1,1,0,0,0.3745489,0.6254511,False
ya zitout tfo,1,1,0,0,0.35211685,0.6478832,False
لخماج خامجين كواvا,1,1,0,0,0.30926037,0.69073963,False
ta kalb chmata wa r7is wo tahan tffo,1,1,0,0,0.40458417,0.59541583,False
طز روحو الامارات,1,1,0,0,0.3433468,0.65665317,False
اخرج ازبل اخرج,1,1,0,0,0.3350484,0.66495156,False
ballon mach balloon camarade mach camarad et3elem nta boudaoui sahal,1,1,0,0,0.4819977,0.5180023,False
ولاد لكلاب كلاو بعضهم بعض 😂,1,1,0,0,0.39337662,0.6066234,False
اله يذلك يا ديوث يا كبول,1,1,0,0,0.49211374,0.5078863,False
مهم حاول خير فخونشي صح,1,1,0,0,0.34910923,0.65089077,False
