texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,1,True,0.54313266,0.45686734
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.21210262,0.78789735
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.35955685,0.64044315
بغل حركي,1,0,False,0.3766445,0.6233555
خارينا,1,0,False,0.33863288,0.6613671
بنات الفميليا الجزاءر,0,0,True,0.27482748,0.7251725
الله يبارك ما شاء الله,0,0,True,0.12144027,0.8785597
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.5036946,0.4963054
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.37108895,0.628911
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.6506333,0.34936672
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.6442047,0.35579532
انا شريتها من قسنطينه,0,0,True,0.17900276,0.82099724
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.44036973,0.5596303
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.5321311,0.46786892
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.49522364,0.50477636
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,1,False,0.55850345,0.44149655
بركولي ليوم شريت,0,0,True,0.26277116,0.7372289
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.61621076,0.38378924
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.6981628,0.3018372
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,True,0.586046,0.41395402
الي روتور,0,0,True,0.32445663,0.67554337
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,True,0.58011824,0.41988176
عملاء فرنسا يسيطرون الجزاءر,1,0,False,0.44727668,0.5527233
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,True,0.32674447,0.67325556
تحرمن كيو تاع حمادي,0,0,True,0.42762464,0.57237536
فيف لقبايل,0,0,True,0.38188607,0.61811393
اه يالزح ما تفكرناش,0,0,True,0.32974538,0.6702546
جاري الخروج الصفحه الكاشيريه,1,0,False,0.446927,0.553073
ربي يهديكم,0,0,True,0.27300033,0.72699964
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.39881164,0.60118836
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.6157336,0.38426638
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,0,False,0.44118324,0.5588168
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.4051881,0.5948119
نعبد ربي الحمد اله يا رب,0,1,False,0.6619749,0.3380251
جي دورونج تاع التفاح,0,1,False,0.5671322,0.43286783
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,True,0.5338924,0.4661076
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.6216342,0.3783658
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,1,False,0.5152576,0.4847424
وانت وين راك,0,0,True,0.26528648,0.73471355
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.60703504,0.39296496
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.3430606,0.6569394
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.6283057,0.37169433
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,0,False,0.37611362,0.62388635
لقد اشتريت واحده ولم اعلم,0,0,True,0.29210487,0.70789516
نحي فلسطين دار اسراءيل💔☹,0,0,True,0.48105183,0.5189482
دوك الصلاه تمنيكو بيها,1,0,False,0.26350635,0.73649365
يوجد نقطه بيع ولايه سكيكده,0,0,True,0.19777101,0.802229
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,1,False,0.52664787,0.47335213
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,True,0.45569152,0.5443085
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,1,False,0.6042364,0.39576358
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,True,0.5088574,0.49114257
