texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
خارينا,1,0,False,0.014298309572041035,0.985701690427959
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,0,False,0.20196689665317535,0.7980331033468246
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,False,0.10150719434022903,0.898492805659771
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,0,False,0.1582707017660141,0.8417292982339859
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,0,False,0.24554608762264252,0.7544539123773575
khanza faiha tfo,1,0,False,0.09475497901439667,0.9052450209856033
😅😆,1,0,False,0.4422975778579712,0.5577024221420288
حياتي كامل كرهت زوج عباد برك اكتشف الجزاءر وجدي الكبير استوطن,1,0,False,0.36792677640914917,0.6320732235908508
مهم حاول خير فخونشي صح,1,0,False,0.04128660261631012,0.9587133973836899
هواتف رديءه باسعار باهضه,1,0,False,0.047134172171354294,0.9528658278286457
hasbiya allah wa ni3ma el wakil fik,1,0,False,0.157861590385437,0.842138409614563
ان شاء الله قاع يتحاسبو,1,0,False,0.23752649128437042,0.7624735087156296
خلونا الدراما والعاطفه تاكدنا بلي ربراب غالط ندافعوا علاخاطر قبايلي كقبايلي نقول بلي خان ثقتنا السنين ومايسحقش ندافعوا ثبت ادانته يعني سقوط رءوس الفساد وماتخافوش ماراهمش رايحين يسلكو السعيد وجماعته ودالته يكن ربك نسيا نهدرو بالعقل,1,0,False,0.3111879229545593,0.6888120770454407
anta arkhis,1,0,False,0.44768431782722473,0.5523156821727753
احنا الجزايرين قاعدين نكسرو بعضانا تشراك الفم,1,0,False,0.047499753534793854,0.9525002464652061
يا جماعه مافهمت والوا قاستو الرجله النيف يتكلم الدين يقول المنكر الفساد حنا كامل نخافوا ربي نتقوه نتوما كامل تحبوا الغفه الطهاره املا شكون راه يكذب بنات الناس شكون راه يزني البغايا العاهرات تقولولي الشرطه الامن شكون الشرطه شكون ياخي منا علينا كامل جزايرين يحل فموا يبدا بنفسه يتقي اله ربي يهدينا يرفق بينا,1,0,False,0.4437558054924011,0.5562441945075989
الكل مع محاربه الفساد والفاسدين المشكوك فيهم ولست متضامن مع ربراب ولا غيره فالمحكمه هي الفاصل,1,0,False,0.1431140899658203,0.8568859100341797
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,0,False,0.056376729160547256,0.9436232708394527
مادام القبائل مع ربراب فان ربراب مظلوم جيبو حداد لا واحد اخر تشوفو لقبايل كيفاش يبولو عليه,1,0,False,0.3443717062473297,0.6556282937526703
alkhana mol mazda hadi srarlek lik,1,0,False,0.25992482900619507,0.7400751709938049
نوميديا بزول,1,0,False,0.010341339744627476,0.9896586602553725
بهلول,1,0,False,0.36420920491218567,0.6357907950878143
بالنسبه لناس الي تادفع ربراب بحجه توفيره لمناصب شغل سجنه سيجعل الاف الناس بطاله ويقولك ماغاضنيش ربراب غاضوني الناس الي تقطع رزقها نقولهم كيما قولتو لبوليسي نحي الكاسكيطا وارواح معانا وقلتولو خاوه خاوه والرزق ربي نقولكم ربراب يتحاسب وخاوه خاوه والرزق ربي واذا مانصب الشغل حداد تاني موفر مناصب شغل وكونيناف موفر مناصب شغل تاني ماغاضنيش البوشي غاضوني الناس الي كانو يخدمو معاه ويبيعو فالكوكاين وماغاضنيش الصراف تاع الزطله غاضوني الناس الي تبيع بالطرف وتسترزق منو,1,0,False,0.2859010696411133,0.7140989303588867
يالمنافقين,1,0,False,0.011377446353435516,0.9886225536465645
اح لفريش,1,0,False,0.03439244627952576,0.9656075537204742
عبلويه 10😵,1,0,False,0.12464489787817001,0.87535510212183
سحب الجنسيه الجزاءريه منهم واله مسءلين حمير,1,0,False,0.2611185610294342,0.7388814389705658
الشعب قال له نريد رب الدزاير في الحراش,1,0,False,0.027581945061683655,0.9724180549383163
نرجعو لمقوله ديدين فوك المروك ومحمد السيس نهار دار غنيه تع فوك لافرونس بلاتوني تع البياسجي,1,0,False,0.05035146325826645,0.9496485367417336
خليو العداله تحكم واش يكون ربراب هذا ملاك معلابلناش,1,0,False,0.47082364559173584,0.5291763544082642
راك دير فالفتنه اوماتربح صبعي الوصطاني تقعد عليه,1,0,False,0.21942290663719177,0.7805770933628082
السبب تع هادو قاع ربراب هو لي زاد في السردين او السيارات هو العصابه تع قاع المنتوجات كشيريست,1,0,False,0.3533795177936554,0.6466204822063446
صحا قوادتك,1,0,False,0.4616987705230713,0.5383012294769287
ال تحلب ولا يهدر معطوب,1,0,False,0.22736048698425293,0.7726395130157471
🖕🏻,1,0,False,0.4422975778579712,0.5577024221420288
اسوء سياسه لجلب التفاعل سياسه الحملات الانتخابيه الجزاءريه,1,0,False,0.02921602874994278,0.9707839712500572
نعلم انك حثاله السلاله سلاله زيط زيط زيط زيط,1,0,False,0.035727377980947495,0.9642726220190525
سيريسلي لي يلبسو لاكوسط لاريني اعطيه غنيه نتاع بيلو يعطيك ختو نورمال,1,0,False,0.3411102592945099,0.6588897407054901
wallah ma andek 3lamn tahachmi zayla,1,0,False,0.08840800076723099,0.911591999232769
روحنا لتصنيع السيارات ليس خدمه للمواطن بل مخططات العصابه للسرقه كما العاده,1,0,False,0.0532204806804657,0.9467795193195343
نكفر بيهم,1,0,False,0.07446087896823883,0.9255391210317612
مالا حبسو حتى نتوما من تقديس ربراب 😕 بسبابكم درتونا التشتيت على باقي المطالب,1,0,False,0.10247110575437546,0.8975288942456245
عفن السلام,1,0,False,0.06145478039979935,0.9385452196002007
الرئيس وحيد لفات سلال في تهريج,1,0,False,0.03264559432864189,0.9673544056713581
حثاله المجتمع,1,0,False,0.12939275801181793,0.8706072419881821
صحا عليك امير دبلوم ان شاء الله يكون فال خير عليك مزيد من التعريه للنظام بدون رحمه,1,0,False,0.20640723407268524,0.7935927659273148
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,0,False,0.09322881698608398,0.906771183013916
هادي لباج تعي وناسها صح يعيو يعرفو دين لعقيله,1,0,False,0.3535802364349365,0.6464197635650635
الشعب ما عادش يتكل على الحكومه الداعمه للفساد وراح يبني بلاده تحيه لاهل جيجل,1,0,False,0.09049544483423233,0.9095045551657677
مبروك علينا يا امير هكدا العصابه تحكملك الختان,1,0,False,0.1764446645975113,0.8235553354024887
في سبيل التذكير فان ربراب قام باستوراد الحديد المشع من اكرانيا حيث بعد حادثه تشرنوبيل النوويه قامت اكرانيا بدفع اموال من اجل التخلص من الحديد المشع ربراب قام باحضاره بيعه للجزائريين هذا ما يفسر الارتفاع الكبير في عدد المصابين بالامراض السرطانيه كذلك الكثير من الامراض التي لم يستطع الاطباء تشخيصها نسال المولى عز جل ان يعاملك بعدله,1,0,False,0.25319936871528625,0.7468006312847137
الاخرار لو كنت بالفعل حر لكنت تناضل من الداخل,1,0,False,0.414310485124588,0.585689514875412
nktha,1,0,False,0.4527199864387512,0.5472800135612488
بالله عليكم هل يستحق ربراب الدفاع عليه وكل هذا التهريج حتى ملال شرفطها كاتشوب بنعناع والله سماطه شركه ولديها محامين ومحاسبين ويحاسب باسم القانون راه في التحقيق راه قادر على روحو نترك العداله اذا مادار حتى حاجه راه برئ من التهم البلاد ونديرو راينا تحيا الجزائر,1,0,False,0.07534833997488022,0.9246516600251198
هاا راك كبير,1,0,False,0.481045663356781,0.518954336643219
الاءمه خرج فيهم الدجال لاتبعوه,1,0,False,0.23673014342784882,0.7632698565721512
مام انت كيمي هوا علاش غاضك,1,0,False,0.2380375862121582,0.7619624137878418
رجال يكسبو ومنقش يحسبو دزير عندها وميخصهاش,1,0,False,0.37295082211494446,0.6270491778850555
مكنش موقع اباحي مدخلوش,1,0,False,0.03269089013338089,0.9673091098666191
خرجنا من اجل البلد ليس من اجل الشهريه ربراب لي دار يخلص يتحاسبو فاع قبايل عرب شاويه بني مزاب عودو الى رشدكم ضعو مصلحه البلاد قبل مصالحكم ليس على هذا ما بدا الحراك خرج الشعب يوم فيفري قوتنا في وحدتنا لا تدعو العصابه تفرقكم الحراك بريئ من الخبزيست,1,0,False,0.1395619958639145,0.8604380041360855
البيض 🤮😭,1,0,False,0.06496550142765045,0.9350344985723495
سينيالت ومدرت والو 🤣,1,0,False,0.12773942947387695,0.872260570526123
قديمه,1,0,False,0.022964758798480034,0.97703524120152
