texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
خارينا,1,1,0,0,0.2239158,0.7760842,False
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,0,0,0.4643516,0.5356484,False
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,0,0,0.01775505,0.98224497,False
😅😆,1,1,0,0,0.49361187,0.5063881,False
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,0,0,0.016404834,0.9835952,False
مهم حاول خير فخونشي صح,1,1,0,0,0.025247278,0.9747527,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.0035459609,0.99645406,False
خلونا الدراما والعاطفه تاكدنا بلي ربراب غالط ندافعوا علاخاطر قبايلي كقبايلي نقول بلي خان ثقتنا السنين ومايسحقش ندافعوا ثبت ادانته يعني سقوط رءوس الفساد وماتخافوش ماراهمش رايحين يسلكو السعيد وجماعته ودالته يكن ربك نسيا نهدرو بالعقل,1,1,0,0,0.22305016,0.7769498,False
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,1,0,0,0.32887968,0.6711203,False
koulchy mabrouke hagda abla taharake rpake rpake ya abla,1,1,0,0,0.051561374,0.94843864,False
كلاو مسحو المرميطه من بعد حصلوها فالكاسكيطه واعرين اصحاب الفرشيطه ولا نزيد نرسملك,1,1,0,0,0.27143058,0.7285694,False
نوميديا بزول,1,1,0,0,0.020313561,0.97968644,False
انا نحير سيرفات واش فيها من بنه وزيد محروقه تاع واحد زوفري انت في رايي,1,1,0,0,0.36451226,0.63548774,False
الشعب قال له نريد رب الدزاير في الحراش,1,1,0,0,0.003639976,0.99636,False
16 جيقا ويقلك ستوكي ياناس العلم راهم لحقو 28 جيقا وحنايا مازال في عليها مازلنا روطار,1,1,0,0,0.0022103724,0.9977896,False
السبب تع هادو قاع ربراب هو لي زاد في السردين او السيارات هو العصابه تع قاع المنتوجات كشيريست,1,1,0,0,0.058530852,0.94146913,False
ballon et camarade ma3rftche kifech taktabhoume ou djite tayer fa siyad machi mlihe ounsorria en plus matalh9ouche koulech,1,1,0,0,0.31619182,0.6838082,False
اسوء سياسه لجلب التفاعل سياسه الحملات الانتخابيه الجزاءريه,1,1,0,0,0.025710005,0.97429,False
كي تكون نتا تقسم فل الارزاق قلهم ميولدوش,1,1,0,0,0.08153938,0.9184606,False
فريت اوملات بالبيض اه يا طبي 🙄😅,1,1,0,0,0.15479179,0.8452082,False
روحنا لتصنيع السيارات ليس خدمه للمواطن بل مخططات العصابه للسرقه كما العاده,1,1,0,0,0.15580466,0.84419537,False
نكفر بيهم,1,1,0,0,0.02479699,0.97520304,False
عفن السلام,1,1,0,0,0.029116651,0.97088337,False
شاوي افتخر لي مايعرفش اصلو يروح يشعل روحو,1,1,0,0,0.012145352,0.98785466,False
li ysiporti tajnat ou csc hdouk mhalbin 🤣,1,1,0,0,0.010647613,0.9893524,False
wach d5l crb dok ana wa9il ani ntnaq l3l,1,1,0,0,0.15554856,0.8444514,False
صحا عليك امير دبلوم ان شاء الله يكون فال خير عليك مزيد من التعريه للنظام بدون رحمه,1,1,0,0,0.015804643,0.98419535,False
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,1,0,0,0.18768355,0.8123164,False
جيقا ويقلك ستوكي ياناس العلم راهم لحقو جيقا وحنايا مازلنا روطار,1,1,0,0,0.002180219,0.9978198,False
مبروك علينا يا امير هكدا العصابه تحكملك الختان,1,1,0,0,0.02461344,0.97538656,False
في سبيل التذكير فان ربراب قام باستوراد الحديد المشع من اكرانيا حيث بعد حادثه تشرنوبيل النوويه قامت اكرانيا بدفع اموال من اجل التخلص من الحديد المشع ربراب قام باحضاره بيعه للجزائريين هذا ما يفسر الارتفاع الكبير في عدد المصابين بالامراض السرطانيه كذلك الكثير من الامراض التي لم يستطع الاطباء تشخيصها نسال المولى عز جل ان يعاملك بعدله,1,1,0,0,0.37313893,0.6268611,False
عندو حكطي تاع راك تعرف بلا منقولها,1,1,0,0,0.024263404,0.9757366,False
مام انت كيمي هوا علاش غاضك,1,1,0,0,0.03681248,0.9631875,False
baynd mamidou hada mdiroch 3lih,1,1,0,0,0.015188885,0.9848111,False
اعلا واش تحوسو ربراب شغل اله الجزاءر ملزمش يتحاسب قلتو بوفوار اساسان ام يتحاسبو غع,1,1,0,0,0.027753152,0.9722468,False
كان رح ينكحنا بلكورونا,1,1,0,0,0.048392497,0.9516075,False
علبانا بيها وانت على واش تحوس,1,1,0,0,0.035711657,0.96428835,False
رجال يكسبو ومنقش يحسبو دزير عندها وميخصهاش,1,1,0,0,0.061653394,0.9383466,False
مكنش موقع اباحي مدخلوش,1,1,0,0,0.007214572,0.99278545,False
خرجنا من اجل البلد ليس من اجل الشهريه ربراب لي دار يخلص يتحاسبو فاع قبايل عرب شاويه بني مزاب عودو الى رشدكم ضعو مصلحه البلاد قبل مصالحكم ليس على هذا ما بدا الحراك خرج الشعب يوم فيفري قوتنا في وحدتنا لا تدعو العصابه تفرقكم الحراك بريئ من الخبزيست,1,1,0,0,0.05046398,0.949536,False
سينيالت ومدرت والو 🤣,1,1,0,0,0.012242071,0.9877579,False
قديمه,1,1,0,0,0.032997943,0.96700203,False
اتمنا اله يموت الموعد,1,1,0,0,0.4020315,0.59796846,False
الموت تقترب وجد راسك,1,1,0,0,0.33082795,0.66917205,False
بروبلام والله ما فيهم بروبلام فالشعب لي يتفرجهم ومطلعلهم شانهم بلي vu لوكان حتى واحد مراه سمع بهم منعرفوش قاع فيقوره كيما هدو,1,1,0,0,0.0022538665,0.9977461,False
شاوي افتخر لي مايعرفش اصلو يروح يشعل روحو ♓,1,1,0,0,0.041017134,0.9589829,False
wali darya lahram 🔪,1,1,0,0,0.025523387,0.97447664,False
سليل الجيش الفرنسي البيجاري كانو يرقدو بالبيجامه ويتقهواو بالكروصان,1,1,0,0,0.011338936,0.98866105,False
ثروه ربراب نقدرو نكملوا بيها الطريق السيار من عنابه للطارف,1,1,0,0,0.2891925,0.7108075,False
na3lato elah alyk,1,1,0,0,0.02601671,0.9739833,False
اخواني القباءل ليسو الكل لان القباءل احرار ورجال طينه الكبار اتحدث يدافعون ربراب ثاني ملياردير عربي قدم لكم ماهي المشاريع استفدتم ياناس راه رجل فاسد يخدم المشروع الفرنسي يريد تقسيمنا حذاري حذاري,1,1,0,0,0.12486621,0.8751338,False
شكون هادو اسبي,1,1,0,0,0.012235137,0.98776484,False
la ilha ila allah matoub rasoul allah,1,1,0,0,0.00425999,0.99574,False
رح ينكحنا بلكورونا,1,1,0,0,0.02426266,0.97573733,False
الجديده يعني الانتقام الشعب طرد المجرم بوتسريقه جديده يعني القمع الحديده الشعب حسبنا اله الوكيل,1,1,0,0,0.29072353,0.70927644,False
الجزائر فرنسيه فاشهدوا فاشهدوا فاشهدوا,1,1,0,0,0.4304296,0.5695704,False
matoub radiya 3anhoo ❤️,1,1,0,0,0.026749779,0.9732502,False
نسيت باباكم القايد صالح,1,1,0,0,0.43357572,0.56642425,False
يارب اعطينا زلزال 12علا سلم ريشتر نروحو قاع حسبي اله ونعم الوكيل,1,1,0,0,0.032731917,0.9672681,False
smhli bsh g3rtha 😢,1,1,0,0,0.01679,0.98321,False
keshma darolk mouloudia beyna 🌶,1,1,0,0,0.011539114,0.9884609,False
قلكا يتحاسبوا قاع كي لحقت ربراب اعلنوا تضامنهم,1,1,0,0,0.3102053,0.68979466,False
الحكومه نتاعنا لازم نخربولها مؤسساتها باه تيستعرف وتخاف لاخاطر كلش سرقوه من دراهم الشعب وبناو المؤسسات من دراهم الشعب,1,1,0,0,0.012696298,0.9873037,False
لكان البنك يطيني القرض عطاتو لربراب ندير العجب فالبلاد كاش مدنا عندو بالعكس,1,1,0,0,0.0057044085,0.9942956,False
عاود لحساب مقريتش رياضيات,1,1,0,0,0.008941592,0.9910584,False
تحير شعب يطلب يحاسب ناس يطلب ناس تحاسبش فرزو رواحكم ربراب ادا دار والو قادر علء شقاه مايقدر يتوشيه وادا دار لازم يتحاسب,1,1,0,0,0.3786648,0.6213352,False
ربي يحفظابناء الجيش الوطني الشعبي وربي ينصرنا على ابناء الجزائر,1,1,0,0,0.13686782,0.8631322,False
نظرات نزار اشبه الي دليل فرنسا ترك الشعب يعيش بسلام القايده عزوج رانا العجاءز وهذه رقصتهم والحراك هومن سقطهم ارضا وانهاء عبث العملاء والولاءلشارل ديغول 201 الثعلب ماكرو الثوره السلميه مفتاح نجاه لشعوب المتضعفه نصر الانتصاريحيا الحراك,1,1,0,0,0.15743314,0.84256685,False
ماتزيدش ربنا حتى انت لواحد راح يطرطقله عرق في بلاد,1,1,0,0,0.1695733,0.8304267,False
المشكل ان الامور من سيئ الى اسوء رجعت ازمه السيوله زيد الانترنت بالجمعه صراحه اتساءل وين راهي الدوله,1,1,0,0,0.003224073,0.9967759,False
كل واحد وحياتو وواش يحب يسيبورتي هنايا بدا يصماط le doux,1,1,0,0,0.04860951,0.9513905,False
ولق وي لا شفتو صحره,1,1,0,0,0.0055295164,0.9944705,False
le3erebe yebe9awe neocha heta leyome,1,1,0,0,0.03988635,0.96011364,False
حداد ربراب كونيناف استقدام الاسماء يصبح سجن الحراش اغلي باريس مانشستر سيتي,1,1,0,0,0.4604126,0.5395874,False
ih wach dakhalk,1,1,0,0,0.015314334,0.98468566,False
يقصف يبالي,1,1,0,0,0.068069965,0.93193007,False
رحت نشري قرعه خل حضني مول الحانوت وقالي هاي عندي وبلغ السلام لخاوه حسيت روحي لابوانت اله يرحموا,1,1,0,0,0.08327518,0.9167248,False
اه خطونا,1,1,0,0,0.017028237,0.9829718,False
bditou fl 3onsoriya wl fitena,1,1,0,0,0.042897046,0.95710295,False
