texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
يا خي بترونه,1,1,0,0,0.4921446,0.5078554,False
بغل حركي,1,1,0,0,0.34493572,0.6550643,False
خارينا,1,1,0,0,0.38235587,0.61764413,False
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,0,0,0.44413412,0.5558659,False
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,0,0,0.37118205,0.6288179,False
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,0,0,0.46228653,0.53771347,False
عملاء فرنسا يسيطرون الجزاءر,1,1,0,0,0.4457811,0.5542189,False
جاري الخروج الصفحه الكاشيريه,1,1,0,0,0.45719427,0.54280573,False
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,0,0,0.3776908,0.6223092,False
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,0,0,0.4899461,0.5100539,False
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,0,0,0.3932981,0.6067019,False
دوك الصلاه تمنيكو بيها,1,1,0,0,0.28501597,0.71498406,False
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,0,0,0.4954276,0.5045724,False
الكعباخطرمنذالكورونا,1,1,0,0,0.38235587,0.61764413,False
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,0,0,0.27708605,0.722914,False
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,0,0,0.3372088,0.6627912,False
se9si yemak tgoulk awlid,1,1,0,0,0.33914024,0.66085976,False
el khra yaw,1,1,0,0,0.36807144,0.63192856,False
khanza faiha tfo,1,1,0,0,0.34974438,0.6502556,False
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,1,0,0,0.46344241,0.53655756,False
كس امو لي ميحب فري فاير 😑,1,1,0,0,0.4576049,0.5423951,False
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,1,0,0,0.31559852,0.6844015,False
😅😆,1,1,0,0,0.37500829,0.6249917,False
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,1,0,0,0.46298692,0.53701305,False
ya zitout tfo,1,1,0,0,0.4031672,0.5968328,False
لخماج خامجين كواvا,1,1,0,0,0.25750738,0.7424926,False
ta kalb chmata wa r7is wo tahan tffo,1,1,0,0,0.3587396,0.6412604,False
طز روحو الامارات,1,1,0,0,0.40085712,0.5991429,False
اخرج ازبل اخرج,1,1,0,0,0.33940428,0.6605957,False
ballon mach balloon camarade mach camarad et3elem nta boudaoui sahal,1,1,0,0,0.42102882,0.57897115,False
ولاد لكلاب كلاو بعضهم بعض 😂,1,1,0,0,0.39913014,0.6008699,False
عمي العربي مفهمنا والو هذو العجزه اسود علينا نعال في ارجل اسيادهم,1,1,0,0,0.3998047,0.6001953,False
القبائل لي راكم تتحرشو بيهم ديما راهم رجاله عليكم بينو بلي احرار ماشي كيما وحد الفئه ربي يهديهم جماعه بوصبع لزرق حاضرين في كل فوط,1,1,0,0,0.42867783,0.5713222,False
مهم حاول خير فخونشي صح,1,1,0,0,0.34761444,0.6523856,False
كاين ختك الي ماراهيش حابسه الشي,1,1,0,0,0.38583305,0.614167,False
هذا والى سرق نورمال ماشي كما نتوما يا قتالين,1,1,0,0,0.4616774,0.53832257,False
رانا نامنو بربي الرحمان الرحيم الرزاق الغفور اخر اسماء انتاعو وهذاك زعيم وراجل حب حب وكرها كره ايها الاحمق,1,1,0,0,0.34205568,0.6579443,False
هذا وزير هذا تقول قردقود,1,1,0,0,0.30818057,0.6918194,False
هواتف رديءه باسعار باهضه,1,1,0,0,0.31129852,0.6887015,False
ياو روح تعطي مازالك تحكي,1,1,0,0,0.49562126,0.50437874,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.4631507,0.53684926,False
ou khtek kayna menha,1,1,0,0,0.3382186,0.66178143,False
ايسكوبار كان عندو مشاريع كتر من ربراب ايسكوبار وحدو سكن نص كولومبيا تسمى ايسكوبار مليح لي غلط يتحاسب او الشركه فيها مجلس اداره يروح ربراب يجي واحد في بلاصتو,1,1,0,0,0.38283324,0.61716676,False
ان شاء الله قاع يتحاسبو,1,1,0,0,0.22124122,0.77875876,False
نعدين سوا تع مك,1,1,0,0,0.39655998,0.60344005,False
طرول قاعد كي سوهختك,1,1,0,0,0.39183214,0.6081679,False
بابا تدافعو المجرم ربراب هاذي زادت فضحت الزواف,1,1,0,0,0.47208038,0.52791965,False
الا لعنه الله على الكاذبين,1,1,0,0,0.31965327,0.6803467,False
انت عييت ما تنبح مالحقتش,1,1,0,0,0.40126923,0.5987308,False
anta arkhis,1,1,0,0,0.34919703,0.65080297,False
فرنسا العصاباتالجزاءريهم ارهابيه,1,1,0,0,0.38914394,0.61085606,False
اكبر سراقين في العالم,1,1,0,0,0.36144394,0.63855606,False
خساره عليكم يالي راكم تهدرو عل القبايل ميعرفوش الدين,1,1,0,0,0.46839908,0.53160095,False
ماكرون مجنون يرسل اختو تقاتل اله يلعن الظالمين,1,1,0,0,0.2790141,0.7209859,False
كلب نباح,1,1,0,0,0.36493674,0.6350633,False
هادي لفسو تع سيدك خطيك متنجميش,1,1,0,0,0.42728415,0.5727159,False
الكعب مود دو,1,1,0,0,0.37100315,0.62899685,False
سمحيلي مانعرفكش وجهك يربحش شغل نتاع مشاكل,1,1,0,0,0.28929707,0.7107029,False
الكل مع محاربه الفساد والفاسدين المشكوك فيهم ولست متضامن مع ربراب ولا غيره فالمحكمه هي الفاصل,1,1,0,0,0.24459846,0.75540155,False
okay hchon ymak,1,1,0,0,0.31017208,0.6898279,False
نيك موك,1,1,0,0,0.39292008,0.6070799,False
المهم ضربوهلو كيما انت,1,1,0,0,0.3395866,0.6604134,False
تخمامك كيما نتع يعطينا المنشور,1,1,0,0,0.3939951,0.6060049,False
كلشي مبروك زكاره في عبله الرخاس لي حاكمين الجزاير,1,1,0,0,0.25001824,0.74998176,False
امير يماه اشرف منك يالقحبه تضلي تلحسي في الكابريات باه يعطوك مصروف يالجعانه خامجه,1,1,0,0,0.3478727,0.65212727,False
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,1,0,0,0.26562038,0.73437965,False
koulchy mabrouke hagda abla taharake rpake rpake ya abla,1,1,0,0,0.49264377,0.5073562,False
نك زبي هاذي بلاد,1,1,0,0,0.37794,0.62206,False
wtizz mok nssitha,1,1,0,0,0.32670322,0.6732968,False
انت برضايتك مديت زك,1,1,0,0,0.38750124,0.61249876,False
ايتها الافعى سامه لعنه الله عليكي الى يوم الدين,1,1,0,0,0.35934928,0.64065075,False
عيبك يا بء لبزازل,1,1,0,0,0.4124729,0.5875271,False
ربي يحفظك ويسترك من كل اذى ربي يرحم امك ان شاءالله ويغفرلها يارب العالمين امين,1,1,0,0,0.48272157,0.51727843,False
المشكل ان الدعاره في الجزائر اصبحت في كل مكان في الجامعه لا سيتي السبيطار اخطر دعاره تصرا هي في البرلمان قصر الجمهوريه راك فاهم,1,1,0,0,0.4499714,0.55002856,False
atfo fik ya kalb,1,1,0,0,0.38867328,0.6113267,False
نشرها غاليه احسن يمدوهالي باطل مخيمات الاجءين يالخاين,1,1,0,0,0.36926907,0.6307309,False
