text,true_label,true_label_numeric,predicted_label,predicted_label_numeric,probability_positive,probability_negative,is_correct
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,0,1,1,0.8744107,0.12558931,False
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,1,1,0.4448471,0.5551529,False
دير القايد تبون تخافيش,0,0,1,1,0.92812157,0.07187843,False
تكتب ضواحيها ليس ظواحيها,0,0,1,1,0.8469241,0.15307587,False
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,1,1,0.7068983,0.29310173,False
بركاكم الكذب الناس,0,0,1,1,0.96725345,0.032746553,False
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,0,1,1,0.99159044,0.00840956,False
اطلقوا سراح ربراب,0,0,1,1,0.5487042,0.4512958,False
كفاه راهم يديرو هاذو باه يربحو,0,0,1,1,0.9192025,0.08079749,False
تموتو من مولوديه 🤦‍♂️,0,0,1,1,0.481037,0.518963,False
الدعاء استوقفتني كلمه حكمك عدل اذن الوضع تعيشه الوضع تستحقه,0,0,1,1,0.5420126,0.45798743,False
الجيش والشعب لحمه واحده سليل الجيش التحرير الوطني نصيحه لكل انسان يتحدو كلمه واحده الجزاءر,0,0,1,1,0.40487054,0.5951295,False
قناه النهار مصادر موثوقه تءكد يسعد ربراب متورط هجمات سيريلانكا😂,0,0,1,1,0.53340256,0.46659744,False
المهم ترقبوا عوده زيت السانقو صفيه بقوه ببوشون واحد فقط تستطيع قلي خروف بشحمه ولحمه وتشتريه بثمن قهوه ومعلب في قاروره قصديره ملعونه ذبحت يدي في محاوله فاشله لفتحها من اجل قلي البطاطا على شاطئ البحر وتوكل اافريت بطعم الدم ونتا جد فرحان وسعيد في حين ربراب يضرب في الصبه بطعم عصير المقارون هو ومعه ربراب وعائله خنينف اللذين بنوا السجون ودشنوها مبكرا عن طريق خط مواصىلات سيدي محمد الحراش السريع,0,0,1,1,0.42263958,0.5773604,False
لست بساحر بصح علابالي راك قاعد دك خاصك دراهم01,0,0,1,1,0.42563772,0.5743623,False
ولكن اذا اصبح كل ناس اغنياء لا تجد من يحلق شعر راسك او يبيع لك سجائر او يعصر لك القهوه الى اخره لانهم كلهم اغنياء لا احد يريد العمل لذالك خمم فيها مليح قبل ما تهدر,0,0,1,1,0.37546024,0.62453973,False
بغيت زعمه😂,0,0,1,1,0.39377072,0.6062293,False
اتقوا اله يعني واش ربحت جمعت اسوء مافالحياه وعرضته الناس تحبو ندير نكد السواد شوف اله يسود بماتك يجعل حالتك ضنكه تري رياضاناس قلبها ضاقت الدنيا كلها نزيدو بشروا تنفروا,0,0,1,1,0.7516008,0.2483992,False
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,0,1,1,0.95914155,0.040858448,False
من اليوم يا السطايفي راك كيف كيف فالميزان نتا والبجاوي ممنوع عليك حملاوي,0,0,1,1,0.818066,0.181934,False
افريقيا الكحلاء,0,0,1,1,0.8156429,0.1843571,False
الله يعوانكم يا شعب الابطال رجال الجبال الاحرار اهل النيف الشجاعه,0,0,1,1,0.7799261,0.22007388,False
نتا منين يرحم باباك,0,0,1,1,0.64891976,0.35108024,False
توفيق والشعب معاك يا ربراب,0,0,1,1,0.4039079,0.5960921,False
اطليقو سراح ربراب,0,0,1,1,0.57514536,0.42485464,False
يا شيخ ما افهمناكمش واش اتكونوا انتم خطابك غير واظح,0,0,1,1,0.38349846,0.61650157,False
تعاطف المغنين ربراب بابا شء خطير يا الهي,0,0,1,1,0.53651077,0.46348923,False
ولد عباس تبانلي قريب يخرج,0,0,1,1,0.51822877,0.48177123,False
زيدلها المازدا,0,0,1,1,0.942512,0.057488024,False
ااه اكبر يسعد ربراب,0,0,1,1,0.6692376,0.3307624,False
يستهل انسان صادق,0,0,1,1,0.68390095,0.31609905,False
قوللنا منين جبت دراهم تع q3,0,0,1,1,0.73715436,0.26284564,False
ça va chwia mn frr 😆,0,0,1,1,0.67373675,0.32626325,False
تدي حقها بقوه المباشر,0,0,1,1,0.90970725,0.09029275,False
ادري اصاب اخطا البغل تع سلال داءما يعميها بعيدا السياسه اقول مرحبا لسورين بلدكم الثاني انصر اخاك المسلم يا عبد اله سمعتم العيوب عليهم فقدرو الاوضاع وتركو امرهم له فانتم واله تعلمون شيءا معاناتهم الهم انصر الاسلام والمسلمين رءي ولكلن راي وله اتكلم غيرتا حالنا يا عرب,0,0,1,1,0.9830829,0.01691711,False
نلبس لاكوست لاريني مانيش كعبه,0,0,1,1,0.5439613,0.4560387,False
هدرتو غير على الحوايج لي قاعدين يغالاو نسيتو ما هدرتوش على لي ديما يرخس 😁,0,0,1,1,0.7764296,0.2235704,False
sidi rayak nahtarmoh aya 9oli wach tsupporté nta,0,0,1,1,0.80561745,0.19438255,False
علش لاريني عيب 😙,0,0,1,1,0.80806714,0.19193286,False
stfuمثقفين لودو are here,0,0,1,1,0.6500537,0.34994632,False
والله اخويا الى من نيتو واقيلا موضي كاع وغادي يصلي,0,0,1,1,0.44513574,0.5548643,False
ma9sthach ga3 ki jbadt crb,0,0,1,1,0.8871879,0.1128121,False
تاع سطيف كلاهم قلبهم كي ربحاناهم ولاو يجبدو البطولات السابقه تبا خسرت خسرت مكش تموت اسبي,0,0,1,1,0.5991384,0.40086162,False
nta bach talha9 crb lazemlk kho 😉,0,0,1,1,0.7779074,0.22209263,False
جزاءر تبون,0,0,1,1,0.8729032,0.12709677,False
يحدث وصول رجل الاعمال يسعد ربراب محكمه سيدي محمد بالعاصمه,0,0,1,1,0.5879342,0.4120658,False
واله عندنا اختها وتغفل وتبيتها شاعله الصبح ربي يرحمكم,0,0,1,1,0.52602124,0.47397876,False
تبون الجيش يخرجش لمالي بامر ماكرون او طبطب,0,0,1,1,0.82517,0.17483002,False
كنت معاه انت,0,0,1,1,0.4966854,0.5033146,False
الله يخليكم هاذي شعال تدير,0,0,1,1,0.6168398,0.38316017,False
نحبوا مولوديا وعايشين زوعاما,0,0,1,1,0.64363647,0.35636353,False
القايد صالح بيجو 406 zed okay 😁,0,0,1,1,0.81381816,0.18618184,False
هذون الهه الله يهديك شغل راك اعترفت بيهم,0,0,1,1,0.4335196,0.5664804,False
وفضح الخليج يدعم الارهاب,0,0,1,1,0.91466033,0.085339665,False
بلبيض,0,0,1,1,0.55569786,0.44430214,False
المال البنون زينه الحياه الدنيا كاين لي ربي رزقو بالمال مرزقوش بالذريه العكس,0,0,1,1,0.9801078,0.019892216,False
نطالب باسترجاع بوتفليقه والعصابه 😂 رغم الفساد وكانت مستوره معانا,0,0,1,1,0.64228654,0.35771346,False
ضك يجو يتعرقو عليك واش داك تخرب,0,0,1,1,0.97308415,0.026915848,False
الموهبه الجزاءريه بف اختك يا صاحب المقال ستمثل توم كرموز براد بيت يا وقح,0,0,1,1,0.9981071,0.0018929243,False
دالتك غير وجد روحك,0,0,1,1,0.40034443,0.59965557,False
مبرووك عليك خوزا الاميير عبلوس اخلات عليكم عاود جاء,0,0,1,1,0.5308846,0.46911538,False
jebtha antik ki wesalt les clubs khasartha,0,0,1,1,0.48287997,0.51712,False
تمدوه بالمعريفه يا,0,0,1,1,0.6322949,0.3677051,False
القبايل احرار ولن يخدعهم الزوافين وعبده ربراب,0,0,1,1,0.87352955,0.12647045,False
مبروك اعليك والشعب سلملك هديه الصدق والمصداقيه انرز ولانكنو,0,0,1,1,0.92620766,0.07379234,False
واش يقعدو في بلاد اازمان,0,0,1,1,0.87825143,0.12174857,False
واش داك تشربها,0,0,1,1,0.72717965,0.27282035,False
ونتا هاذو حسبتهم اله ربك,0,0,1,1,0.46616012,0.5338399,False
محمد صلاح 😂👌,0,0,1,1,0.539531,0.460469,False
وله مارانيش حابسين يا يا حنا,0,0,1,1,0.5756462,0.42435378,False
واش,0,0,1,1,0.37700248,0.6229975,False
جيبو السوارد اللي سرقوهم اويحي سلال سلكوهم ابنيو بيهم 20 سبيطار يفضالو اشريو بيهم طائره يفضالو,0,0,1,1,0.6829669,0.3170331,False
عفي اله عما سلف فهم الشعب ظروفهم صعبه اله عونهم,0,0,1,1,0.49973652,0.50026345,False
وعلاه نورمال ولد فرانسا ولد دزاير المهم عاد يقبض لعصا يخي كي تخلط يجيبو ولاد الشرق,0,0,1,1,0.848178,0.15182197,False
شهاده تعادل الماستر هي دوره تكوينيه هزيله تاع سمانه حتى تورنوا مابين الاحياء ماتسمحلكش تغطيها راك تتخايل,0,0,1,1,0.52902704,0.47097296,False
كون زدت محمد صلاح,0,0,1,1,0.4198436,0.5801564,False
ربنا معاكم يا خو❤️,0,0,1,1,0.553737,0.44626302,False
اعطيني المواصفات تاع هاذي وعرضها وطولها والسعر من فظلكم,0,0,1,1,0.4257772,0.5742228,False
اصلك امازيغي,0,0,1,1,0.40867895,0.59132105,False
قالك صحافي العجب السنه الرابعه ابتداءي,0,0,1,1,0.9154894,0.084510624,False
وش راه يصرا علاه تسبوا في بعضاكم 😶,0,0,1,1,0.39440063,0.6055994,False
ou ya3tihh sahték ya chikour abla,0,0,1,1,0.9737526,0.026247382,False
wach bik m3a leqabayel ma lqitch la wach thdr,0,0,1,1,0.46095523,0.53904474,False
لي فوقي يعرفو شحال يخلص وشحال عندو دراهم ميعرفو والو,0,0,1,1,0.5889519,0.4110481,False
peur parce ce que hadou houma les vrais hommes de algérie hadou houma ils vont pas laisser algérie tache3ale fiha naree il sont des principes hadou nasse andehoum algérie fi damhoum machi wellad franca rabi makoum nechallah vous serez régulariser nechallah vous étiez la qui kane chabe fi hala je me souviens très bien de cette époque 👍vive algér,0,0,1,1,0.99682754,0.0031724572,False
تبون,0,0,1,1,0.9311783,0.06882173,False
احح بردتلي قلبي,0,0,1,1,0.5698552,0.4301448,False
wenta rak dayer chdayer howa,0,0,1,1,0.5844725,0.41552752,False
شريت كوندور فورنو وكي ينقص يبدا يطرطق حتا ينوضنا النوم ومرات يطفا وحدو اعطونا لحل,0,0,1,1,0.38655558,0.61344445,False
مخي حبس مع هذو العلماء قالك قاطع شركه جزائريه روح اشري على شركه سعوديه 🤦🏻‍♂️,0,0,1,1,0.78630954,0.21369046,False
undefined اطشو فريط اومليط بلابيض باليز,0,0,1,1,0.4060746,0.59392536,False
نحب تونس ونحب نتفرج البرامج تاعها وزيد رحت لتونس وصليت سمعت الاذان وبطبيعه الحال حوست المسجد لقيت وانت حوست ملهي لقيت عادي,0,0,1,1,0.58103436,0.41896564,False
ومزال تزيد سومه تطلع انها الجزائر الجديده قلك نعرف مين نجيب دراهم قليل ملا مايعش حسبي الله ونعم الوكيل,0,0,1,1,0.6078582,0.39214182,False
العنوان حي تاكبوا شارع الحضنه رقم الباب بالمديه,0,0,1,1,0.5429263,0.4570737,False
حنا حابي نخدمو مع الشركه حنا خدمات ممكن توريلي وين روح او رقم هاتف,0,0,1,1,0.7549085,0.2450915,False
شكون قالك معطوب الاه,0,0,1,1,0.5000175,0.49998248,False
