texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
دير القايد تبون تخافيش,0,0,1,1,0.91637415,0.08362585,False
بركاكم الكذب الناس,0,0,1,1,0.58500206,0.41499794,False
كفاه راهم يديرو هاذو باه يربحو,0,0,1,1,0.9577975,0.042202473,False
اولا تكلم القباءل بصفه الجمع قضيه ربراب ثانيا المدافعون دافعو كبيرهم ربراب وعندما نقول ربراب نقول توفيق وحداد دافعو احشمو احشمو,0,0,1,1,0.6135991,0.38640088,False
مهمتنا تغيير النظام وليس تحرير ربراب,0,0,1,1,0.555459,0.44454098,False
تموتو من مولوديه 🤦‍♂️,0,0,1,1,0.5153587,0.4846413,False
kolchi yajabdeh zitout makanch laab maah,0,0,1,1,0.5118416,0.4881584,False
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,0,1,1,0.98659074,0.013409257,False
افريقيا الكحلاء,0,0,1,1,0.713924,0.286076,False
اغسل فمك بش تهدر ربراب,0,0,1,1,0.6756876,0.3243124,False
نتا منين يرحم باباك,0,0,1,1,0.65311605,0.34688395,False
عيبهم انهم سرقو صفر دينار لو كانو سرقو الملايير كانو سيكرمون لك الله يا جزاير,0,0,1,1,0.74085766,0.25914234,False
زيدلها المازدا,0,0,1,1,0.87574995,0.124250054,False
ça va chwia mn frr 😆,0,0,1,1,0.62785465,0.37214535,False
نلبس لاكوست لاريني مانيش كعبه,0,0,1,1,0.51342773,0.48657227,False
sidi rayak nahtarmoh aya 9oli wach tsupporté nta,0,0,1,1,0.92044663,0.079553366,False
استقلال مختطف فيق يا شعب,0,0,1,1,0.9550516,0.0449484,False
stfuمثقفين لودو are here,0,0,1,1,0.5563265,0.4436735,False
ma9sthach ga3 ki jbadt crb,0,0,1,1,0.722424,0.27757603,False
عفى الله عما سلف فهم من الشعب ظروفهم صعبه كان الله في عونهم,0,0,1,1,0.5094507,0.49054933,False
هدي لناس لي يقولك اروح لبلاد واهدر هوما الخارجوهبلوهم,0,0,1,1,0.85123545,0.14876455,False
انا نضن خلي مكالاه نضن مع الرعيان,0,0,1,1,0.8381293,0.16187072,False
القايد صالح بيجو 406 zed okay 😁,0,0,1,1,0.9450963,0.054903686,False
يتذكر كلام رخيس الجزاير الكوكاين وعوده العصابه ستحاسب,0,0,1,1,0.86412764,0.13587236,False
