text,true_label,predicted_label,is_correct,probability_positive,probability_negative
يا خي بترونه,1,1,True,0.8358662,0.16413379
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.11052901,0.889471
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.18094628,0.8190537
بغل حركي,1,1,True,0.9864846,0.013515413
خارينا,1,0,False,0.38846105,0.61153895
بنات الفميليا الجزاءر,0,1,False,0.4242823,0.5757177
الله يبارك ما شاء الله,0,0,True,0.000716515,0.9992835
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.45877284,0.54122716
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.17509821,0.8249018
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.8462892,0.15371078
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.9923767,0.007623315
انا شريتها من قسنطينه,0,0,True,0.011445795,0.9885542
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,True,0.7321684,0.26783162
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.83479893,0.16520107
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.09570981,0.9042902
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.2748606,0.7251394
بركولي ليوم شريت,0,0,True,0.044172246,0.9558278
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,0,False,0.25550175,0.74449825
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.98439157,0.01560843
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,False,0.25293013,0.74706984
الي روتور,0,0,True,0.24220093,0.7577991
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,True,0.7809625,0.21903747
عملاء فرنسا يسيطرون الجزاءر,1,0,False,0.34185192,0.65814805
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,1,False,0.4378261,0.5621739
تحرمن كيو تاع حمادي,0,1,False,0.5829361,0.4170639
فيف لقبايل,0,1,False,0.55167216,0.44832784
اه يالزح ما تفكرناش,0,0,True,0.22807883,0.77192116
جاري الخروج الصفحه الكاشيريه,1,0,False,0.22070554,0.7792945
ربي يهديكم,0,0,True,0.020590734,0.9794093
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.014661086,0.9853389
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.99942124,0.0005787611
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,True,0.9255509,0.07444912
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.018490506,0.9815095
نعبد ربي الحمد اله يا رب,0,0,True,0.026628124,0.97337186
جي دورونج تاع التفاح,0,0,True,0.17983536,0.8201646
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,True,0.8552887,0.14471132
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.93988997,0.060110033
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,True,0.06409196,0.935908
وانت وين راك,0,1,False,0.39405552,0.6059445
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.87127686,0.12872314
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.2263089,0.7736911
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.9995092,0.00049078465
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,True,0.6054361,0.3945639
لقد اشتريت واحده ولم اعلم,0,0,True,0.0036869575,0.99631304
نحي فلسطين دار اسراءيل💔☹,0,1,False,0.43898168,0.56101835
دوك الصلاه تمنيكو بيها,1,0,False,0.37691906,0.62308097
يوجد نقطه بيع ولايه سكيكده,0,0,True,0.004987854,0.99501216
