texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
خارينا,1,1,0,0,0.3762056,0.62379444,False
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,0,0,0.44650632,0.5534937,False
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,0,0,0.39551002,0.60449,False
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,0,0,0.4750644,0.5249356,False
عملاء فرنسا يسيطرون الجزاءر,1,1,0,0,0.38200516,0.61799484,False
جاري الخروج الصفحه الكاشيريه,1,1,0,0,0.1587746,0.8412254,False
دوك الصلاه تمنيكو بيها,1,1,0,0,0.3316597,0.6683403,False
الكعباخطرمنذالكورونا,1,1,0,0,0.3762056,0.62379444,False
se9si yemak tgoulk awlid,1,1,0,0,0.37843,0.62157,False
khanza faiha tfo,1,1,0,0,0.36071035,0.6392896,False
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,1,0,0,0.3709502,0.6290498,False
😅😆,1,1,0,0,0.3762056,0.62379444,False
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,0,0,0.25854215,0.7414578,False
لخماج خامجين كواvا,1,1,0,0,0.33871198,0.661288,False
ta kalb chmata wa r7is wo tahan tffo,1,1,0,0,0.33282667,0.6671733,False
الحاجه لي حيرتني الناس لي راهي دافع عليه راه يرزق فيكم مثلا شويه عقل وشويه عزه نفس شحال تعياو تشكمو وتهزو لناس,1,1,0,0,0.4167691,0.5832309,False
القبائل لي راكم تتحرشو بيهم ديما راهم رجاله عليكم بينو بلي احرار ماشي كيما وحد الفئه ربي يهديهم جماعه بوصبع لزرق حاضرين في كل فوط,1,1,0,0,0.3121908,0.6878092,False
