text,true_label,true_label_numeric,predicted_label,predicted_label_numeric,probability_positive,probability_negative,is_correct
خارينا,1,1,0,0,0.38846105,0.61153895,False
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,0,0,0.25550175,0.74449825,False
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,0,0,0.25293013,0.74706984,False
عملاء فرنسا يسيطرون الجزاءر,1,1,0,0,0.34185192,0.65814805,False
جاري الخروج الصفحه الكاشيريه,1,1,0,0,0.22070554,0.7792945,False
دوك الصلاه تمنيكو بيها,1,1,0,0,0.37691906,0.62308097,False
الكعباخطرمنذالكورونا,1,1,0,0,0.38846105,0.61153895,False
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,1,0,0,0.3053185,0.6946815,False
😅😆,1,1,0,0,0.38846105,0.61153895,False
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,0,0,0.33014223,0.66985774,False
حياتي كامل كرهت زوج عباد برك اكتشف الجزاءر وجدي الكبير استوطن,1,1,0,0,0.18744726,0.81255275,False
مهم حاول خير فخونشي صح,1,1,0,0,0.13952042,0.8604796,False
هذا وزير هذا تقول قردقود,1,1,0,0,0.19583617,0.8041638,False
هواتف رديءه باسعار باهضه,1,1,0,0,0.25368074,0.7463193,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.10036386,0.89963615,False
ايسكوبار كان عندو مشاريع كتر من ربراب ايسكوبار وحدو سكن نص كولومبيا تسمى ايسكوبار مليح لي غلط يتحاسب او الشركه فيها مجلس اداره يروح ربراب يجي واحد في بلاصتو,1,1,0,0,0.24372585,0.75627416,False
نوميديا بزول,1,1,0,0,0.34604195,0.6539581,False
مالغري ما نحملهاش بصح والله غير كلامها كله صح لي سخنتلهم الفرفاره غير لي حسوها في جنابهم👌,1,1,0,0,0.046648934,0.9533511,False
tezz,1,1,0,0,0.3583761,0.6416239,False
جامي لقيت منافقيق كيما صحافه جزائريه سلفولي وجوهكم نسكوكري بيهم ناس,1,1,0,0,0.33278644,0.66721356,False
الشعب قال له نريد رب الدزاير في الحراش,1,1,0,0,0.020287888,0.9797121,False
16 جيقا ويقلك ستوكي ياناس العلم راهم لحقو 28 جيقا وحنايا مازال في عليها مازلنا روطار,1,1,0,0,0.09541846,0.90458155,False
ايه ياشكوبستان مرتينا لمعيشه وقت بومدين غالي فرنك وظك ولات اورو غاليه بميتين مره شي خرافي ياحبيبي,1,1,0,0,0.26043162,0.73956835,False
احذركم اخواني باتلاعب باروحكم الصنع الوطني حتي ادني شروط الامن لمراقبه وزاره التجاره,1,1,0,0,0.095085174,0.90491486,False
صحا قوادتك,1,1,0,0,0.18067373,0.8193263,False
ال تحلب ولا يهدر معطوب,1,1,0,0,0.26033112,0.73966885,False
🖕🏻,1,1,0,0,0.38846105,0.61153895,False
اسوء سياسه لجلب التفاعل سياسه الحملات الانتخابيه الجزاءريه,1,1,0,0,0.2551503,0.7448497,False
ترر,1,1,0,0,0.38846105,0.61153895,False
nikk,1,1,0,0,0.38846105,0.61153895,False
باذن اله مانزيد نشري الخرده تاعهم,1,1,0,0,0.35541654,0.64458346,False
افف,1,1,0,0,0.38846105,0.61153895,False
قنبله نويه الاستاذ محمد العربي زيتوت فظح كوارثهم الارهابيه تسقط المافيا العسكريه,1,1,0,0,0.3807393,0.61926067,False
روحنا لتصنيع السيارات ليس خدمه للمواطن بل مخططات العصابه للسرقه كما العاده,1,1,0,0,0.07904004,0.92095995,False
نكفر بيهم,1,1,0,0,0.27874514,0.7212548,False
عفن السلام,1,1,0,0,0.28860873,0.71139127,False
الرئيس وحيد لفات سلال في تهريج,1,1,0,0,0.13696054,0.8630395,False
كلنا عندنا ذره مكعب داخلنا,1,1,0,0,0.18652447,0.81347555,False
مكاش مكعبات كيما نتوما ههخخ,1,1,0,0,0.3622108,0.6377892,False
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,1,0,0,0.30090517,0.69909483,False
والله لو بقيتي في دارك خيرا لك حتى وصلت بك هذه المعصيه للسب والشتم حتى وان كنت على حق فلا بد من الستر والحفظ ان كنت ابنت عائله لكن لن تنتظري من الدوله شيء في اشفاء الغليل يا عزيزتي سمحيلي على كل حال,1,1,0,0,0.166237,0.833763,False
tfoo,1,1,0,0,0.3533654,0.6466346,False
المشكل مشي فيهم عفوا فيهن المشكل اللي يتبعوهم لانو كون مشي الغامل التافه اللي يتبعهم كون ماشفناهم ما سمعنا بيهم قاله خصنا رئيس ياو ارتقوا فالقاع يشهد ازدحاما رهيبا,1,1,0,0,0.33247897,0.667521,False
