texte,vrai_label,label_predit,est_correct,probabilite_haine,probabilite_non_haine
خارينا,1,0,False,0.32638183380648716,0.6736181661935128
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.4366758009415539,0.5633241990584461
الحراش لزمو ربي يهدينا ويهديهم يكونو الرجال,1,0,False,0.3093063980022311,0.690693601997769
matahachmouch shab rachad zenzla mazalkoum dirou el politique haya allah el bghoula,1,0,False,0.3516274336170271,0.6483725663829729
naima bitalmaa tahball mouti naima lafouhiste,1,0,False,0.32638183380648716,0.6736181661935128
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,0,False,0.40877604984224214,0.5912239501577579
الكعباخطرمنذالكورونا,1,0,False,0.32638183380648716,0.6736181661935128
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,0,False,0.39213050434953617,0.6078694956504638
khanza faiha tfo,1,0,False,0.32638183380648716,0.6736181661935128
كس امو ميحب فري فاير 😑,1,0,False,0.130110185241267,0.8698898147587331
😅😆,1,0,False,0.32638183380648716,0.6736181661935128
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,0,False,0.4973773953666253,0.5026226046333747
لخماج خامجين كواvا,1,0,False,0.32638183380648716,0.6736181661935128
kalb chmata wa r7is wo tahan tffo,1,0,False,0.1714217523016473,0.8285782476983528
راقصه ملاهي ليليه وعميله فرنسا تكلم شءون البلاد عيش تشوف,1,0,False,0.48312880599027924,0.5168711940097208
المبلغ هادا حكمو حداد صرف رقيق ارهابي,1,0,False,0.46657309339748293,0.533426906602517
والى سرق نورمال ماشي قتالين,1,0,False,0.44371735297103776,0.5562826470289622
وزير تقول قردقود,1,0,False,0.18402416963970666,0.8159758303602933
هواتف رديءه باسعار باهضه,1,0,False,0.32638183380648716,0.6736181661935128
hasbiya allah wa ni3ma el wakil,1,0,False,0.21080476991998082,0.7891952300800191
شاء الله يتحاسبو,1,0,False,0.43937256602406316,0.5606274339759368
arkhis,1,0,False,0.32638183380648716,0.6736181661935128
المهم ضربوهلو,1,0,False,0.25412085230263415,0.7458791476973659
استغفر الله واتوب اليه حاب يدير الفتنه,1,0,False,0.14682876038672346,0.8531712396132766
koulchy mabrouke hagda abla taharake rpake rpake abla,1,0,False,0.32638183380648716,0.6736181661935128
عيبك بء لبزازل,1,0,False,0.32638183380648716,0.6736181661935128
atfo kalb,1,0,False,0.32638183380648716,0.6736181661935128
khra,1,0,False,0.32638183380648716,0.6736181661935128
نوميديا بزول,1,0,False,0.3503905094559981,0.649609490544002
بالنسبه لناس تادفع ربراب بحجه توفيره لمناصب سجنه سيجعل الاف الناس بطاله ويقولك ماغاضنيش ربراب غاضوني الناس تقطع رزقها نقولهم قولتو لبوليسي نحي الكاسكيطا وارواح معانا وقلتولو خاوه خاوه والرزق ربي نقولكم ربراب يتحاسب وخاوه خاوه والرزق ربي مانصب الشغل حداد تاني موفر مناصب وكونيناف موفر مناصب تاني ماغاضنيش البوشي غاضوني الناس كانو يخدمو ويبيعو فالكوكاين وماغاضنيش الصراف الزطله غاضوني الناس تبيع بالطرف وتسترزق منو,1,0,False,0.39253964611706926,0.6074603538829307
akbar kadeb menteur battar,1,0,False,0.32638183380648716,0.6736181661935128
يالمنافقين,1,0,False,0.32638183380648716,0.6736181661935128
tezz,1,0,False,0.32638183380648716,0.6736181661935128
كامل بوصبعle bleuالمغيب الشماتى,1,0,False,0.4764764141450345,0.5235235858549655
اح لفريش,1,0,False,0.23402356095740182,0.7659764390425982
عبلويه 10😵,1,0,False,0.26292962432207095,0.7370703756779291
ماشاء الله تعليقات تليق الرويبضه زنديق,1,0,False,0.09908197120124088,0.9009180287987592
16 جيقا ويقلك ستوكي ياناس العلم لحقو 28 جيقا وحنايا عليها مازلنا روطار,1,0,False,0.028833232871455367,0.9711667671285447
frites omelette bayd café,1,0,False,0.24861543132583605,0.7513845686741639
ربي يحفظك اخينا العربي زيتوت واصل انشاء الله تسقط العصابه,1,0,False,0.27651381452133345,0.7234861854786665
السبب هادو ربراب زاد السردين السيارات العصابه المنتوجات كشيريست,1,0,False,0.24940688320627677,0.7505931167937232
nhebb mouloudia yedaq wnehi ze mla page taek drarri tae ze,1,0,False,0.385793902118237,0.614206097881763
