text,true_label,predicted_label,is_correct,probability_positive,probability_negative
يا خي بترونه,1,1,True,0.9966493,0.003350675
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.0059886635,0.99401134
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.024407087,0.9755929
بغل حركي,1,1,True,0.9982284,0.0017716289
خارينا,1,0,False,0.34082735,0.65917265
بنات الفميليا الجزاءر,0,0,True,0.020156043,0.979844
الله يبارك ما شاء الله,0,0,True,0.0018009379,0.99819905
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.58904153,0.41095847
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.0031204284,0.9968796
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.98496985,0.015030146
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.9997012,0.00029879808
انا شريتها من قسنطينه,0,0,True,0.0058761304,0.9941239
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,True,0.75477344,0.24522656
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.9837856,0.01621437
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.0574126,0.9425874
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.011741153,0.98825884
بركولي ليوم شريت,0,0,True,0.034661483,0.9653385
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.98439884,0.015601158
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.99682426,0.0031757355
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,True,0.763816,0.236184
الي روتور,0,0,True,0.1031509,0.8968491
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,0,False,0.10501967,0.8949803
عملاء فرنسا يسيطرون الجزاءر,1,1,True,0.94414806,0.055851936
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,True,0.027557967,0.97244203
تحرمن كيو تاع حمادي,0,0,True,0.22057082,0.7794292
فيف لقبايل,0,0,True,0.18836421,0.8116358
اه يالزح ما تفكرناش,0,0,True,0.30834132,0.6916587
جاري الخروج الصفحه الكاشيريه,1,1,True,0.82485753,0.17514247
ربي يهديكم,0,0,True,0.042182844,0.95781714
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.010157961,0.98984206
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.97665787,0.023342133
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,True,0.99139494,0.008605063
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.004204096,0.9957959
نعبد ربي الحمد اله يا رب,0,0,True,0.15468083,0.84531915
جي دورونج تاع التفاح,0,0,True,0.04096683,0.9590332
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,True,0.9557845,0.0442155
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.99942374,0.0005762577
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,True,0.004642196,0.9953578
وانت وين راك,0,0,True,0.117475845,0.88252413
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.97683126,0.023168743
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.024329524,0.97567046
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.99947995,0.0005200505
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,True,0.98091817,0.019081831
لقد اشتريت واحده ولم اعلم,0,0,True,0.0026498213,0.99735016
نحي فلسطين دار اسراءيل💔☹,0,0,True,0.06381658,0.93618345
دوك الصلاه تمنيكو بيها,1,1,True,0.5066231,0.4933769
يوجد نقطه بيع ولايه سكيكده,0,0,True,0.0013136963,0.9986863
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,1,False,0.8744107,0.12558931
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,True,0.0025326852,0.99746734
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,1,False,0.4448471,0.5551529
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,True,0.99780065,0.0021993518
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,True,0.94786036,0.05213964
دير القايد تبون تخافيش,0,1,False,0.92812157,0.07187843
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,1,True,0.9828698,0.017130196
الكعباخطرمنذالكورونا,1,0,False,0.34082735,0.65917265
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,True,0.63218963,0.36781037
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,True,0.059086915,0.9409131
تكتب ضواحيها ليس ظواحيها,0,1,False,0.8469241,0.15307587
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,True,0.78547114,0.21452886
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,1,False,0.7068983,0.29310173
se9si yemak tgoulk awlid,1,1,True,0.9989704,0.0010296106
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,1,True,0.86324275,0.13675725
el khra yaw,1,0,False,0.12191043,0.87808955
بركاكم الكذب الناس,0,1,False,0.96725345,0.032746553
واله حاجه متخرجني,0,0,True,0.006198204,0.9938018
khanza faiha tfo,1,0,False,0.32807982,0.6719202
صحا المازدا شكون نتا لي يقول احرار ياو فاقو هذا السيد دار لجوء سياسي باش يهجر ويعيش حياه اوروبه انت كافي ماتقدرش تكافيني يابغل انا وزيطوت واشباهكم تفرو صوالح الصهاينه بفئه من شباب الصاروخ وليريكا ماهوش فايق لعمرو,1,1,True,0.9664366,0.033563375
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,True,0.005669078,0.99433094
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,1,False,0.99159044,0.00840956
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,1,True,0.9410063,0.058993697
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,1,True,0.9942092,0.0057908297
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,1,True,0.940576,0.059423983
الشعب ساكت حق يستاهل يخلص الاكسجين الي يتنفس,0,0,True,0.04283121,0.9571688
كس امو لي ميحب فري فاير 😑,1,1,True,0.38600144,0.61399853
الجيش هو الشي الوحيد اللي يصلح في هذه البلاد,0,0,True,0.016564505,0.9834355
الحظه وقت الوقوف باب الجنه سنتذكر شعورنا الدقاءق,0,0,True,0.022326685,0.9776733
لو تصبروا حتى 10 افريل فقط صافيه,0,0,True,0.006795787,0.99320424
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,0,True,0.04591542,0.9540846
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,1,True,0.9405647,0.059435308
😅😆,1,0,False,0.34082735,0.65917265
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,True,0.72271025,0.27728975
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,1,True,0.99966466,0.00033533573
سببت الهتهم يا جورج,0,0,True,0.05957629,0.9404237
ya zitout tfo,1,1,True,0.9218349,0.078165114
اي روح نيكمك لقحبه هود لبلاد يا كرفه وفول ماناش حابسين,1,1,True,0.99923205,0.00076794624
لخماج خامجين كواvا,1,0,False,0.32807982,0.6719202
ta kalb chmata wa r7is wo tahan tffo,1,1,True,0.95591086,0.04408914
مزيه واحد زاد وحدو🙂😂,0,0,True,0.0021024095,0.99789757
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,0,True,0.009537464,0.99046254
طز روحو الامارات,1,1,True,0.99740183,0.0025981665
يارب امين يارب,0,0,True,0.0029675316,0.99703246
😂 بلا مزيه حبيبه قلبي 😘,0,0,True,0.0034561532,0.9965438
الزيت السكر لمده كيفاش القروض بلا حدود كيفاش يا جماعه حتي الاستعمار موفر مناصب شغل الظالم يبقي ظالم الاستعمار دار بني تحتيه احسن ملي درناهم تاع استقلال بصح هاد الشي منعش الشعب باش يطالب بحريته باختصار ربراب فاسد صح عندو مستوي تسير مليح بناه تم دم الجزاءرين الاف رجال الاعمال النزهاء وقت الارهاب,1,1,True,0.39522883,0.60477114
مبروك عليك من حراق الى صحافى محترف الله راك قدوه لكامل الشباب,0,0,True,0.013578656,0.98642135
السلام العليكم,0,0,True,0.012943194,0.9870568
