texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,1,1,0.5554533004760742,0.4445466995239258,False
تفضلي سقسي فرنديقتي علاش مترده,0,0,1,1,0.6324000954627991,0.3675999045372009,False
الله يبارك ما شاء الله,0,0,1,1,0.5071589946746826,0.4928410053253174,False
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,1,1,0.5467756986618042,0.4532243013381958,False
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,1,1,0.5233376622200012,0.4766623377799988,False
بركولي ليوم شريت,0,0,1,1,0.6117811799049377,0.38821882009506226,False
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,1,1,0.5537009239196777,0.44629907608032227,False
تحرمن كيو تاع حمادي,0,0,1,1,0.6167659163475037,0.38323408365249634,False
اه يالزح ما تفكرناش,0,0,1,1,0.5207473635673523,0.4792526364326477,False
تحيا الجزاءر وربي يرحم الشهداء,0,0,1,1,0.5755143761634827,0.42448562383651733,False
جي دورونج تاع التفاح,0,0,1,1,0.6007608771324158,0.39923912286758423,False
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,1,1,0.509406566619873,0.49059343338012695,False
وانت وين راك,0,0,1,1,0.5847905278205872,0.41520947217941284,False
انشاء اله كمل يبراو مرض سرطان,0,0,1,1,0.5641502737998962,0.43584972620010376,False
لقد اشتريت واحده ولم اعلم,0,0,1,1,0.5522089004516602,0.44779109954833984,False
نحي فلسطين دار اسراءيل💔☹,0,0,1,1,0.6192672848701477,0.3807327151298523,False
يوجد نقطه بيع ولايه سكيكده,0,0,1,1,0.5175793170928955,0.4824206829071045,False
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,0,1,1,0.6107022166252136,0.3892977833747864,False
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,1,1,0.511565625667572,0.488434374332428,False
دير القايد تبون تخافيش,0,0,1,1,0.5789623856544495,0.42103761434555054,False
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,1,1,0.6421180963516235,0.35788190364837646,False
تكتب ضواحيها ليس ظواحيها,0,0,1,1,0.5359936356544495,0.46400636434555054,False
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,1,1,0.5167306661605835,0.4832693338394165,False
واله حاجه متخرجني,0,0,1,1,0.5408015847206116,0.4591984152793884,False
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,0,1,1,0.5468764305114746,0.4531235694885254,False
الجيش هو الشي الوحيد اللي يصلح في هذه البلاد,0,0,1,1,0.5756981372833252,0.4243018627166748,False
الحظه وقت الوقوف باب الجنه سنتذكر شعورنا الدقاءق,0,0,1,1,0.5454074740409851,0.4545925259590149,False
لو تصبروا حتى 10 افريل فقط صافيه,0,0,1,1,0.5697596073150635,0.4302403926849365,False
سببت الهتهم يا جورج,0,0,1,1,0.5857136845588684,0.4142863154411316,False
مزيه واحد زاد وحدو🙂😂,0,0,1,1,0.6534212827682495,0.3465787172317505,False
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,0,1,1,0.579621434211731,0.42037856578826904,False
😂 بلا مزيه حبيبه قلبي 😘,0,0,1,1,0.5559886693954468,0.4440113306045532,False
مبروك عليك من حراق الى صحافى محترف الله راك قدوه لكامل الشباب,0,0,1,1,0.5367632508277893,0.4632367491722107,False
السلام العليكم,0,0,1,1,0.5706710815429688,0.42932891845703125,False
مكن اعرف نقاط البيع ولايات الشرق,0,0,1,1,0.564810574054718,0.435189425945282,False
لي راهم يقولو سعر سكر لي يجيبو ربراب غالي حاجه سااهله ماشي لازم تشري سكر تاع ربراب كاين علامات اخرى مثل لابال,0,0,1,1,0.5017198324203491,0.4982801675796509,False
بوليخاريو وشبه عثمانين يشعرون بصدمه مما وقع,0,0,1,1,0.5511811375617981,0.4488188624382019,False
اررض 🤣,0,0,1,1,0.5642685890197754,0.4357314109802246,False
لم تتصلوا بي,0,0,1,1,0.5251671075820923,0.4748328924179077,False
راحت هيبت فريت اوملات شي,0,0,1,1,0.5864688158035278,0.41353118419647217,False
اولا تكلم القباءل بصفه الجمع قضيه ربراب ثانيا المدافعون دافعو كبيرهم ربراب وعندما نقول ربراب نقول توفيق وحداد دافعو احشمو احشمو,0,0,1,1,0.5005414485931396,0.49945855140686035,False
مهمتنا تغيير النظام وليس تحرير ربراب,0,0,1,1,0.6166650652885437,0.3833349347114563,False
الله يسهل,0,0,1,1,0.5155424475669861,0.4844575524330139,False
تموتو من مولوديه 🤦‍♂️,0,0,1,1,0.5108685493469238,0.48913145065307617,False
العصابه مازالت تستغل ماسي الشعب الزوالي باش تحب تبلعط وتتقرب من الناس لراهي رافضه ليها وماكاش الشرعيه لحكومه الجنرالات,0,0,1,1,0.5770376920700073,0.4229623079299927,False
خاوتي سلام عليكم راني حبيت نسقسيكم اقصي لتدخل مصالح الصيانه لديكم زبون لديه مشكل ثلاجه,0,0,1,1,0.5018126964569092,0.4981873035430908,False
انا نعبد في القايد صالح مبعد بدلت راني نعبد في شنقريحه حتى ايبان كاش واحد واقف نزيد نعبدو,0,0,1,1,0.5618992447853088,0.43810075521469116,False
علاه كاين بالو دزاير 😂,0,0,1,1,0.5611515045166016,0.43884849548339844,False
بسكره عندكمش نقاط البيع,0,0,1,1,0.5706440806388855,0.4293559193611145,False
ربراب الهدف القبض ربراب,0,0,1,1,0.698366641998291,0.301633358001709,False
المهم التبهديل الكبير في كاس العالم هذا هو الهدف المقلوب عفوا المطلوب,0,0,1,1,0.599004864692688,0.400995135307312,False
مبروك عليك علينا le diplôme,0,0,1,1,0.5359458923339844,0.4640541076660156,False
القانون الجميع ربراب اظهرت التحقيقات متورط الفساد لازم يتعاقب اطار القانون منو مالناس,0,0,1,1,0.6194887757301331,0.38051122426986694,False
الدعاء استوقفتني كلمه حكمك عدل اذن الوضع تعيشه الوضع تستحقه,0,0,1,1,0.5218712091445923,0.4781287908554077,False
اين المفر,0,0,1,1,0.5089268684387207,0.4910731315612793,False
ربراب هذا من فضل ربي 😁,0,0,1,1,0.556468665599823,0.443531334400177,False
حياك اله استاد العربي,0,0,1,1,0.5092662572860718,0.4907337427139282,False
وعلاه هربت قبل ماتطفى الناراحناكناثم في القاله ماخرجناش حتى طفاوها وخرجنا وقت المغرب والحمد لله ولاحو,0,0,1,1,0.5446954965591431,0.45530450344085693,False
مبروك علينا نتمنا للجزائر الترشح لكاس العالم ضمان المرتب الثالثه ❤,0,0,1,1,0.5691052675247192,0.43089473247528076,False
نسيت بابانا,0,0,1,1,0.5956105589866638,0.4043894410133362,False
هل يوجد المحل في جيجل,0,0,1,1,0.5122892260551453,0.48771077394485474,False
كم ثمنها من فضلك,0,0,1,1,0.5909738540649414,0.4090261459350586,False
او 46 الف تاعي بركاو ماتسرقو رجعوها,0,0,1,1,0.5166032910346985,0.4833967089653015,False
