texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,1,1,0.5181878805160522,0.48181211948394775,False
تفضلي سقسي فرنديقتي علاش مترده,0,0,1,1,0.5615674257278442,0.43843257427215576,False
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,1,1,0.5009850263595581,0.4990149736404419,False
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,1,1,0.5119630694389343,0.4880369305610657,False
تحيا الجزاءر وربي يرحم الشهداء,0,0,1,1,0.5123812556266785,0.48761874437332153,False
جي دورونج تاع التفاح,0,0,1,1,0.5337458848953247,0.4662541151046753,False
وانت وين راك,0,0,1,1,0.5314205884933472,0.46857941150665283,False
لقد اشتريت واحده ولم اعلم,0,0,1,1,0.523505449295044,0.47649455070495605,False
يوجد نقطه بيع ولايه سكيكده,0,0,1,1,0.5927804708480835,0.4072195291519165,False
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,1,1,0.6227943897247314,0.37720561027526855,False
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,1,1,0.5245537757873535,0.4754462242126465,False
دير القايد تبون تخافيش,0,0,1,1,0.5028387904167175,0.49716120958328247,False
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,1,1,0.5892453193664551,0.4107546806335449,False
تكتب ضواحيها ليس ظواحيها,0,0,1,1,0.5501419305801392,0.44985806941986084,False
واله حاجه متخرجني,0,0,1,1,0.5024864673614502,0.4975135326385498,False
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,1,1,0.5302585363388062,0.46974146366119385,False
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,0,1,1,0.6144134402275085,0.38558655977249146,False
مزيه واحد زاد وحدو🙂😂,0,0,1,1,0.5208107829093933,0.4791892170906067,False
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,0,1,1,0.5061872601509094,0.4938127398490906,False
😂 بلا مزيه حبيبه قلبي 😘,0,0,1,1,0.6172300577163696,0.38276994228363037,False
مكن اعرف نقاط البيع ولايات الشرق,0,0,1,1,0.5084262490272522,0.4915737509727478,False
لي راهم يقولو سعر سكر لي يجيبو ربراب غالي حاجه سااهله ماشي لازم تشري سكر تاع ربراب كاين علامات اخرى مثل لابال,0,0,1,1,0.5735533833503723,0.4264466166496277,False
الشوربه االشعيريه بالدجاج اصلها الجزائر العاصمه والشوربه فريك اصلها الاوراس من قسنطينه والهضاب العليا السطايفيه,0,0,1,1,0.5051478743553162,0.49485212564468384,False
ايه عندهم الحق الجزاءر بلاد امن راك تشوف فينا نتقاتلو بالسلاح,0,0,1,1,0.5478731393814087,0.4521268606185913,False
سوف تموت ولن تجد ارض تدفن فيها ارض الشهداء حرمت عليم,0,0,1,1,0.5164840817451477,0.4835159182548523,False
راحت هيبت فريت اوملات شي,0,0,1,1,0.573395311832428,0.426604688167572,False
يتسما نحمد ربي,0,0,1,1,0.5226802825927734,0.47731971740722656,False
انا نعبد في القايد صالح مبعد بدلت راني نعبد في شنقريحه حتى ايبان كاش واحد واقف نزيد نعبدو,0,0,1,1,0.5320215225219727,0.46797847747802734,False
علاه كاين بالو دزاير 😂,0,0,1,1,0.5274159908294678,0.4725840091705322,False
بسكره عندكمش نقاط البيع,0,0,1,1,0.563173234462738,0.43682676553726196,False
مانحبش نسمع 😒,0,0,1,1,0.5216991305351257,0.47830086946487427,False
الدعاء استوقفتني كلمه حكمك عدل اذن الوضع تعيشه الوضع تستحقه,0,0,1,1,0.5438142418861389,0.4561857581138611,False
ربراب هذا من فضل ربي 😁,0,0,1,1,0.5579605102539062,0.44203948974609375,False
الجيش والشعب لحمه واحده سليل الجيش التحرير الوطني نصيحه لكل انسان يتحدو كلمه واحده الجزاءر,0,0,1,1,0.5607918500900269,0.43920814990997314,False
يارب لي بالي,0,0,1,1,0.5204982161521912,0.47950178384780884,False
حبا الله الاحرار الشعب العظيم,0,0,1,1,0.580906331539154,0.41909366846084595,False
لم تلمسها يا ادمين🤷‍♂️,0,0,1,1,0.5548374056816101,0.4451625943183899,False
خاوتي انا راني مبيراطي هاج لا باجمتنخلعوش 😂,0,0,1,1,0.5343433618545532,0.4656566381454468,False
akdli ela soolking 🤣,0,0,1,1,0.5201364159584045,0.47986358404159546,False
الغساله بقداه,0,0,1,1,0.5305291414260864,0.4694708585739136,False
البروبلام يقولولو استاذ فالايف,0,0,1,1,0.5428627133369446,0.4571372866630554,False
تشفاو نهار لي تصورو زعما قريب ربغين واحد قع لابسين تريكو واحد يامات العيد,0,0,1,1,0.505800724029541,0.494199275970459,False
انا امين 25 سنه,0,0,1,1,0.5026131272315979,0.4973868727684021,False
مكن صوره,0,0,1,1,0.5291552543640137,0.47084474563598633,False
شكون لي ماشي فاهم في جدها والو كيما انا,0,0,1,1,0.5049639344215393,0.4950360655784607,False
صحفي حر حيا اله الاحرار ديما عقبهم,0,0,1,1,0.5197671055793762,0.4802328944206238,False
الصواب غلق الحدود نسي اغلق الحدود لاول مره لماذا الم نكتفي منهم وقت مضي كانو يونادونا الارهابين الم تغرق الجزاءر بالمخذرات الم تكن ملجا لقيادات الارهابين الجزاءر منفذ لسلحه كذب افتراء واله شعب عزه كرامه فاذا اعتبرتونا جاهلين فنحن التسعينيات فلو خيروني بينا الحرب السلم المغرب فاختار الحرب لكي انتزع ثار الشهذاء مات وقت الارهاب,0,0,1,1,0.5477664470672607,0.45223355293273926,False
لست بساحر بصح علابالي راك قاعد دك خاصك دراهم01,0,0,1,1,0.5811094045639038,0.4188905954360962,False
بالبركه لعقوبه لحاجه اخرى,0,0,1,1,0.5125440359115601,0.48745596408843994,False
بوادر ازمه لا يحمد عقباه,0,0,1,1,0.5107643008232117,0.48923569917678833,False
مش لازم غني هكاك بعد,0,0,1,1,0.5314933657646179,0.4685066342353821,False
سقسي اي واحد هنا يقولك ساره بريئه عاقله مسالمه nمي عائشه نوو🤭,0,0,1,1,0.5408642888069153,0.4591357111930847,False
