texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
يا خي بترونه,1,1,0,0,0.3953233063220978,0.6046766936779022,False
بغل حركي,1,1,0,0,0.45698538422584534,0.5430146157741547,False
خارينا,1,1,0,0,0.4395290017127991,0.5604709982872009,False
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,0,0,0.4555662274360657,0.5444337725639343,False
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,0,0,0.43370717763900757,0.5662928223609924,False
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,0,0,0.45044636726379395,0.549553632736206,False
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,0,0,0.4673095643520355,0.5326904356479645,False
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,0,0,0.4674520492553711,0.5325479507446289,False
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,0,0,0.489324152469635,0.510675847530365,False
عملاء فرنسا يسيطرون الجزاءر,1,1,0,0,0.44035276770591736,0.5596472322940826,False
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,0,0,0.48524603247642517,0.5147539675235748,False
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,0,0,0.47752854228019714,0.5224714577198029,False
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,0,0,0.46297699213027954,0.5370230078697205,False
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,0,0,0.48599040508270264,0.5140095949172974,False
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,0,0,0.3645743727684021,0.6354256272315979,False
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,0,0,0.4142450988292694,0.5857549011707306,False
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,1,0,0,0.48686304688453674,0.5131369531154633,False
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,0,0,0.49483242630958557,0.5051675736904144,False
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,0,0,0.41756704449653625,0.5824329555034637,False
se9si yemak tgoulk awlid,1,1,0,0,0.4205843508243561,0.5794156491756439,False
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,1,0,0,0.48470795154571533,0.5152920484542847,False
el khra yaw,1,1,0,0,0.4788517355918884,0.5211482644081116,False
khanza faiha tfo,1,1,0,0,0.3920738697052002,0.6079261302947998,False
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,1,0,0,0.42285069823265076,0.5771493017673492,False
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,1,0,0,0.4697803854942322,0.5302196145057678,False
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,1,0,0,0.42007145285606384,0.5799285471439362,False
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,1,0,0,0.478653222322464,0.521346777677536,False
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,1,0,0,0.41906487941741943,0.5809351205825806,False
ya zitout tfo,1,1,0,0,0.47734779119491577,0.5226522088050842,False
اي روح نيكمك لقحبه هود لبلاد يا كرفه وفول ماناش حابسين,1,1,0,0,0.4428425133228302,0.5571574866771698,False
لخماج خامجين كواvا,1,1,0,0,0.37545499205589294,0.6245450079441071,False
ta kalb chmata wa r7is wo tahan tffo,1,1,0,0,0.43301793932914734,0.5669820606708527,False
الزيت السكر لمده كيفاش القروض بلا حدود كيفاش يا جماعه حتي الاستعمار موفر مناصب شغل الظالم يبقي ظالم الاستعمار دار بني تحتيه احسن ملي درناهم تاع استقلال بصح هاد الشي منعش الشعب باش يطالب بحريته باختصار ربراب فاسد صح عندو مستوي تسير مليح بناه تم دم الجزاءرين الاف رجال الاعمال النزهاء وقت الارهاب,1,1,0,0,0.4582459628582001,0.5417540371417999,False
راقصه ملاهي ليليه وعميله فرنسا تكلم شءون البلاد عيش تشوف,1,1,0,0,0.41136375069618225,0.5886362493038177,False
ballon mach balloon camarade mach camarad et3elem nta boudaoui sahal,1,1,0,0,0.47621971368789673,0.5237802863121033,False
ولاد لكلاب كلاو بعضهم بعض 😂,1,1,0,0,0.478331059217453,0.521668940782547,False
عمي العربي مفهمنا والو هذو العجزه اسود علينا نعال في ارجل اسيادهم,1,1,0,0,0.4131387770175934,0.5868612229824066,False
اله يذلك يا ديوث يا كبول,1,1,0,0,0.4052116274833679,0.5947883725166321,False
القبائل لي راكم تتحرشو بيهم ديما راهم رجاله عليكم بينو بلي احرار ماشي كيما وحد الفئه ربي يهديهم جماعه بوصبع لزرق حاضرين في كل فوط,1,1,0,0,0.42815178632736206,0.5718482136726379,False
المبلغ هادا حكمو حداد صرف رقيق يا ارهابي,1,1,0,0,0.4688199758529663,0.5311800241470337,False
هذا والى سرق نورمال ماشي كما نتوما يا قتالين,1,1,0,0,0.4311695992946625,0.5688304007053375,False
