texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,1,1,0.5006962,0.49930382,False
نعبد ربي الحمد اله يا رب,0,0,1,1,0.5778412,0.42215878,False
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,1,1,0.5255193,0.4744807,False
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,1,1,0.6610828,0.3389172,False
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,1,1,0.59306055,0.40693945,False
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,1,1,0.5694045,0.43059552,False
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,0,1,1,0.6744931,0.32550693,False
سببت الهتهم يا جورج,0,0,1,1,0.7704622,0.22953779,False
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,0,1,1,0.53836477,0.46163523,False
😂 بلا مزيه حبيبه قلبي 😘,0,0,1,1,0.67791307,0.32208693,False
ايه عندهم الحق الجزاءر بلاد امن راك تشوف فينا نتقاتلو بالسلاح,0,0,1,1,0.5030778,0.4969222,False
لم تلمسها يا ادمين🤷‍♂️,0,0,1,1,0.6857592,0.3142408,False
بركاو التخلاط وشي هاذ المصطلحات الغريبه قهوي روجي وردي موفي سميو الاشخاص باسماءها وحطو الامور نصابها حبسونا هاذ لهبال,0,0,1,1,0.57003105,0.42996895,False
ربراب فءنسي وحداد بريطاني واخر خبر كونيناف جنسيه سويسريه لك اله يا جزاءر,0,0,1,1,0.7754895,0.22451049,False
بانت حقيقتك,0,0,1,1,0.55917484,0.44082516,False
