texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
فيف لقبايل,0,0,1,1,0.5251307,0.4748693,False
دير القايد تبون تخافيش,0,0,1,1,0.7792826,0.22071737,False
بركاكم الكذب الناس,0,0,1,1,0.54192686,0.45807314,False
مبروك عليك من حراق الى صحافى محترف الله راك قدوه لكامل الشباب,0,0,1,1,0.80272216,0.19727784,False
كفاه راهم يديرو هاذو باه يربحو,0,0,1,1,0.5024129,0.49758708,False
مهمتنا تغيير النظام وليس تحرير ربراب,0,0,1,1,0.5558093,0.44419068,False
تموتو من مولوديه 🤦‍♂️,0,0,1,1,0.74257976,0.25742024,False
او انت تعطيني معلومات,0,0,1,1,0.52221984,0.47778016,False
ولكن اذا اصبح كل ناس اغنياء لا تجد من يحلق شعر راسك او يبيع لك سجائر او يعصر لك القهوه الى اخره لانهم كلهم اغنياء لا احد يريد العمل لذالك خمم فيها مليح قبل ما تهدر,0,0,1,1,0.5555314,0.44446862,False
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,0,1,1,0.98033273,0.019667268,False
خل معالجه الصوره,0,0,1,1,0.6250283,0.3749717,False
من اليوم يا السطايفي راك كيف كيف فالميزان نتا والبجاوي ممنوع عليك حملاوي,0,0,1,1,0.96300364,0.036996365,False
افريقيا الكحلاء,0,0,1,1,0.70629025,0.29370975,False
جناح القايد قضى على جناح بوتفليقه والان جناح اخر يقضي على جناح القايد الفرق انه كنا نعرف جناح بوتاف وجناح القايد اما الان فلا نعرف اي الاجنحه تتحكم فلو صدقنا قولكم على ان توفيق ونزار يتحكمان فلمذا كنتم ضد من اراد القضاء عليهم بمعنى واحد ووحيد انكم لن ترضو باي جناح حتى ولو كان جناح بعوضه,0,0,1,1,0.98854476,0.011455238,False
زيدلها المازدا,0,0,1,1,0.7326759,0.2673241,False
استخبارات امريكا تحذر ام تحظر لانه المعروف الاستخبارات تحظر لكوارث تبحث عمن ينفذ,0,0,1,1,0.5289926,0.4710074,False
ça va chwia mn frr 😆,0,0,1,1,0.9733559,0.02664411,False
sidi rayak nahtarmoh aya 9oli wach tsupporté nta,0,0,1,1,0.9611694,0.03883058,False
استقلال مختطف فيق يا شعب,0,0,1,1,0.9546548,0.045345187,False
ma9sthach ga3 ki jbadt crb,0,0,1,1,0.96782357,0.032176435,False
nta bach talha9 crb lazemlk kho 😉,0,0,1,1,0.9213844,0.078615606,False
عفى الله عما سلف فهم من الشعب ظروفهم صعبه كان الله في عونهم,0,0,1,1,0.9640039,0.03599608,False
