texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,1,True,0.9475145,0.052485526
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.0021933613,0.99780667
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.0011795526,0.9988204
بغل حركي,1,1,True,0.9994123,0.0005877018
خارينا,1,0,False,0.37493593,0.6250641
بنات الفميليا الجزاءر,0,0,True,0.010084659,0.9899154
الله يبارك ما شاء الله,0,0,True,0.0003564247,0.99964356
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.99387604,0.00612396
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.00020728575,0.9997927
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.99994075,5.9247017e-05
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.9997025,0.00029748678
انا شريتها من قسنطينه,0,0,True,0.0046070395,0.995393
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,True,0.71590036,0.28409964
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.95345145,0.046548545
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.0013348764,0.9986651
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.0138475485,0.98615247
بركولي ليوم شريت,0,0,True,0.0027063654,0.99729365
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.99906105,0.00093895197
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.99988663,0.000113368034
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,True,0.98232585,0.017674148
الي روتور,0,0,True,0.058356658,0.94164336
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,0,False,0.119647145,0.88035285
عملاء فرنسا يسيطرون الجزاءر,1,1,True,0.99004877,0.009951234
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,True,0.000608295,0.99939173
تحرمن كيو تاع حمادي,0,0,True,0.022648048,0.97735196
فيف لقبايل,0,0,True,0.3561963,0.6438037
اه يالزح ما تفكرناش,0,0,True,0.015510418,0.98448956
جاري الخروج الصفحه الكاشيريه,1,1,True,0.92688024,0.07311976
ربي يهديكم,0,0,True,0.053851176,0.9461488
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.00060881965,0.9993912
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.99999607,3.9339066e-06
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,True,0.99985886,0.0001411438
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.0021855608,0.9978144
نعبد ربي الحمد اله يا رب,0,0,True,0.003817594,0.9961824
جي دورونج تاع التفاح,0,0,True,0.005646274,0.9943537
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,True,0.98692,0.013080001
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.9991716,0.00082838535
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,True,0.00038481777,0.9996152
وانت وين راك,0,0,True,0.19644031,0.80355966
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.9987992,0.0012007952
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.0037538996,0.9962461
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.99999297,7.033348e-06
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,True,0.99498147,0.0050185323
لقد اشتريت واحده ولم اعلم,0,0,True,0.000112720816,0.9998873
نحي فلسطين دار اسراءيل💔☹,0,0,True,0.44894657,0.5510534
دوك الصلاه تمنيكو بيها,1,1,True,0.7450155,0.2549845
يوجد نقطه بيع ولايه سكيكده,0,0,True,4.0306422e-05,0.9999597
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,0,True,0.0046969363,0.99530303
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,True,0.014961506,0.9850385
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,True,0.0006800723,0.9993199
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,True,0.9999585,4.1484833e-05
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,True,0.999491,0.00050902367
دير القايد تبون تخافيش,0,1,False,0.91637415,0.08362585
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,1,True,0.9999963,3.695488e-06
الكعباخطرمنذالكورونا,1,0,False,0.37493593,0.6250641
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,True,0.99497765,0.005022347
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,True,0.015124186,0.9848758
تكتب ضواحيها ليس ظواحيها,0,0,True,0.454688,0.545312
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,True,0.99395496,0.0060450435
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,True,0.015358208,0.9846418
se9si yemak tgoulk awlid,1,1,True,0.99144113,0.008558869
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,1,True,0.9968425,0.0031574965
el khra yaw,1,1,True,0.89322364,0.10677636
بركاكم الكذب الناس,0,1,False,0.58500206,0.41499794
واله حاجه متخرجني,0,0,True,0.008619805,0.9913802
khanza faiha tfo,1,1,True,0.63864076,0.36135924
صحا المازدا شكون نتا لي يقول احرار ياو فاقو هذا السيد دار لجوء سياسي باش يهجر ويعيش حياه اوروبه انت كافي ماتقدرش تكافيني يابغل انا وزيطوت واشباهكم تفرو صوالح الصهاينه بفئه من شباب الصاروخ وليريكا ماهوش فايق لعمرو,1,1,True,0.99999607,3.9339066e-06
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,True,7.3801886e-05,0.9999262
