texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,1,True,0.8019379,0.19806212
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.24645217,0.75354785
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.35988474,0.64011526
بغل حركي,1,1,True,0.9131012,0.0868988
خارينا,1,0,False,0.37350178,0.6264982
بنات الفميليا الجزاءر,0,0,True,0.35002995,0.64997005
الله يبارك ما شاء الله,0,0,True,0.0122252805,0.9877747
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.5813412,0.4186588
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.11751863,0.88248134
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.8314359,0.16856408
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.94525695,0.05474305
انا شريتها من قسنطينه,0,0,True,0.05855356,0.9414464
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,True,0.713073,0.28692698
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.97308743,0.02691257
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.36024687,0.6397531
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,1,False,0.6328482,0.3671518
بركولي ليوم شريت,0,0,True,0.06987923,0.93012077
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.8876002,0.11239982
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.9798937,0.020106316
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,True,0.6562491,0.3437509
الي روتور,0,0,True,0.13939331,0.8606067
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,True,0.5187954,0.48120463
عملاء فرنسا يسيطرون الجزاءر,1,0,False,0.44017687,0.55982316
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,1,False,0.6080481,0.39195192
تحرمن كيو تاع حمادي,0,0,True,0.4920205,0.5079795
فيف لقبايل,0,0,True,0.3237746,0.6762254
اه يالزح ما تفكرناش,0,0,True,0.2849268,0.7150732
جاري الخروج الصفحه الكاشيريه,1,0,False,0.19764723,0.8023528
ربي يهديكم,0,0,True,0.07100446,0.92899555
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.05264716,0.9473528
