number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_lstm,params_dropout_post_lstm,params_dropout_pre_lstm,params_factor,params_hidden_dim,params_learning_rate,params_n_layers,params_patience,params_weight_decay,state
0,0.4756463134894962,2026-05-26 12:05:03.748079,2026-05-26 12:09:10.723693,0 days 00:04:06.975614,32,3.3994812107955625,0.5,0.2,0.5,0.1,64,0.00010255552094216992,2,4,0.00013066739238053285,COMPLETE
1,0.4880377355740926,2026-05-26 12:09:10.725091,2026-05-26 12:12:08.521788,0 days 00:02:57.796697,32,3.0489195547657553,0.4,0.4,0.2,0.4,48,0.0003654769917956456,1,2,0.0003823475224675188,COMPLETE
2,0.44928053971299897,2026-05-26 12:12:08.522889,2026-05-26 12:14:35.129121,0 days 00:02:26.606232,64,2.416590316244232,0.3,0.5,0.4,0.35,48,0.0001096524277832185,2,0,0.00013492834268013249,COMPLETE
3,0.011560693641618497,2026-05-26 12:14:35.130377,2026-05-26 12:15:51.052419,0 days 00:01:15.922042,128,2.9792217348362575,0.3,0.6,0.4,0.25,80,0.00016463795672118082,1,4,0.0021137059440645744,COMPLETE
4,0.47373673111532477,2026-05-26 12:15:51.053372,2026-05-26 12:18:21.414046,0 days 00:02:30.360674,64,0.9547826400522686,0.7,0.2,0.4,0.8,128,0.00012329223607243696,2,1,0.00012315571723666037,COMPLETE
5,0.0,2026-05-26 12:18:21.415250,2026-05-26 12:21:14.156894,0 days 00:02:52.741644,32,0.5338857085259134,0.5,0.4,0.2,0.65,32,0.002010804001006617,1,2,0.00830886096612208,COMPLETE
6,0.4631204197704449,2026-05-26 12:21:14.158014,2026-05-26 12:24:10.131871,0 days 00:02:55.973857,32,4.982175626258337,0.4,0.4,0.2,0.5,112,0.000834076117670142,1,2,0.0006589837388158311,COMPLETE
7,0.45039203884630047,2026-05-26 12:24:10.132901,2026-05-26 12:25:27.899747,0 days 00:01:17.766846,128,1.5698807618409583,0.7,0.30000000000000004,0.2,0.45000000000000007,32,0.0004960281433134101,1,3,0.0005234878117183911,COMPLETE
8,0.4859708260047981,2026-05-26 12:25:27.901436,2026-05-26 12:28:25.461986,0 days 00:02:57.560550,32,1.413252894407453,0.5,0.6,0.6,0.85,80,0.004116872913975088,1,0,0.0016715497814415725,COMPLETE
9,0.47965153335441835,2026-05-26 12:28:25.463052,2026-05-26 12:32:28.916713,0 days 00:04:03.453661,32,4.720945016216621,0.4,0.30000000000000004,0.30000000000000004,0.65,96,0.0003945173598476267,2,3,0.00034182789779257786,COMPLETE
10,0.3655564606258076,2026-05-26 12:32:28.917949,2026-05-26 12:34:22.206772,0 days 00:01:53.288823,64,2.2018685216476275,0.6000000000000001,0.5,0.30000000000000004,0.1,64,5.056401182267126e-05,1,1,0.0051157217815787775,COMPLETE
11,0.4872903643292708,2026-05-26 12:34:22.208127,2026-05-26 12:37:20.364790,0 days 00:02:58.156663,32,1.5717394068125723,0.4,0.6,0.6,0.9,80,0.004550952398044049,1,0,0.0016208236209362353,COMPLETE
12,0.4600840714340203,2026-05-26 12:37:20.365788,2026-05-26 12:40:17.611806,0 days 00:02:57.246018,32,1.1529980834296951,0.4,0.5,0.6,0.65,64,0.0013468725891872166,1,1,0.0012328302929046151,COMPLETE
13,0.48474848027817846,2026-05-26 12:40:17.612759,2026-05-26 12:43:16.081675,0 days 00:02:58.468916,32,0.8374221392607385,0.4,0.30000000000000004,0.5,0.30000000000000004,96,0.0037459424459416737,1,0,0.0003315977424533472,COMPLETE
14,0.0,2026-05-26 12:43:16.082968,2026-05-26 12:46:12.716754,0 days 00:02:56.633786,32,1.9968598520061978,0.3,0.5,0.5,0.75,48,0.0002934855132695697,1,3,0.00296897810201179,COMPLETE
