texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
بغل حركي,1,1,0,0,0.3766445,0.6233555,False
خارينا,1,1,0,0,0.33863288,0.6613671,False
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,0,0,0.44036973,0.5596303,False
عملاء فرنسا يسيطرون الجزاءر,1,1,0,0,0.44727668,0.5527233,False
جاري الخروج الصفحه الكاشيريه,1,1,0,0,0.446927,0.553073,False
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,0,0,0.44118324,0.5588168,False
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,0,0,0.37611362,0.62388635,False
دوك الصلاه تمنيكو بيها,1,1,0,0,0.26350635,0.73649365,False
الكعباخطرمنذالكورونا,1,1,0,0,0.33863288,0.6613671,False
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,0,0,0.29857874,0.70142126,False
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,0,0,0.45801556,0.54198444,False
se9si yemak tgoulk awlid,1,1,0,0,0.33558738,0.6644126,False
el khra yaw,1,1,0,0,0.39747232,0.6025277,False
khanza faiha tfo,1,1,0,0,0.4124679,0.5875321,False
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,1,0,0,0.45664337,0.54335666,False
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,1,0,0,0.45766452,0.5423355,False
كس امو لي ميحب فري فاير 😑,1,1,0,0,0.35104772,0.64895225,False
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,1,0,0,0.47319362,0.52680635,False
😅😆,1,1,0,0,0.3304807,0.6695193,False
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,1,0,0,0.49179658,0.5082034,False
لخماج خامجين كواvا,1,1,0,0,0.24700598,0.752994,False
ta kalb chmata wa r7is wo tahan tffo,1,1,0,0,0.38140175,0.6185982,False
طز روحو الامارات,1,1,0,0,0.42692184,0.57307816,False
اخرج ازبل اخرج,1,1,0,0,0.40069422,0.59930575,False
ballon mach balloon camarade mach camarad et3elem nta boudaoui sahal,1,1,0,0,0.47391936,0.5260806,False
ولاد لكلاب كلاو بعضهم بعض 😂,1,1,0,0,0.48299038,0.5170096,False
