fold,best_val_f1,model_path
1,0.8755113968439509,outputs_cv10/mbert_fold1_best.pth
2,0.8417910447761194,outputs_cv10/mbert_fold2_best.pth
3,0.8684057971014493,outputs_cv10/mbert_fold3_best.pth
4,0.8661233993015134,outputs_cv10/mbert_fold4_best.pth
5,0.8653733098177543,outputs_cv10/mbert_fold5_best.pth
6,0.8520023215322112,outputs_cv10/mbert_fold6_best.pth
7,0.8761792452830188,outputs_cv10/mbert_fold7_best.pth
8,0.855039637599094,outputs_cv10/mbert_fold8_best.pth
9,0.8594470046082949,outputs_cv10/mbert_fold9_best.pth
10,0.8533969010727056,outputs_cv10/mbert_fold10_best.pth
