texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,1,True,0.9890282154083252,0.010971784591674805
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.0007286018808372319,0.9992713981191628
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.0008540441049262881,0.9991459558950737
بغل حركي,1,1,True,0.9989206790924072,0.0010793209075927734
خارينا,1,0,False,0.14738582074642181,0.8526141792535782
بنات الفميليا الجزاءر,0,0,True,0.002910269657149911,0.9970897303428501
الله يبارك ما شاء الله,0,0,True,0.0014670143136754632,0.9985329856863245
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.8558223247528076,0.14417767524719238
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.0004735034890472889,0.9995264965109527
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.9945276379585266,0.005472362041473389
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.9986854195594788,0.0013145804405212402
انا شريتها من قسنطينه,0,0,True,0.0007144816918298602,0.9992855183081701
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,True,0.5413783192634583,0.45862168073654175
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.9978112578392029,0.002188742160797119
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.0019731749780476093,0.9980268250219524
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.0051661524921655655,0.9948338475078344
بركولي ليوم شريت,0,0,True,0.000757245346903801,0.9992427546530962
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.9958868622779846,0.004113137722015381
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.9987577199935913,0.0012422800064086914
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,False,0.013829543255269527,0.9861704567447305
الي روتور,0,0,True,0.00127596955280751,0.9987240304471925
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,True,0.9956002235412598,0.004399776458740234
عملاء فرنسا يسيطرون الجزاءر,1,1,True,0.9969558715820312,0.00304412841796875
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,True,0.001803192077204585,0.9981968079227954
تحرمن كيو تاع حمادي,0,0,True,0.0012788688763976097,0.9987211311236024
فيف لقبايل,0,0,True,0.002103760140016675,0.9978962398599833
اه يالزح ما تفكرناش,0,0,True,0.0011888517765328288,0.9988111482234672
جاري الخروج الصفحه الكاشيريه,1,1,True,0.9958747029304504,0.0041252970695495605
ربي يهديكم,0,0,True,0.008393548429012299,0.9916064515709877
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.0021706304978579283,0.9978293695021421
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.9985986351966858,0.001401364803314209
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,True,0.9988847374916077,0.001115262508392334
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.0012495083501562476,0.9987504916498438
نعبد ربي الحمد اله يا رب,0,0,True,0.0008415575139224529,0.9991584424860775
جي دورونج تاع التفاح,0,0,True,0.000864095869474113,0.9991359041305259
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,True,0.9977992177009583,0.002200782299041748
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.9983958601951599,0.0016041398048400879
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,True,0.04005179554224014,0.9599482044577599
وانت وين راك,0,0,True,0.000879060709849,0.999120939290151
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.9984909296035767,0.0015090703964233398
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.003010822692885995,0.996989177307114
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.9986842274665833,0.001315772533416748
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,True,0.9982588887214661,0.0017411112785339355
لقد اشتريت واحده ولم اعلم,0,0,True,0.0008336785831488669,0.9991663214168511
نحي فلسطين دار اسراءيل💔☹,0,0,True,0.005869972053915262,0.9941300279460847
دوك الصلاه تمنيكو بيها,1,1,True,0.9987186193466187,0.0012813806533813477
يوجد نقطه بيع ولايه سكيكده,0,0,True,0.0008436497882939875,0.999156350211706
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,0,True,0.006614947225898504,0.9933850527741015
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,True,0.005637571215629578,0.9943624287843704
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,1,False,0.99506676197052,0.0049332380294799805
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,True,0.9986410737037659,0.0013589262962341309
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,True,0.9805272817611694,0.019472718238830566
دير القايد تبون تخافيش,0,0,True,0.011321641504764557,0.9886783584952354
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,1,True,0.9986116886138916,0.0013883113861083984
الكعباخطرمنذالكورونا,1,1,True,0.9684441685676575,0.03155583143234253
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,True,0.9984679818153381,0.0015320181846618652
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,True,0.0015157446032389998,0.998484255396761
تكتب ضواحيها ليس ظواحيها,0,0,True,0.0015571379335597157,0.9984428620664403
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,True,0.971054196357727,0.02894580364227295
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,True,0.001718022278510034,0.99828197772149
se9si yemak tgoulk awlid,1,1,True,0.9985249638557434,0.0014750361442565918
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,1,True,0.9979933500289917,0.0020066499710083008
el khra yaw,1,1,True,0.9980631470680237,0.0019368529319763184
بركاكم الكذب الناس,0,1,False,0.7505214214324951,0.24947857856750488
واله حاجه متخرجني,0,0,True,0.0008314414881169796,0.999168558511883
khanza faiha tfo,1,1,True,0.9985557198524475,0.0014442801475524902
صحا المازدا شكون نتا لي يقول احرار ياو فاقو هذا السيد دار لجوء سياسي باش يهجر ويعيش حياه اوروبه انت كافي ماتقدرش تكافيني يابغل انا وزيطوت واشباهكم تفرو صوالح الصهاينه بفئه من شباب الصاروخ وليريكا ماهوش فايق لعمرو,1,1,True,0.998839795589447,0.0011602044105529785
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,True,0.0024928972125053406,0.9975071027874947
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,0,True,0.02022472582757473,0.9797752741724253
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,1,True,0.9986248016357422,0.0013751983642578125
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,1,True,0.9981353282928467,0.0018646717071533203
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,1,True,0.9982168078422546,0.0017831921577453613
الشعب ساكت حق يستاهل يخلص الاكسجين الي يتنفس,0,0,True,0.028582455590367317,0.9714175444096327
كس امو لي ميحب فري فاير 😑,1,1,True,0.9985268115997314,0.0014731884002685547
الجيش هو الشي الوحيد اللي يصلح في هذه البلاد,0,0,True,0.0010422156192362309,0.9989577843807638
الحظه وقت الوقوف باب الجنه سنتذكر شعورنا الدقاءق,0,0,True,0.002010835101827979,0.997989164898172
لو تصبروا حتى 10 افريل فقط صافيه,0,0,True,0.001189558650366962,0.998810441349633
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,0,True,0.003177246078848839,0.9968227539211512
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,1,True,0.9977279305458069,0.0022720694541931152
😅😆,1,0,False,0.4906136691570282,0.5093863308429718
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,0,False,0.00547511363402009,0.9945248863659799
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,1,True,0.9986833930015564,0.0013166069984436035
سببت الهتهم يا جورج,0,0,True,0.007364709861576557,0.9926352901384234
ya zitout tfo,1,1,True,0.9988499879837036,0.0011500120162963867
اي روح نيكمك لقحبه هود لبلاد يا كرفه وفول ماناش حابسين,1,1,True,0.9989342093467712,0.0010657906532287598
لخماج خامجين كواvا,1,1,True,0.998757004737854,0.001242995262145996
ta kalb chmata wa r7is wo tahan tffo,1,1,True,0.9987912774085999,0.0012087225914001465
مزيه واحد زاد وحدو🙂😂,0,0,True,0.0006316279759630561,0.9993683720240369
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,0,True,0.004252797923982143,0.9957472020760179
طز روحو الامارات,1,1,True,0.9986215829849243,0.0013784170150756836
يارب امين يارب,0,0,True,0.001461790525354445,0.9985382094746456
😂 بلا مزيه حبيبه قلبي 😘,0,0,True,0.0020275625865906477,0.9979724374134094
الزيت السكر لمده كيفاش القروض بلا حدود كيفاش يا جماعه حتي الاستعمار موفر مناصب شغل الظالم يبقي ظالم الاستعمار دار بني تحتيه احسن ملي درناهم تاع استقلال بصح هاد الشي منعش الشعب باش يطالب بحريته باختصار ربراب فاسد صح عندو مستوي تسير مليح بناه تم دم الجزاءرين الاف رجال الاعمال النزهاء وقت الارهاب,1,1,True,0.9967126846313477,0.0032873153686523438
مبروك عليك من حراق الى صحافى محترف الله راك قدوه لكامل الشباب,0,0,True,0.003591393819078803,0.9964086061809212
السلام العليكم,0,0,True,0.0009028057684190571,0.9990971942315809
مكن اعرف نقاط البيع ولايات الشرق,0,0,True,0.001204745378345251,0.9987952546216547
لي راهم يقولو سعر سكر لي يجيبو ربراب غالي حاجه سااهله ماشي لازم تشري سكر تاع ربراب كاين علامات اخرى مثل لابال,0,0,True,0.002144177444279194,0.9978558225557208
بوليخاريو وشبه عثمانين يشعرون بصدمه مما وقع,0,0,True,0.007258717902004719,0.9927412820979953
اررض 🤣,0,0,True,0.0025924143847078085,0.9974075856152922
راقصه ملاهي ليليه وعميله فرنسا تكلم شءون البلاد عيش تشوف,1,1,True,0.8933730125427246,0.10662698745727539
اخرج ازبل اخرج,1,1,True,0.9979792237281799,0.0020207762718200684
xxtentacion nhbo,0,0,True,0.0029576269444078207,0.9970423730555922
الشوربه االشعيريه بالدجاج اصلها الجزائر العاصمه والشوربه فريك اصلها الاوراس من قسنطينه والهضاب العليا السطايفيه,0,0,True,0.002240865956991911,0.9977591340430081
روح تعطي كبيير خلاه انت او لي كيفك,1,1,True,0.9989526271820068,0.001047372817993164
ballon mach balloon camarade mach camarad et3elem nta boudaoui sahal,1,1,True,0.9962626099586487,0.0037373900413513184
ولاد لكلاب كلاو بعضهم بعض 😂,1,1,True,0.9986017346382141,0.0013982653617858887
عمي العربي مفهمنا والو هذو العجزه اسود علينا نعال في ارجل اسيادهم,1,1,True,0.997975766658783,0.002024233341217041
hna vrai m9sthch,0,0,True,0.0006844830932095647,0.9993155169067904
اطلقوا سراح ربراب,0,0,True,0.012125891633331776,0.9878741083666682
الحاجه لي حيرتني الناس لي راهي دافع عليه راه يرزق فيكم مثلا شويه عقل وشويه عزه نفس شحال تعياو تشكمو وتهزو لناس,1,1,True,0.998482882976532,0.0015171170234680176
اله يذلك يا ديوث يا كبول,1,1,True,0.9989443421363831,0.0010556578636169434
القبائل لي راكم تتحرشو بيهم ديما راهم رجاله عليكم بينو بلي احرار ماشي كيما وحد الفئه ربي يهديهم جماعه بوصبع لزرق حاضرين في كل فوط,1,1,True,0.9967858791351318,0.003214120864868164
لطفك يا رب,0,0,True,0.0012397930258885026,0.9987602069741115
لم تتصلوا بي,0,0,True,0.0006051435484550893,0.9993948564515449
حياتي كامل كرهت زوج عباد برك اكتشف الجزاءر وجدي الكبير استوطن,1,0,False,0.4220065474510193,0.5779934525489807
ايه عندهم الحق الجزاءر بلاد امن راك تشوف فينا نتقاتلو بالسلاح,0,0,True,0.0008027339936234057,0.9991972660063766
سوف تموت ولن تجد ارض تدفن فيها ارض الشهداء حرمت عليم,0,0,True,0.049650318920612335,0.9503496810793877
مهم حاول خير فخونشي صح,1,0,False,0.021626457571983337,0.9783735424280167
كاين احسن اطباء مهندسي الجزائر من خريجي الجامعات الفرنسيه اين المشكل في ذلك,0,0,True,0.0007783162873238325,0.9992216837126762
راحت هيبت فريت اوملات شي,0,0,True,0.03656371682882309,0.9634362831711769
كاين ختك الي ماراهيش حابسه الشي,1,1,True,0.998573899269104,0.001426100730895996
المبلغ هادا حكمو حداد صرف رقيق يا ارهابي,1,1,True,0.9956887364387512,0.004311263561248779
يتسما نحمد ربي,0,0,True,0.0008658226579427719,0.9991341773420572
كفاه راهم يديرو هاذو باه يربحو,0,0,True,0.0009417538531124592,0.9990582461468875
اولا تكلم القباءل بصفه الجمع قضيه ربراب ثانيا المدافعون دافعو كبيرهم ربراب وعندما نقول ربراب نقول توفيق وحداد دافعو احشمو احشمو,0,0,True,0.07415217161178589,0.9258478283882141
هذا والى سرق نورمال ماشي كما نتوما يا قتالين,1,1,True,0.9987793564796448,0.0012206435203552246
مهمتنا تغيير النظام وليس تحرير ربراب,0,0,True,0.016056079417467117,0.9839439205825329
رانا نامنو بربي الرحمان الرحيم الرزاق الغفور اخر اسماء انتاعو وهذاك زعيم وراجل حب حب وكرها كره ايها الاحمق,1,1,True,0.9985727071762085,0.001427292823791504
هذا وزير هذا تقول قردقود,1,1,True,0.9979802966117859,0.0020197033882141113
الله يسهل,0,0,True,0.000871826137881726,0.9991281738621183
هواتف رديءه باسعار باهضه,1,1,True,0.9975111484527588,0.002488851547241211
تموتو من مولوديه 🤦‍♂️,0,0,True,0.109754778444767,0.890245221555233
ياو روح تعطي مازالك تحكي,1,1,True,0.9988013505935669,0.0011986494064331055
hasbiya allah wa ni3ma el wakil fik,1,0,False,0.0029286236967891455,0.9970713763032109
ou khtek kayna menha,1,1,True,0.9984305500984192,0.0015694499015808105
ايسكوبار كان عندو مشاريع كتر من ربراب ايسكوبار وحدو سكن نص كولومبيا تسمى ايسكوبار مليح لي غلط يتحاسب او الشركه فيها مجلس اداره يروح ربراب يجي واحد في بلاصتو,1,1,True,0.9892968535423279,0.01070314645767212
العصابه مازالت تستغل ماسي الشعب الزوالي باش تحب تبلعط وتتقرب من الناس لراهي رافضه ليها وماكاش الشرعيه لحكومه الجنرالات,0,0,True,0.01844669133424759,0.9815533086657524
ان شاء الله قاع يتحاسبو,1,1,True,0.5450435876846313,0.45495641231536865
