texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
خارينا,1,1,0,0,0.37493593,0.6250641,False
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,0,0,0.119647145,0.88035285,False
الكعباخطرمنذالكورونا,1,1,0,0,0.37493593,0.6250641,False
هذا وزير هذا تقول قردقود,1,1,0,0,0.013312095,0.9866879,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.0017440261,0.99825597,False
ان شاء الله قاع يتحاسبو,1,1,0,0,0.06794709,0.9320529,False
طرول قاعد كي سوهختك,1,1,0,0,0.21050476,0.7894952,False
المهم ضربوهلو كيما انت,1,1,0,0,0.1312978,0.8687022,False
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,1,0,0,0.05400984,0.94599015,False
نشرها غاليه احسن يمدوهالي باطل مخيمات الاجءين يالخاين,1,1,0,0,0.17874837,0.82125163,False
نوميديا بزول,1,1,0,0,0.16838743,0.8316126,False
يالمنافقين,1,1,0,0,0.39115265,0.6088474,False
هذا كامل بوصبعle bleuالمغيب الشماتى,1,1,0,0,0.4375264,0.5624736,False
اح لفريش,1,1,0,0,0.49241415,0.5075859,False
عبلويه 10😵,1,1,0,0,0.40554208,0.5944579,False
ماشاء الله تعليقات تليق بك ايها الرويبضه يا زنديق,1,1,0,0,0.012207068,0.9877929,False
الشعب قال له نريد رب الدزاير في الحراش,1,1,0,0,0.02711821,0.9728818,False
16 جيقا ويقلك ستوكي ياناس العلم راهم لحقو 28 جيقا وحنايا مازال في عليها مازلنا روطار,1,1,0,0,0.0003412968,0.9996587,False
عنصرين,1,1,0,0,0.44128346,0.55871654,False
ربي يحفظك اخينا العربي زيتوت واصل انشاء الله حتى تسقط العصابه,1,1,0,0,0.060967308,0.9390327,False
السبب تع هادو قاع ربراب هو لي زاد في السردين او السيارات هو العصابه تع قاع المنتوجات كشيريست,1,1,0,0,0.16803788,0.8319621,False
نشرها غاليه احسن من يمدوهالي باطل في مخيمات الاجئين يالخاين,1,1,0,0,0.115908295,0.88409173,False
صحا قوادتك,1,1,0,0,0.21540916,0.78459084,False
ال تحلب ولا يهدر معطوب,1,1,0,0,0.11792249,0.8820775,False
🖕🏻,1,1,0,0,0.47961548,0.52038455,False
سيريسلي لي يلبسو لاكوسط لاريني اعطيه غنيه نتاع بيلو يعطيك ختو نورمال,1,1,0,0,0.0044962727,0.9955037,False
wallah ma andek 3lamn tahachmi zayla,1,1,0,0,0.33981422,0.6601858,False
ترر,1,1,0,0,0.37493593,0.6250641,False
nikk,1,1,0,0,0.37493593,0.6250641,False
افف,1,1,0,0,0.37493593,0.6250641,False
نكفر بيهم,1,1,0,0,0.2013116,0.7986884,False
ربي يحفظك اخي العربي تحيه تقدير اليك الاحرار يخرجون رافضون لحكم العصابه مخطاتها الخبيثه,1,1,0,0,0.36738312,0.6326169,False
عفن السلام,1,1,0,0,0.051176045,0.9488239,False
الرئيس وحيد لفات سلال في تهريج,1,1,0,0,0.4582415,0.54175854,False
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,1,0,0,0.0025102117,0.9974898,False
جيقا ويقلك ستوكي ياناس العلم راهم لحقو جيقا وحنايا مازلنا روطار,1,1,0,0,0.0048614456,0.9951385,False
من وعد وفي للاسف رئيس كادب,1,1,0,0,0.14574859,0.8542514,False
مبروك علينا يا امير هكدا العصابه تحكملك الختان,1,1,0,0,0.41802466,0.58197534,False
هاا راك كبير,1,1,0,0,0.2784276,0.7215724,False
