texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,0,False,0.38785204,0.6121479
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.31409815,0.6859019
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.35985693,0.64014304
بغل حركي,1,0,False,0.33680937,0.6631906
خارينا,1,0,False,0.37928945,0.62071055
بنات الفميليا الجزاءر,0,0,True,0.31827223,0.68172777
الله يبارك ما شاء الله,0,0,True,0.26962024,0.73037976
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,0,False,0.437488,0.56251204
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.4262374,0.5737626
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.6554235,0.34457648
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.50615835,0.49384165
انا شريتها من قسنطينه,0,0,True,0.2756982,0.7243018
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.4109273,0.5890727
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.6786798,0.32132018
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,1,False,0.5008409,0.4991591
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,1,False,0.6984868,0.3015132
بركولي ليوم شريت,0,0,True,0.3244437,0.6755563
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.51839596,0.48160404
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.7022066,0.2977934
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,False,0.47893393,0.52106607
الي روتور,0,0,True,0.3264171,0.6735829
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,True,0.54894453,0.45105547
عملاء فرنسا يسيطرون الجزاءر,1,0,False,0.37167007,0.62832993
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,True,0.42938027,0.5706197
تحرمن كيو تاع حمادي,0,0,True,0.34435853,0.65564144
فيف لقبايل,0,0,True,0.33395502,0.66604495
اه يالزح ما تفكرناش,0,0,True,0.34695268,0.6530473
جاري الخروج الصفحه الكاشيريه,1,0,False,0.38917658,0.6108234
ربي يهديكم,0,0,True,0.34231547,0.65768456
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.42302153,0.57697845
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.6335994,0.3664006
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,0,False,0.4618808,0.5381192
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.3718559,0.6281441
نعبد ربي الحمد اله يا رب,0,0,True,0.4569742,0.5430258
جي دورونج تاع التفاح,0,0,True,0.38969424,0.6103058
naima bitalmaa tahball mouti ya naima lafouhiste,1,0,False,0.44557163,0.55442834
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.73849934,0.26150066
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,1,False,0.5967774,0.40322262
وانت وين راك,0,0,True,0.32574952,0.6742505
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.6337734,0.3662266
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.3592826,0.6407174
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.6844428,0.31555718
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,True,0.528634,0.471366
لقد اشتريت واحده ولم اعلم,0,0,True,0.34613094,0.65386903
نحي فلسطين دار اسراءيل💔☹,0,0,True,0.37832686,0.6216731
دوك الصلاه تمنيكو بيها,1,0,False,0.3343364,0.6656636
يوجد نقطه بيع ولايه سكيكده,0,0,True,0.3475615,0.6524385
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,1,False,0.63051164,0.36948836
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,True,0.48024067,0.5197593
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,1,False,0.74750316,0.25249684
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,True,0.5060679,0.49393213
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,True,0.6818318,0.31816822
دير القايد تبون تخافيش,0,0,True,0.36073261,0.6392674
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,1,True,0.793341,0.20665902
الكعباخطرمنذالكورونا,1,0,False,0.37928945,0.62071055
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,0,False,0.38699195,0.613008
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,True,0.49799675,0.50200325
تكتب ضواحيها ليس ظواحيها,0,0,True,0.32720616,0.67279387
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,0,False,0.39876726,0.60123277
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,1,False,0.5074144,0.4925856
se9si yemak tgoulk awlid,1,0,False,0.3459915,0.6540085
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,1,True,0.63886696,0.36113304
el khra yaw,1,0,False,0.34640077,0.65359926
بركاكم الكذب الناس,0,0,True,0.33799067,0.66200936
واله حاجه متخرجني,0,0,True,0.33493406,0.66506594
khanza faiha tfo,1,0,False,0.3344765,0.6655235
صحا المازدا شكون نتا لي يقول احرار ياو فاقو هذا السيد دار لجوء سياسي باش يهجر ويعيش حياه اوروبه انت كافي ماتقدرش تكافيني يابغل انا وزيطوت واشباهكم تفرو صوالح الصهاينه بفئه من شباب الصاروخ وليريكا ماهوش فايق لعمرو,1,1,True,0.7273038,0.2726962
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,True,0.28175226,0.7182478
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,1,False,0.56741065,0.43258935
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,1,True,0.6853254,0.31467462
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,1,True,0.7507489,0.24925113
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,1,True,0.5734592,0.4265408
الشعب ساكت حق يستاهل يخلص الاكسجين الي يتنفس,0,0,True,0.4261635,0.5738365
كس امو لي ميحب فري فاير 😑,1,0,False,0.43399537,0.56600463
الجيش هو الشي الوحيد اللي يصلح في هذه البلاد,0,0,True,0.45104402,0.548956
الحظه وقت الوقوف باب الجنه سنتذكر شعورنا الدقاءق,0,0,True,0.46301225,0.5369878
لو تصبروا حتى 10 افريل فقط صافيه,0,0,True,0.37210152,0.62789845
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,0,True,0.413595,0.58640504
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,0,False,0.4139252,0.5860748
😅😆,1,0,False,0.3745489,0.6254511
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,True,0.5440898,0.4559102
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,1,True,0.5334606,0.46653938
سببت الهتهم يا جورج,0,0,True,0.39442214,0.6055778
ya zitout tfo,1,0,False,0.35211685,0.6478832
اي روح نيكمك لقحبه هود لبلاد يا كرفه وفول ماناش حابسين,1,1,True,0.6569611,0.34303892
لخماج خامجين كواvا,1,0,False,0.30926037,0.69073963
ta kalb chmata wa r7is wo tahan tffo,1,0,False,0.40458417,0.59541583
مزيه واحد زاد وحدو🙂😂,0,0,True,0.33854616,0.66145384
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,0,True,0.4174086,0.5825914
طز روحو الامارات,1,0,False,0.3433468,0.65665317
يارب امين يارب,0,0,True,0.30350262,0.6964974
😂 بلا مزيه حبيبه قلبي 😘,0,0,True,0.38301012,0.61698985
الزيت السكر لمده كيفاش القروض بلا حدود كيفاش يا جماعه حتي الاستعمار موفر مناصب شغل الظالم يبقي ظالم الاستعمار دار بني تحتيه احسن ملي درناهم تاع استقلال بصح هاد الشي منعش الشعب باش يطالب بحريته باختصار ربراب فاسد صح عندو مستوي تسير مليح بناه تم دم الجزاءرين الاف رجال الاعمال النزهاء وقت الارهاب,1,1,True,0.72629863,0.27370137
مبروك عليك من حراق الى صحافى محترف الله راك قدوه لكامل الشباب,0,0,True,0.26272893,0.7372711
السلام العليكم,0,0,True,0.32949215,0.67050785
مكن اعرف نقاط البيع ولايات الشرق,0,0,True,0.41703072,0.5829693
لي راهم يقولو سعر سكر لي يجيبو ربراب غالي حاجه سااهله ماشي لازم تشري سكر تاع ربراب كاين علامات اخرى مثل لابال,0,1,False,0.66507584,0.33492416
بوليخاريو وشبه عثمانين يشعرون بصدمه مما وقع,0,0,True,0.37725124,0.62274873
اررض 🤣,0,0,True,0.33270365,0.66729635
راقصه ملاهي ليليه وعميله فرنسا تكلم شءون البلاد عيش تشوف,1,1,True,0.64035535,0.35964465
اخرج ازبل اخرج,1,0,False,0.3350484,0.66495156
xxtentacion nhbo,0,0,True,0.33821777,0.66178226
الشوربه االشعيريه بالدجاج اصلها الجزائر العاصمه والشوربه فريك اصلها الاوراس من قسنطينه والهضاب العليا السطايفيه,0,0,True,0.44918764,0.55081236
روح تعطي كبيير خلاه انت او لي كيفك,1,1,True,0.552952,0.447048
ballon mach balloon camarade mach camarad et3elem nta boudaoui sahal,1,0,False,0.4819977,0.5180023
ولاد لكلاب كلاو بعضهم بعض 😂,1,0,False,0.39337662,0.6066234
عمي العربي مفهمنا والو هذو العجزه اسود علينا نعال في ارجل اسيادهم,1,1,True,0.52215993,0.47784007
hna vrai m9sthch,0,0,True,0.34465984,0.6553402
اطلقوا سراح ربراب,0,0,True,0.33874193,0.6612581
الحاجه لي حيرتني الناس لي راهي دافع عليه راه يرزق فيكم مثلا شويه عقل وشويه عزه نفس شحال تعياو تشكمو وتهزو لناس,1,1,True,0.76510394,0.23489606
اله يذلك يا ديوث يا كبول,1,0,False,0.49211374,0.5078863
القبائل لي راكم تتحرشو بيهم ديما راهم رجاله عليكم بينو بلي احرار ماشي كيما وحد الفئه ربي يهديهم جماعه بوصبع لزرق حاضرين في كل فوط,1,1,True,0.6579289,0.34207112
لطفك يا رب,0,0,True,0.37637943,0.62362057
لم تتصلوا بي,0,0,True,0.3085218,0.6914782
حياتي كامل كرهت زوج عباد برك اكتشف الجزاءر وجدي الكبير استوطن,1,1,True,0.5962188,0.40378118
ايه عندهم الحق الجزاءر بلاد امن راك تشوف فينا نتقاتلو بالسلاح,0,0,True,0.49663627,0.5033637
سوف تموت ولن تجد ارض تدفن فيها ارض الشهداء حرمت عليم,0,0,True,0.48630306,0.5136969
مهم حاول خير فخونشي صح,1,0,False,0.34910923,0.65089077
كاين احسن اطباء مهندسي الجزائر من خريجي الجامعات الفرنسيه اين المشكل في ذلك,0,0,True,0.25969365,0.7403064
راحت هيبت فريت اوملات شي,0,0,True,0.399118,0.600882
كاين ختك الي ماراهيش حابسه الشي,1,0,False,0.36981994,0.63018006
المبلغ هادا حكمو حداد صرف رقيق يا ارهابي,1,1,True,0.5587673,0.44123268
يتسما نحمد ربي,0,0,True,0.31290248,0.68709755
كفاه راهم يديرو هاذو باه يربحو,0,0,True,0.41141385,0.58858615
اولا تكلم القباءل بصفه الجمع قضيه ربراب ثانيا المدافعون دافعو كبيرهم ربراب وعندما نقول ربراب نقول توفيق وحداد دافعو احشمو احشمو,0,1,False,0.7052085,0.29479152
هذا والى سرق نورمال ماشي كما نتوما يا قتالين,1,0,False,0.446574,0.553426
مهمتنا تغيير النظام وليس تحرير ربراب,0,0,True,0.3986635,0.6013365
رانا نامنو بربي الرحمان الرحيم الرزاق الغفور اخر اسماء انتاعو وهذاك زعيم وراجل حب حب وكرها كره ايها الاحمق,1,1,True,0.56126183,0.43873817
هذا وزير هذا تقول قردقود,1,0,False,0.35745212,0.64254785
الله يسهل,0,0,True,0.30726627,0.69273376
هواتف رديءه باسعار باهضه,1,0,False,0.33125705,0.66874295
تموتو من مولوديه 🤦‍♂️,0,0,True,0.3335882,0.66641176
ياو روح تعطي مازالك تحكي,1,0,False,0.41682047,0.58317953
hasbiya allah wa ni3ma el wakil fik,1,0,False,0.43856022,0.56143975
ou khtek kayna menha,1,0,False,0.34863028,0.6513697
ايسكوبار كان عندو مشاريع كتر من ربراب ايسكوبار وحدو سكن نص كولومبيا تسمى ايسكوبار مليح لي غلط يتحاسب او الشركه فيها مجلس اداره يروح ربراب يجي واحد في بلاصتو,1,1,True,0.6666367,0.3333633
العصابه مازالت تستغل ماسي الشعب الزوالي باش تحب تبلعط وتتقرب من الناس لراهي رافضه ليها وماكاش الشرعيه لحكومه الجنرالات,0,1,False,0.64495754,0.35504246
ان شاء الله قاع يتحاسبو,1,0,False,0.29509324,0.70490676
يتبعون مقوله اويحي جوع كلبك يتبعك كلاب السلطه يتنحاو قاع ترحلوا يعني ترحلوا تنحاو قاع دوله مدنيه ماشي عسكريه يسقط حكم العسكر,1,1,True,0.6498191,0.35018092
نعدين سوا تع مك,1,0,False,0.34027267,0.65972733
خاوتي سلام عليكم راني حبيت نسقسيكم اقصي لتدخل مصالح الصيانه لديكم زبون لديه مشكل ثلاجه,0,1,False,0.5864365,0.4135635
انا نعبد في القايد صالح مبعد بدلت راني نعبد في شنقريحه حتى ايبان كاش واحد واقف نزيد نعبدو,0,0,True,0.34447357,0.6555264
الشوربه البيضاء الشعيريه بالدجاج اصلها الجزائر العاصمه والشوربه فريك اصلها الاوراس من قسنطينه والهضاب العليا السطايفيه,0,0,True,0.4692747,0.5307253
ياك كنت معاه ودرتي فيديوا معاه نهار حكموه لبوليس وطلقوه دك بديتوا دوروا بعضاكم ياوحد الحركي,1,1,True,0.5916167,0.4083833
طرول قاعد كي سوهختك,1,0,False,0.35882112,0.64117885
انتم مفروض ديرو اشهار لجميع منتوجات بروند,0,1,False,0.50345886,0.49654114
علاه كاين بالو دزاير 😂,0,0,True,0.3749628,0.6250372
بابا تدافعو المجرم ربراب هاذي زادت فضحت الزواف,1,0,False,0.47163808,0.5283619
لاحول قوه باله الهم الطف بنا وباشقاءنا,0,0,True,0.38711762,0.6128824
بسكره عندكمش نقاط البيع,0,0,True,0.35692292,0.6430771
ربراب الهدف القبض ربراب,0,0,True,0.3655623,0.6344377
طحان وتقعد طحان والله وتبوس رجلين كل جزائري واحد واحد والله مانسامحوك انت وكل فرد في عصابتك لكم يوم والله يمهل ولا يهمل,1,1,True,0.71387005,0.28612995
المهم التبهديل الكبير في كاس العالم هذا هو الهدف المقلوب عفوا المطلوب,0,1,False,0.52890134,0.47109866
مبروك عليك علينا le diplôme,0,0,True,0.2998505,0.70014954
الا لعنه الله على الكاذبين,1,0,False,0.335321,0.664679
انت عييت ما تنبح مالحقتش,1,0,False,0.40309292,0.5969071
القانون الجميع ربراب اظهرت التحقيقات متورط الفساد لازم يتعاقب اطار القانون منو مالناس,0,0,True,0.32174635,0.67825365
مانحبش نسمع 😒,0,0,True,0.28411016,0.7158898
ربي 🤨,0,0,True,0.3444785,0.6555215
خلونا الدراما والعاطفه تاكدنا بلي ربراب غالط ندافعوا علاخاطر قبايلي كقبايلي نقول بلي خان ثقتنا السنين ومايسحقش ندافعوا ثبت ادانته يعني سقوط رءوس الفساد وماتخافوش ماراهمش رايحين يسلكو السعيد وجماعته ودالته يكن ربك نسيا نهدرو بالعقل,1,1,True,0.7169367,0.2830633
anta arkhis,1,0,False,0.3368249,0.6631751
فرنسا العصاباتالجزاءريهم ارهابيه,1,0,False,0.3480503,0.6519497
وجوه الزب لي داخلين باش يقولو اكتبو اله ديرولي جام صلو النبي ياو نيك ماتكم نيك ماتكم وجوه المقله,1,1,True,0.7907163,0.20928371
