texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,1,True,0.874107,0.125893
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.27785516,0.72214484
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.29872528,0.70127475
بغل حركي,1,1,True,0.8392274,0.16077262
خارينا,1,0,False,0.3879044,0.6120956
بنات الفميليا الجزاءر,0,0,True,0.31350228,0.6864977
الله يبارك ما شاء الله,0,0,True,0.032765705,0.9672343
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,0,False,0.4549331,0.5450669
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.16234966,0.83765036
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.6782265,0.32177353
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.8309278,0.16907221
انا شريتها من قسنطينه,0,0,True,0.09459564,0.9054043
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,True,0.63706017,0.36293983
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.83425826,0.16574174
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.25244498,0.747555
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.42730224,0.57269776
بركولي ليوم شريت,0,0,True,0.08977457,0.91022545
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.6277648,0.37223518
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.89935935,0.100640655
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,True,0.5580912,0.44190878
الي روتور,0,0,True,0.12137353,0.87862647
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,0,False,0.40903997,0.59096
عملاء فرنسا يسيطرون الجزاءر,1,0,False,0.33044565,0.66955435
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,1,False,0.5883996,0.4116004
تحرمن كيو تاع حمادي,0,0,True,0.4278326,0.5721674
فيف لقبايل,0,0,True,0.3946226,0.60537744
اه يالزح ما تفكرناش,0,0,True,0.3308384,0.66916156
جاري الخروج الصفحه الكاشيريه,1,0,False,0.2198238,0.7801762
ربي يهديكم,0,0,True,0.11793199,0.88206804
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.13878025,0.86121976
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,0,False,0.4981785,0.5018215
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,True,0.7281204,0.2718796
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.29341668,0.7065833
نعبد ربي الحمد اله يا رب,0,0,True,0.44696555,0.5530344
جي دورونج تاع التفاح,0,0,True,0.20497976,0.7950202
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,True,0.76675487,0.23324513
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.8588902,0.14110982
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,True,0.104643784,0.89535624
وانت وين راك,0,0,True,0.42169082,0.5783092
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.7833566,0.2166434
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.2249141,0.7750859
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.57146835,0.42853165
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,True,0.7147574,0.28524262
لقد اشتريت واحده ولم اعلم,0,0,True,0.031616032,0.96838397
نحي فلسطين دار اسراءيل💔☹,0,0,True,0.47375113,0.5262489
دوك الصلاه تمنيكو بيها,1,0,False,0.3247026,0.6752974
يوجد نقطه بيع ولايه سكيكده,0,0,True,0.06865752,0.9313425
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,0,True,0.24709432,0.75290567
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,True,0.44303513,0.5569649
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,1,False,0.62026256,0.37973744
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,True,0.5976636,0.40233642
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,0,False,0.19517216,0.8048278
دير القايد تبون تخافيش,0,0,True,0.39161545,0.60838455
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,1,True,0.68646556,0.31353444
الكعباخطرمنذالكورونا,1,0,False,0.3879044,0.6120956
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,True,0.75290024,0.24709976
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,True,0.34583482,0.65416515
تكتب ضواحيها ليس ظواحيها,0,0,True,0.22531371,0.7746863
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,True,0.82477236,0.17522764
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,1,False,0.5822305,0.4177695
se9si yemak tgoulk awlid,1,0,False,0.37090707,0.62909293
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,1,True,0.6404636,0.3595364
el khra yaw,1,0,False,0.34837526,0.65162474
بركاكم الكذب الناس,0,0,True,0.39197218,0.6080278
واله حاجه متخرجني,0,0,True,0.20261566,0.7973843
khanza faiha tfo,1,0,False,0.4113037,0.5886963
صحا المازدا شكون نتا لي يقول احرار ياو فاقو هذا السيد دار لجوء سياسي باش يهجر ويعيش حياه اوروبه انت كافي ماتقدرش تكافيني يابغل انا وزيطوت واشباهكم تفرو صوالح الصهاينه بفئه من شباب الصاروخ وليريكا ماهوش فايق لعمرو,1,1,True,0.8344736,0.16552639
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,1,False,0.5429349,0.4570651
