text,true_label,true_label_numeric,predicted_label,predicted_label_numeric,probability_positive,probability_negative,is_correct
خارينا,1,1,0,0,0.34082735,0.65917265,False
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,0,0,0.10501967,0.8949803,False
الكعباخطرمنذالكورونا,1,1,0,0,0.34082735,0.65917265,False
el khra yaw,1,1,0,0,0.12191043,0.87808955,False
khanza faiha tfo,1,1,0,0,0.32807982,0.6719202,False
😅😆,1,1,0,0,0.34082735,0.65917265,False
لخماج خامجين كواvا,1,1,0,0,0.32807982,0.6719202,False
راقصه ملاهي ليليه وعميله فرنسا تكلم شءون البلاد عيش تشوف,1,1,0,0,0.15483305,0.8451669,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.03208718,0.9679128,False
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,1,0,0,0.06144191,0.9385581,False
مادام القبائل مع ربراب فان ربراب مظلوم جيبو حداد لا واحد اخر تشوفو لقبايل كيفاش يبولو عليه,1,1,0,0,0.33203942,0.6679606,False
بالنسبه لناس الي تادفع ربراب بحجه توفيره لمناصب شغل سجنه سيجعل الاف الناس بطاله ويقولك ماغاضنيش ربراب غاضوني الناس الي تقطع رزقها نقولهم كيما قولتو لبوليسي نحي الكاسكيطا وارواح معانا وقلتولو خاوه خاوه والرزق ربي نقولكم ربراب يتحاسب وخاوه خاوه والرزق ربي واذا مانصب الشغل حداد تاني موفر مناصب شغل وكونيناف موفر مناصب شغل تاني ماغاضنيش البوشي غاضوني الناس الي كانو يخدمو معاه ويبيعو فالكوكاين وماغاضنيش الصراف تاع الزطله غاضوني الناس الي تبيع بالطرف وتسترزق منو,1,1,0,0,0.13764863,0.86235136,False
akbar kadeb menteur battar,1,1,0,0,0.34022763,0.6597724,False
يالمنافقين,1,1,0,0,0.34082735,0.65917265,False
tezz,1,1,0,0,0.34082735,0.65917265,False
اح لفريش,1,1,0,0,0.279187,0.72081304,False
عبلويه 10😵,1,1,0,0,0.13139965,0.86860037,False
الشعب قال له نريد رب الدزاير في الحراش,1,1,0,0,0.08056742,0.9194326,False
frites omelette bayd ya wahd café,1,1,0,0,0.21443723,0.78556275,False
عنصرين,1,1,0,0,0.36581668,0.6341833,False
عنصريين,1,1,0,0,0.09963275,0.90036726,False
احمق,1,1,0,0,0.17698498,0.82301503,False
نشرها غاليه احسن من يمدوهالي باطل في مخيمات الاجئين يالخاين,1,1,0,0,0.13813572,0.86186427,False
صحا قوادتك,1,1,0,0,0.1249504,0.8750496,False
ال تحلب ولا يهدر معطوب,1,1,0,0,0.024503361,0.97549665,False
🖕🏻,1,1,0,0,0.34082735,0.65917265,False
wallah ma andek 3lamn tahachmi zayla,1,1,0,0,0.36895868,0.6310413,False
ترر,1,1,0,0,0.34082735,0.65917265,False
وكان ينيك لاطفال,1,1,0,0,0.07619795,0.923802,False
nikk,1,1,0,0,0.34082735,0.65917265,False
افف,1,1,0,0,0.34082735,0.65917265,False
روحنا لتصنيع السيارات ليس خدمه للمواطن بل مخططات العصابه للسرقه كما العاده,1,1,0,0,0.27854106,0.7214589,False
نكفر بيهم,1,1,0,0,0.1218756,0.8781244,False
كولي الخبيز وسكتي,1,1,0,0,0.32807982,0.6719202,False
عفن السلام,1,1,0,0,0.084575646,0.91542435,False
الرئيس وحيد لفات سلال في تهريج,1,1,0,0,0.10450851,0.8954915,False
kelba,1,1,0,0,0.34082735,0.65917265,False
صحا عليك امير دبلوم ان شاء الله يكون فال خير عليك مزيد من التعريه للنظام بدون رحمه,1,1,0,0,0.29879496,0.701205,False
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,1,0,0,0.0013350275,0.998665,False
هادي لباج تعي وناسها صح يعيو يعرفو دين لعقيله,1,1,0,0,0.12218303,0.877817,False
tfoo,1,1,0,0,0.34082735,0.65917265,False
نكرهو ومانتبعوش بصح مانقبل حتا كلمه كلبه كيما هادي,1,1,0,0,0.3503866,0.6496134,False
nktha,1,1,0,0,0.34082735,0.65917265,False
الازمه عالميه وحنا رانا لمخيرين ونتا واش قودك وشكون شكالك,1,1,0,0,0.36916712,0.6308329,False
عندو الحق موالف ياكل فريت اوملات بالرخس يا محاينك الدموع طاحو الضحك عجبني سكت شويه زبلها كي بالبيض,1,1,0,0,0.21283552,0.78716445,False
مانسيتش اله تربحكوم,1,1,0,0,0.19561043,0.8043896,False
هادو تراميهم ما رحموهاش يرحمو باباهم,1,1,0,0,0.28720796,0.71279204,False
عذبكم السيد يتمنيك ماشي نيتو ضركم ضركم علابالي كيما علابالكم,1,1,0,0,0.22408606,0.77591395,False
يافرطاس ياخامج,1,1,0,0,0.32485312,0.6751469,False
اعلا واش تحوسو ربراب شغل اله الجزاءر ملزمش يتحاسب قلتو بوفوار اساسان ام يتحاسبو غع,1,1,0,0,0.028361274,0.97163874,False
كان رح ينكحنا بلكورونا,1,1,0,0,0.028968202,0.9710318,False
يا جدك الحمار ينطق يسمع استحمارك يقول اعد بحمار,1,1,0,0,0.027055,0.972945,False
احباا كيميه تعرق طغاات في الكمنتار 😂,1,1,0,0,0.22240062,0.7775994,False
وانتا سليل اولاد لقحاب الي خلاتهم 🇫🇷,1,1,0,0,0.34067893,0.65932107,False
مكنش موقع اباحي مدخلوش,1,1,0,0,0.22020441,0.7797956,False
خرجنا من اجل البلد ليس من اجل الشهريه ربراب لي دار يخلص يتحاسبو فاع قبايل عرب شاويه بني مزاب عودو الى رشدكم ضعو مصلحه البلاد قبل مصالحكم ليس على هذا ما بدا الحراك خرج الشعب يوم فيفري قوتنا في وحدتنا لا تدعو العصابه تفرقكم الحراك بريئ من الخبزيست,1,1,0,0,0.08859521,0.9114048,False
والله نت عايش في فخانس راك غاي الاها في روحك حنا رانا غاي,1,1,0,0,0.27975258,0.7202474,False
سينيالت ومدرت والو 🤣,1,1,0,0,0.13463822,0.8653618,False
قديمه,1,1,0,0,0.14252356,0.8574765,False
السوسه المدسوسه هادي تخدم ضد البلاد,1,1,0,0,0.33002606,0.66997397,False
بروبلام والله ما فيهم بروبلام فالشعب لي يتفرجهم ومطلعلهم شانهم بلي vu لوكان حتى واحد مراه سمع بهم منعرفوش قاع فيقوره كيما هدو,1,1,0,0,0.12843578,0.8715642,False
واله ايران الوحيد النهوض بالدوله الفارسيه وما التشيع والاسلام كل طاقيه ولو حدث لعادو عباده النار كانو الفتح,1,1,0,0,0.26316506,0.73683494,False
wali darya lahram 🔪,1,1,0,0,0.34022763,0.6597724,False
كس امو لي ميحب فري فاير,1,1,0,0,0.043600064,0.9563999,False
na3lato elah alyk,1,1,0,0,0.32807982,0.6719202,False
pidé,1,1,0,0,0.34082735,0.65917265,False
islamya matchi zwafia,1,1,0,0,0.32807982,0.6719202,False
1ايسكوبار عندو مشاريع كتر ربراب ايسكوبار وحدو سكن نص كولومبيا تسمي ايسكوبار مليح لي غلط يتحاسب شكرا,1,1,0,0,0.17868875,0.82131124,False
la ilha ila allah matoub rasoul allah,1,1,0,0,0.037316214,0.9626838,False
رح ينكحنا بلكورونا,1,1,0,0,0.037302237,0.96269774,False
العبيد يرون الحر اله,1,1,0,0,0.2247021,0.7752979,False
المغرب هو الاصل والباقي تقليد لا مجال للمقارنه بين الجزائر طووز المخزن الحمد الله,1,1,0,0,0.085579164,0.91442084,False
اله ينصرك يا استاد هولاء الصعاليك,1,1,0,0,0.030873735,0.9691263,False
تمنقيش,1,1,0,0,0.34082735,0.65917265,False
الجزائر فرنسيه فاشهدوا فاشهدوا فاشهدوا,1,1,0,0,0.06522929,0.9347707,False
مطاطيطك,1,1,0,0,0.34082735,0.65917265,False
انت كنت تمدح بوتفليقه قناتك بما معناه انتخبوا بوتفليقه لايوجد رجل مثله الجزاءر وسقط بوتفليقه وصديقك المقرب منك وها انت تدافع ربراب الم تسال يوما مثلما يتساءل الشعب الثروه يمتلكها الرجل اتي بكل المال الضخم يرث دينارا واحدا ابيه لانه فقيرا اذن الاموال كلها ملك الشعب اخذها البنوك الجزاءريه طريق صديقه الجنرال توفيق,1,1,0,0,0.24131529,0.7586847,False
matoub radiya 3anhoo ❤️,1,1,0,0,0.14280291,0.8571971,False
10 كذابين,1,1,0,0,0.032283735,0.9677163,False
وراك عيش ياحلوف,1,1,0,0,0.07878566,0.92121434,False
اقتلوهم يتكاثرو,1,1,0,0,0.32485312,0.6751469,False
نسيت باباكم القايد صالح,1,1,0,0,0.19960028,0.8003997,False
😑👎,1,1,0,0,0.34082735,0.65917265,False
