texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
نحي فلسطين دار اسراءيل💔☹,0,0,1,1,0.77605975,0.22394025,False
دير القايد تبون تخافيش,0,0,1,1,0.96503717,0.034962833,False
بركاكم الكذب الناس,0,0,1,1,0.5903229,0.4096771,False
كفاه راهم يديرو هاذو باه يربحو,0,0,1,1,0.75637144,0.24362856,False
تموتو من مولوديه 🤦‍♂️,0,0,1,1,0.59169954,0.40830046,False
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,0,1,1,0.96136427,0.03863573,False
افريقيا الكحلاء,0,0,1,1,0.5914066,0.40859342,False
جناح القايد قضى على جناح بوتفليقه والان جناح اخر يقضي على جناح القايد الفرق انه كنا نعرف جناح بوتاف وجناح القايد اما الان فلا نعرف اي الاجنحه تتحكم فلو صدقنا قولكم على ان توفيق ونزار يتحكمان فلمذا كنتم ضد من اراد القضاء عليهم بمعنى واحد ووحيد انكم لن ترضو باي جناح حتى ولو كان جناح بعوضه,0,0,1,1,0.99504757,0.0049524307,False
اغسل فمك بش تهدر ربراب,0,0,1,1,0.56473964,0.43526036,False
نتا منين يرحم باباك,0,0,1,1,0.5622011,0.43779892,False
توفيق والشعب معاك يا ربراب,0,0,1,1,0.5131099,0.48689008,False
زيدلها المازدا,0,0,1,1,0.70888084,0.29111916,False
ça va chwia mn frr 😆,0,0,1,1,0.6774814,0.3225186,False
sidi rayak nahtarmoh aya 9oli wach tsupporté nta,0,0,1,1,0.56189376,0.43810624,False
استقلال مختطف فيق يا شعب,0,0,1,1,0.96771103,0.03228897,False
ma9sthach ga3 ki jbadt crb,0,0,1,1,0.76405466,0.23594534,False
ديرش هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,0,1,1,0.7554371,0.24456292,False
عفى الله عما سلف فهم من الشعب ظروفهم صعبه كان الله في عونهم,0,0,1,1,0.7019873,0.29801267,False
