feature,coefficient,abs_coefficient
ختك,9.89305380408348,9.89305380408348
كلاب,9.208851857147051,9.208851857147051
وجوه,9.158215200740514,9.158215200740514
امك,9.092488685413453,9.092488685413453
نيك,8.92700180639964,8.92700180639964
جاهل,8.683814517096607,8.683814517096607
شر,8.307178180097539,8.307178180097539
بوصبع,7.808913178551168,7.808913178551168
كلب,7.772602980648383,7.772602980648383
حمار,7.716766135579207,7.716766135579207
زبي,7.542659083490336,7.542659083490336
شكوبي,7.397387445185656,7.397387445185656
الكلب,7.381578019941331,7.381578019941331
المازدا,7.302471929648106,7.302471929648106
الكلاب,7.039584712620267,7.039584712620267
مزيه,-7.021487729810497,7.021487729810497
تكذب,6.960820903214082,6.960820903214082
طحان,6.89447042473064,6.89447042473064
مك,6.8712534857747585,6.8712534857747585
سبي,6.72718850946857,6.72718850946857
علابالي,-6.594044566507045,6.594044566507045
الشعر,6.592187827151944,6.592187827151944
روحي,6.586373538506987,6.586373538506987
الكفار,6.273580505783338,6.273580505783338
كذاب,6.247145037650126,6.247145037650126
الحمير,6.148407864596113,6.148407864596113
باين,6.082532261828673,6.082532261828673
بغل,6.073045443771528,6.073045443771528
الموت,6.047261916543003,6.047261916543003
نقش,6.021360475743928,6.021360475743928
وعلاه,-5.951693736756936,5.951693736756936
روح,5.92281927286769,5.92281927286769
ترمتك,5.905507328907196,5.905507328907196
الذباب,5.854744426362061,5.854744426362061
وجه,5.852968669689736,5.852968669689736
رخيس,5.818095504811942,5.818095504811942
خاين,5.816040923355194,5.816040923355194
العار,5.7813542656258825,5.7813542656258825
عميل,5.775041952954991,5.775041952954991
سراق,5.67666058175691,5.67666058175691
يتمنيك,5.639233579540475,5.639233579540475
اختك,5.636769505030597,5.636769505030597
الكعب,5.6220406874478215,5.6220406874478215
وجهك,5.6169798462860205,5.6169798462860205
كافي,5.525822311474536,5.525822311474536
الابقار,5.504950520595152,5.504950520595152
تفوه,5.494101401314953,5.494101401314953
الزواف,5.4549504738151375,5.4549504738151375
الباجه,5.4522655640869955,5.4522655640869955
nik,5.438537591097451,5.438537591097451
اغتصاب,5.391331474193922,5.391331474193922
ارهابيه,5.350806788284676,5.350806788284676
الصبع,5.339034835220337,5.339034835220337
تفو,5.325549285015955,5.325549285015955
لعنه,5.31624448198809,5.31624448198809
القحبه,5.3149059842938025,5.3149059842938025
مبروك,-5.265838664712613,5.265838664712613
دخلك,5.257478160551223,5.257478160551223
تنبح,5.255737913451975,5.255737913451975
ربكم,5.144958996088119,5.144958996088119
سيادك,5.127338613910221,5.127338613910221
عاهره,5.12139301354825,5.12139301354825
الجاج,-5.107461561220059,5.107461561220059
الخامجه,5.098159099136759,5.098159099136759
عقده العاصمه,5.082813685365124,5.082813685365124
منافق,5.0360513521997845,5.0360513521997845
يماك,5.012880011829019,5.012880011829019
عملاء,5.0082167551871235,5.0082167551871235
تربحكم,5.007997433695779,5.007997433695779
الجاهل,4.986680399622858,4.986680399622858
ياخي,4.978017002869789,4.978017002869789
ينعلك,4.956315128584951,4.956315128584951
جيبك,4.944885378253754,4.944885378253754
القنطه,4.919384151562364,4.919384151562364
كوندور,-4.919288535213648,4.919288535213648
البناء,-4.898881416542462,4.898881416542462
الصهيونيه,4.8944755348772,4.8944755348772
نكتها,4.878084199927356,4.878084199927356
نيشان,-4.874121974047587,4.874121974047587
تمنيك,4.873408424693712,4.873408424693712
عطاي,4.86777703748553,4.86777703748553
خبيث,4.857576053028515,4.857576053028515
شكب,4.836997350365349,4.836997350365349
الخرطي,4.83620834609617,4.83620834609617
الجنود,4.821091761810313,4.821091761810313
yemak,4.808317346049612,4.808317346049612
نكره,4.805985477546706,4.805985477546706
قحبه,4.75058443200333,4.75058443200333
نعدين,4.729623117227726,4.729623117227726
تقود,4.729536450015538,4.729536450015538
مرحبا,-4.71291730245218,4.71291730245218
الخاين,4.707025087622452,4.707025087622452
بنتك,4.705407417042256,4.705407417042256
يقود,4.692794658016809,4.692794658016809
منافقين,4.675602807559932,4.675602807559932
معمره,4.66981503386888,4.66981503386888
جايح,4.666943130072047,4.666943130072047
لكلاب,4.655688302784738,4.655688302784738
يسرق,4.644695390187411,4.644695390187411
شيطان,4.624918867842333,4.624918867842333
khtek,4.612995687062958,4.612995687062958
باباهم,4.604711321826685,4.604711321826685
يحكي,4.599604692672628,4.599604692672628
لقحاب,4.591186063199195,4.591186063199195
فيق,4.587429641093993,4.587429641093993
العظيم استغفر,4.586709923726287,4.586709923726287
كعب,4.5856468583128125,4.5856468583128125
الشياتين,4.563537380146696,4.563537380146696
يديك,4.56147889879667,4.56147889879667
تعاني,-4.549900128052491,4.549900128052491
اليد,-4.543849533897318,4.543849533897318
ماتكم,4.542296728355054,4.542296728355054
