feature,coefficient,abs_coefficient
ختك,10.19386672888349,10.19386672888349
كلاب,9.578266904309404,9.578266904309404
وجوه,9.549712064552388,9.549712064552388
امك,9.124473875863417,9.124473875863417
جاهل,9.062621498400482,9.062621498400482
نيك,9.015245059421922,9.015245059421922
شر,8.584037384621036,8.584037384621036
بوصبع,8.059678178762688,8.059678178762688
تكذب,7.9913118501606935,7.9913118501606935
كلب,7.984960138222408,7.984960138222408
حمار,7.97970102028853,7.97970102028853
المازدا,7.831711958682614,7.831711958682614
شكوبي,7.792296047006062,7.792296047006062
الكلب,7.760713252179321,7.760713252179321
زبي,7.722178115907309,7.722178115907309
مزيه,-7.246609306631447,7.246609306631447
سبي,7.194890352258273,7.194890352258273
الكلاب,7.191638368285664,7.191638368285664
طحان,7.139932927272432,7.139932927272432
الشعر,7.081479601461438,7.081479601461438
مك,7.005465201995243,7.005465201995243
روحي,6.870342255741092,6.870342255741092
بغل,6.728592318404334,6.728592318404334
علابالي,-6.727873074983598,6.727873074983598
كذاب,6.473075617685984,6.473075617685984
روح,6.471573583933732,6.471573583933732
الحمير,6.450549864571033,6.450549864571033
الكفار,6.420080791127711,6.420080791127711
وعلاه,-6.378894744525607,6.378894744525607
يتمنيك,6.338772134665329,6.338772134665329
سراق,6.270846494379949,6.270846494379949
الموت,6.251073075238561,6.251073075238561
عميل,6.163310095854175,6.163310095854175
نقش,6.155093930461575,6.155093930461575
خاين,6.15473276700589,6.15473276700589
باين,6.146912058396773,6.146912058396773
رخيس,6.130608391778634,6.130608391778634
العار,6.074057951021086,6.074057951021086
الذباب,6.035792046274888,6.035792046274888
ترمتك,6.010743514520806,6.010743514520806
الصبع,5.946713535722881,5.946713535722881
وجه,5.891131976743296,5.891131976743296
وجهك,5.848861025045552,5.848861025045552
كافي,5.8402674292225765,5.8402674292225765
اختك,5.824494973155326,5.824494973155326
ارهابيه,5.778251933714779,5.778251933714779
الابقار,5.7699353573391505,5.7699353573391505
الصهيونيه,5.755610128703073,5.755610128703073
الباجه,5.732972915530032,5.732972915530032
الكعب,5.720138166953561,5.720138166953561
الخامجه,5.708544856966101,5.708544856966101
تفو,5.707434145489916,5.707434145489916
الجنود,5.633455290470804,5.633455290470804
تفوه,5.619023925723188,5.619023925723188
الخاين,5.609000938817325,5.609000938817325
nik,5.502697951884897,5.502697951884897
دخلك,5.489321095396656,5.489321095396656
اغتصاب,5.483570948876185,5.483570948876185
الزواف,5.465824012076496,5.465824012076496
منافقين,5.442552765429603,5.442552765429603
يسرق,5.436615181213821,5.436615181213821
سيادك,5.408749127974937,5.408749127974937
القحبه,5.406943218601791,5.406943218601791
عاهره,5.3863550961757465,5.3863550961757465
عقده العاصمه,5.382016158936442,5.382016158936442
تربحكم,5.370592259010262,5.370592259010262
لعنه,5.366302809463828,5.366302809463828
جيبك,5.341191827966812,5.341191827966812
منافق,5.331487523445534,5.331487523445534
الجاج,-5.331406288599875,5.331406288599875
خبيث,5.321532925847676,5.321532925847676
جايح,5.318551600205059,5.318551600205059
القنطه,5.304605001819525,5.304605001819525
نكتها,5.296783765930315,5.296783765930315
البناء,-5.2914782571447905,5.2914782571447905
الجاهل,5.272140047447306,5.272140047447306
عطاي,5.263623960926476,5.263623960926476
ربكم,5.222798615047818,5.222798615047818
تنبح,5.21935815707867,5.21935815707867
مبروك,-5.128089476056313,5.128089476056313
شكب,5.0939127098455455,5.0939127098455455
تمنيك,5.090628143527641,5.090628143527641
يماك,5.089812130078912,5.089812130078912
الخرطي,5.069729890623599,5.069729890623599
ينعلك,5.056738485741358,5.056738485741358
نيشان,-5.027584539778585,5.027584539778585
نعدين,5.026439632258644,5.026439632258644
yemak,5.010967312084873,5.010967312084873
معمره,4.993416541442454,4.993416541442454
كوندور,-4.9496269386337115,4.9496269386337115
ياخي,4.946637299120832,4.946637299120832
البغل,4.9293724892925015,4.9293724892925015
عملاء,4.92646097316792,4.92646097316792
khtek,4.923229392762695,4.923229392762695
خصيتيك,4.904614505373095,4.904614505373095
مرحبا,-4.903494744732779,4.903494744732779
