texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,1,True,0.97953314,0.020466864
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.0068134926,0.99318653
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.010092873,0.98990715
بغل حركي,1,1,True,0.9971288,0.0028712153
خارينا,1,0,False,0.32643995,0.67356
بنات الفميليا الجزاءر,0,0,True,0.026703252,0.97329676
الله يبارك ما شاء الله,0,0,True,0.0032066004,0.9967934
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.98654723,0.013452768
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.00372611,0.9962739
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.9886862,0.011313796
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.99553704,0.0044629574
انا شريتها من قسنطينه,0,0,True,0.0063719824,0.993628
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.20627682,0.79372317
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.9641302,0.035869777
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.00663244,0.99336755
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.004096249,0.99590373
بركولي ليوم شريت,0,0,True,0.0083098905,0.9916901
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.99587846,0.004121542
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.9949136,0.005086422
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,True,0.97239053,0.027609468
الي روتور,0,0,True,0.053383168,0.9466168
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,True,0.6769571,0.32304293
عملاء فرنسا يسيطرون الجزاءر,1,1,True,0.9926847,0.007315278
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,True,0.0034929218,0.99650705
