texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,1,1,0.5883996,0.4116004,False
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,1,1,0.62026256,0.37973744,False
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,1,1,0.5822305,0.4177695,False
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,1,1,0.5429349,0.4570651,False
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,0,1,1,0.74890596,0.25109404,False
سببت الهتهم يا جورج,0,0,1,1,0.74203175,0.25796825,False
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,0,1,1,0.5689005,0.43109947,False
😂 بلا مزيه حبيبه قلبي 😘,0,0,1,1,0.72102326,0.27897674,False
مبروك عليك من حراق الى صحافى محترف الله راك قدوه لكامل الشباب,0,0,1,1,0.64141864,0.35858136,False
سوف تموت ولن تجد ارض تدفن فيها ارض الشهداء حرمت عليم,0,0,1,1,0.54447234,0.45552766,False
العصابه مازالت تستغل ماسي الشعب الزوالي باش تحب تبلعط وتتقرب من الناس لراهي رافضه ليها وماكاش الشرعيه لحكومه الجنرالات,0,0,1,1,0.57478976,0.42521024,False
مصطلح قهوي هو مصطلح عنصري معناه اللون البني وهو اشاره الى العرب باعتبارهم بشرتهم سمراء كل شخص يستعمله بقصد,0,0,1,1,0.6615096,0.33849043,False
لم تلمسها يا ادمين🤷‍♂️,0,0,1,1,0.70202893,0.29797107,False
بركاو التخلاط وشي هاذ المصطلحات الغريبه قهوي روجي وردي موفي سميو الاشخاص باسماءها وحطو الامور نصابها حبسونا هاذ لهبال,0,0,1,1,0.6964333,0.3035667,False
ربراب فءنسي وحداد بريطاني واخر خبر كونيناف جنسيه سويسريه لك اله يا جزاءر,0,0,1,1,0.8557368,0.14426321,False
بانت حقيقتك,0,0,1,1,0.5806238,0.4193762,False
لست بساحر بصح علابالي راك قاعد دك خاصك دراهم01,0,0,1,1,0.6702857,0.3297143,False
kolchi yajabdeh zitout makanch laab maah,0,0,1,1,0.5126196,0.4873804,False
ولكن اذا اصبح كل ناس اغنياء لا تجد من يحلق شعر راسك او يبيع لك سجائر او يعصر لك القهوه الى اخره لانهم كلهم اغنياء لا احد يريد العمل لذالك خمم فيها مليح قبل ما تهدر,0,0,1,1,0.7254733,0.27452672,False
الله يبارك على لي لابسه قميص اديداس راك فاهم,0,0,1,1,0.5301516,0.4698484,False
افهم تناقضتهم كيف التحالف يضرب داعش سوريا العراق جوا ارض مكشوفه فيهرب الفيروس ليبيا لماذا لكي ينتقم دوله اسلاميه عربيه سنيه الاولي مقاتله يقاتلونه فداعش صناعه امريكيه اسرايليه ارانيه الامه الاسلاميه العربيه السنيه ونحن الشعب الجزايري جيشنا خندق وسنقطع ايدهم ادا مست دره بلادنا المخضب بدما الشهدا,0,0,1,1,0.74483097,0.25516903,False
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,0,1,1,0.5765902,0.42340982,False
المقاطعه هي حل عقابي يستجيب له التاجر الذي يحترم مستهلك بضاعته ويتجاهله التاجر الفرعون النازي الذي يرى نفسه من سلاله الالههو,0,0,1,1,0.6709949,0.32900512,False
من اليوم يا السطايفي راك كيف كيف فالميزان نتا والبجاوي ممنوع عليك حملاوي,0,0,1,1,0.8212083,0.1787917,False
هاذوك الخزرات حسيتهم موجهين لعبله مشي لكاميرا,0,0,1,1,0.6830877,0.3169123,False
الله يشفي كل مريض شيفاء لا يغادر سقما,0,0,1,1,0.59027827,0.40972173,False
شعار حاول انك انثي 😐👎,0,0,1,1,0.5231794,0.4768206,False
نافر,0,0,1,1,0.66388285,0.33611715,False
مراركا يضالو يضحكو علينا ونتوما اضحكو على رواحكم,0,0,1,1,0.57911,0.42088997,False
الله يعوانكم يا شعب الابطال رجال الجبال الاحرار اهل النيف الشجاعه,0,0,1,1,0.62984127,0.37015873,False
اغسل فمك بش تهدر ربراب,0,0,1,1,0.924651,0.07534897,False
نتا منين يرحم باباك,0,0,1,1,0.6926855,0.30731452,False
توفيق والشعب معاك يا ربراب,0,0,1,1,0.54969096,0.45030904,False
يا شيخ ما افهمناكمش واش اتكونوا انتم خطابك غير واظح,0,0,1,1,0.6870001,0.3129999,False
تعاطف المغنين ربراب بابا شء خطير يا الهي,0,0,1,1,0.6187688,0.3812312,False
ومشاكل الحدود مع المروك ثاني راهم غير ينومو فالشعوب جيش الجزائر وجيش المروك خاوه خاوه وعلى شعبهم طايحين بالهراوه 🤣,0,0,1,1,0.7842478,0.21575218,False
عيبهم انهم سرقو صفر دينار لو كانو سرقو الملايير كانو سيكرمون لك الله يا جزاير,0,0,1,1,0.91099554,0.08900446,False
كول واعر يا ختي سلمى جبتيه في الشبكه نيشان 👌,0,0,1,1,0.5476786,0.4523214,False
ça va chwia mn frr 😆,0,0,1,1,0.6875622,0.31243777,False
ادري اصاب اخطا البغل تع سلال داءما يعميها بعيدا السياسه اقول مرحبا لسورين بلدكم الثاني انصر اخاك المسلم يا عبد اله سمعتم العيوب عليهم فقدرو الاوضاع وتركو امرهم له فانتم واله تعلمون شيءا معاناتهم الهم انصر الاسلام والمسلمين رءي ولكلن راي وله اتكلم غيرتا حالنا يا عرب,0,0,1,1,0.68555206,0.31444794,False
راك حاسدهم خلي يدي حقو لي راه ماديها حداد واويحي وجماعتو متجيش غرام,0,0,1,1,0.8712701,0.12872988,False
sidi rayak nahtarmoh aya 9oli wach tsupporté nta,0,0,1,1,0.60187656,0.39812344,False
استقلال مختطف فيق يا شعب,0,0,1,1,0.7486309,0.25136912,False
علش لاريني عيب 😙,0,0,1,1,0.61573625,0.38426375,False
stfuمثقفين لودو are here,0,0,1,1,0.5605617,0.43943828,False
ليست قضيه مراقبه حكومه الذاء دواء لانه مرتبط بتصرف الساءق اثناء القياده كيما يقول المثل لخاف سلم,0,0,1,1,0.59058106,0.40941894,False
ارفع راسك فانت جزائري 💪,0,0,1,1,0.5727017,0.4272983,False
ma9sthach ga3 ki jbadt crb,0,0,1,1,0.66983503,0.33016497,False
تاع سطيف كلاهم قلبهم كي ربحاناهم ولاو يجبدو البطولات السابقه تبا خسرت خسرت مكش تموت اسبي,0,0,1,1,0.6351962,0.3648038,False
اسمح في خدمتك عند ربراب وارواح معانا ولا جاتكم غير علي البوليسي,0,0,1,1,0.62544835,0.37455165,False
ماشافوش شكيب خليل ماشافوش عمار سعيداني ماشافوش السعيد بوتفليقه ماشافوش بهاء طليبه ماشافوش ابن القايد صالح شافو غير القبايل حداد اويحيى ربراب راكم فاهمين 😉قيوو فقو تمثيلا ترحلو يعني ترحلو,0,0,1,1,0.79187393,0.20812607,False
جيس كوبو الامام ✌️ 🎩,0,0,1,1,0.62768316,0.37231684,False
زيد معاها قايد صالح شنقريحه تجي شابه,0,0,1,1,0.5221496,0.47785038,False
رابي يحفظك ويسترك من عبله نشالله,0,0,1,1,0.65108645,0.34891355,False
اله عز وجل الرزاق لذا احذف منشورك يا,0,0,1,1,0.53039116,0.46960884,False
سءال واله يا امير منين راك تخلص,0,0,1,1,0.5922076,0.4077924,False
