texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
يا خي بترونه,1,1,0,0,0.475080281496048,0.524919718503952,False
بغل حركي,1,1,0,0,0.4535005986690521,0.5464994013309479,False
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,0,0,0.44930359721183777,0.5506964027881622,False
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,0,0,0.452540785074234,0.547459214925766,False
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,0,0,0.4323575794696808,0.5676424205303192,False
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,0,0,0.48679807782173157,0.5132019221782684,False
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,0,0,0.39761215448379517,0.6023878455162048,False
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,0,0,0.4106670618057251,0.5893329381942749,False
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,0,0,0.4439088702201843,0.5560911297798157,False
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,0,0,0.47627323865890503,0.523726761341095,False
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,0,0,0.4691121578216553,0.5308878421783447,False
دوك الصلاه تمنيكو بيها,1,1,0,0,0.49035054445266724,0.5096494555473328,False
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,0,0,0.4107806086540222,0.5892193913459778,False
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,1,0,0,0.46756619215011597,0.532433807849884,False
se9si yemak tgoulk awlid,1,1,0,0,0.4847758412361145,0.5152241587638855,False
el khra yaw,1,1,0,0,0.39188268780708313,0.6081173121929169,False
khanza faiha tfo,1,1,0,0,0.4649866223335266,0.5350133776664734,False
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,1,0,0,0.4420461356639862,0.5579538643360138,False
😅😆,1,1,0,0,0.46402016282081604,0.535979837179184,False
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,1,0,0,0.4942667484283447,0.5057332515716553,False
ya zitout tfo,1,1,0,0,0.40669336915016174,0.5933066308498383,False
لخماج خامجين كواvا,1,1,0,0,0.49148184061050415,0.5085181593894958,False
ta kalb chmata wa r7is wo tahan tffo,1,1,0,0,0.4096144735813141,0.5903855264186859,False
اخرج ازبل اخرج,1,1,0,0,0.4891994893550873,0.5108005106449127,False
ballon mach balloon camarade mach camarad et3elem nta boudaoui sahal,1,1,0,0,0.41637223958969116,0.5836277604103088,False
عمي العربي مفهمنا والو هذو العجزه اسود علينا نعال في ارجل اسيادهم,1,1,0,0,0.462632417678833,0.537367582321167,False
الحاجه لي حيرتني الناس لي راهي دافع عليه راه يرزق فيكم مثلا شويه عقل وشويه عزه نفس شحال تعياو تشكمو وتهزو لناس,1,1,0,0,0.4889802038669586,0.5110197961330414,False
اله يذلك يا ديوث يا كبول,1,1,0,0,0.48325657844543457,0.5167434215545654,False
القبائل لي راكم تتحرشو بيهم ديما راهم رجاله عليكم بينو بلي احرار ماشي كيما وحد الفئه ربي يهديهم جماعه بوصبع لزرق حاضرين في كل فوط,1,1,0,0,0.48690518736839294,0.5130948126316071,False
هذا والى سرق نورمال ماشي كما نتوما يا قتالين,1,1,0,0,0.47559410333633423,0.5244058966636658,False
رانا نامنو بربي الرحمان الرحيم الرزاق الغفور اخر اسماء انتاعو وهذاك زعيم وراجل حب حب وكرها كره ايها الاحمق,1,1,0,0,0.4169962406158447,0.5830037593841553,False
هذا وزير هذا تقول قردقود,1,1,0,0,0.4983591139316559,0.5016408860683441,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.4393361210823059,0.5606638789176941,False
ou khtek kayna menha,1,1,0,0,0.44311216473579407,0.5568878352642059,False
طحان وتقعد طحان والله وتبوس رجلين كل جزائري واحد واحد والله مانسامحوك انت وكل فرد في عصابتك لكم يوم والله يمهل ولا يهمل,1,1,0,0,0.4852329194545746,0.5147670805454254,False
الا لعنه الله على الكاذبين,1,1,0,0,0.3920955955982208,0.6079044044017792,False
انت عييت ما تنبح مالحقتش,1,1,0,0,0.4748271107673645,0.5251728892326355,False
