texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
نحي فلسطين دار اسراءيل💔☹,0,0,1,1,0.5814724,0.4185276,False
دير القايد تبون تخافيش,0,0,1,1,0.9629854,0.037014604,False
لطفك يا رب,0,0,1,1,0.56084806,0.43915194,False
كفاه راهم يديرو هاذو باه يربحو,0,0,1,1,0.98694324,0.013056755,False
تموتو من مولوديه 🤦‍♂️,0,0,1,1,0.52400374,0.47599626,False
kolchi yajabdeh zitout makanch laab maah,0,0,1,1,0.8075261,0.19247389,False
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,0,1,1,0.9565337,0.04346633,False
افريقيا الكحلاء,0,0,1,1,0.90599227,0.09400773,False
ربي يستر يحفظ البلاد العباد,0,0,1,1,0.5936406,0.40635937,False
نتا منين يرحم باباك,0,0,1,1,0.8619735,0.13802648,False
زيدلها المازدا,0,0,1,1,0.88957614,0.11042386,False
يستهل انسان صادق,0,0,1,1,0.56693596,0.43306404,False
ça va chwia mn frr 😆,0,0,1,1,0.9750795,0.024920523,False
نلبس لاكوست لاريني مانيش كعبه,0,0,1,1,0.5843985,0.4156015,False
sidi rayak nahtarmoh aya 9oli wach tsupporté nta,0,0,1,1,0.8006293,0.19937068,False
استقلال مختطف فيق يا شعب,0,0,1,1,0.9719044,0.028095603,False
stfuمثقفين لودو are here,0,0,1,1,0.62829626,0.37170374,False
هدي لناس لي يقولك اروح لبلاد واهدر هوما الخارجوهبلوهم,0,0,1,1,0.9432519,0.056748092,False
تبون الجيش يخرجش لمالي بامر ماكرون او طبطب,0,0,1,1,0.94244564,0.057554364,False
القايد صالح بيجو 406 zed okay 😁,0,0,1,1,0.98920804,0.010791957,False
ولدانه رهم يموت فالبحر لاءنتحار لاءختصاب,0,0,1,1,0.6300623,0.36993772,False
خلي السكطمبري العثروس ودنين الطاروس يرقد على الحيبوسه اسكت لا توقظه,0,0,1,1,0.92733455,0.07266545,False
ضك يجو يتعرقو عليك واش داك تخرب,0,0,1,1,0.91881555,0.08118445,False
