text,true_label,predicted_label,is_correct,prob_non_hate,prob_hate
يا خي بترونه,1,0,0,0.507882,0.492118
تفضلي سقسي فرنديقتي علاش مترده,0,1,0,0.499747,0.500253
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,0,0,0.507828,0.492172
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,0,0,0.510245,0.489755
انا شريتها من قسنطينه,0,1,0,0.496359,0.503641
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,0,0.508978,0.491022
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,0,0,0.532587,0.467413
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,1,0,0.494766,0.505234
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,0,0,0.50533,0.49467
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,0,0,0.529278,0.470722
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,0,0.51865,0.48135
الي روتور,0,1,0,0.495935,0.504065
فيف لقبايل,0,1,0,0.49253,0.50747
جاري الخروج الصفحه الكاشيريه,1,0,0,0.50271,0.49729
ربي يهديكم,0,1,0,0.495758,0.504242
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,0,0,0.507548,0.492452
تحيا الجزاءر وربي يرحم الشهداء,0,1,0,0.494204,0.505796
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,0,0,0.504662,0.495338
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,0,0,0.514584,0.485416
انشاء اله كمل يبراو مرض سرطان,0,1,0,0.498547,0.501453
نحي فلسطين دار اسراءيل💔☹,0,1,0,0.491064,0.508936
دوك الصلاه تمنيكو بيها,1,0,0,0.520603,0.479397
يوجد نقطه بيع ولايه سكيكده,0,1,0,0.497278,0.502722
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,0,0,0.50404,0.49596
دير القايد تبون تخافيش,0,1,0,0.496545,0.503455
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,0,0,0.512117,0.487883
الكعباخطرمنذالكورونا,1,0,0,0.525358,0.474642
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,0,0,0.508355,0.491645
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,1,0,0.498741,0.501259
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,0,0,0.508073,0.491927
se9si yemak tgoulk awlid,1,0,0,0.509332,0.490668
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,0,0,0.512772,0.487228
el khra yaw,1,0,0,0.505408,0.494592
واله حاجه متخرجني,0,1,0,0.490044,0.509956
khanza faiha tfo,1,0,0,0.51115,0.48885
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,0,0,0.519068,0.480932
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,0,0,0.504738,0.495262
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,0,0,0.511004,0.488996
كس امو لي ميحب فري فاير 😑,1,0,0,0.504779,0.495221
لو تصبروا حتى 10 افريل فقط صافيه,0,1,0,0.499695,0.500305
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,0,0,0.513872,0.486128
ya zitout tfo,1,0,0,0.524855,0.475145
اي روح نيكمك لقحبه هود لبلاد يا كرفه وفول ماناش حابسين,1,0,0,0.504972,0.495028
لخماج خامجين كواvا,1,0,0,0.500794,0.499206
ta kalb chmata wa r7is wo tahan tffo,1,0,0,0.528815,0.471185
مزيه واحد زاد وحدو🙂😂,0,1,0,0.489238,0.510762
طز روحو الامارات,1,0,0,0.508759,0.491241
الزيت السكر لمده كيفاش القروض بلا حدود كيفاش يا جماعه حتي الاستعمار موفر مناصب شغل الظالم يبقي ظالم الاستعمار دار بني تحتيه احسن ملي درناهم تاع استقلال بصح هاد الشي منعش الشعب باش يطالب بحريته باختصار ربراب فاسد صح عندو مستوي تسير مليح بناه تم دم الجزاءرين الاف رجال الاعمال النزهاء وقت الارهاب,1,0,0,0.508164,0.491836
مكن اعرف نقاط البيع ولايات الشرق,0,1,0,0.491845,0.508155
بوليخاريو وشبه عثمانين يشعرون بصدمه مما وقع,0,1,0,0.492773,0.507227
اررض 🤣,0,1,0,0.495226,0.504774
راقصه ملاهي ليليه وعميله فرنسا تكلم شءون البلاد عيش تشوف,1,0,0,0.509446,0.490554
xxtentacion nhbo,0,1,0,0.498486,0.501514
الشوربه االشعيريه بالدجاج اصلها الجزائر العاصمه والشوربه فريك اصلها الاوراس من قسنطينه والهضاب العليا السطايفيه,0,1,0,0.492235,0.507765
روح تعطي كبيير خلاه انت او لي كيفك,1,0,0,0.515531,0.484469
ballon mach balloon camarade mach camarad et3elem nta boudaoui sahal,1,0,0,0.502338,0.497662
ولاد لكلاب كلاو بعضهم بعض 😂,1,0,0,0.504721,0.495279
عمي العربي مفهمنا والو هذو العجزه اسود علينا نعال في ارجل اسيادهم,1,0,0,0.502778,0.497222
الحاجه لي حيرتني الناس لي راهي دافع عليه راه يرزق فيكم مثلا شويه عقل وشويه عزه نفس شحال تعياو تشكمو وتهزو لناس,1,0,0,0.521979,0.478021
اله يذلك يا ديوث يا كبول,1,0,0,0.535033,0.464967
القبائل لي راكم تتحرشو بيهم ديما راهم رجاله عليكم بينو بلي احرار ماشي كيما وحد الفئه ربي يهديهم جماعه بوصبع لزرق حاضرين في كل فوط,1,0,0,0.513375,0.486625
لم تتصلوا بي,0,1,0,0.495276,0.504724
كاين ختك الي ماراهيش حابسه الشي,1,0,0,0.515469,0.484531
المبلغ هادا حكمو حداد صرف رقيق يا ارهابي,1,0,0,0.514275,0.485725
يتسما نحمد ربي,0,1,0,0.496066,0.503934
هذا والى سرق نورمال ماشي كما نتوما يا قتالين,1,0,0,0.506649,0.493351
هذا وزير هذا تقول قردقود,1,0,0,0.514766,0.485234
هواتف رديءه باسعار باهضه,1,0,0,0.511893,0.488107
تموتو من مولوديه 🤦‍♂️,0,1,0,0.494829,0.505171
ياو روح تعطي مازالك تحكي,1,0,0,0.521614,0.478386
hasbiya allah wa ni3ma el wakil fik,1,0,0,0.515956,0.484044
ou khtek kayna menha,1,0,0,0.507069,0.492931
ان شاء الله قاع يتحاسبو,1,0,0,0.504915,0.495085
يتبعون مقوله اويحي جوع كلبك يتبعك كلاب السلطه يتنحاو قاع ترحلوا يعني ترحلوا تنحاو قاع دوله مدنيه ماشي عسكريه يسقط حكم العسكر,1,0,0,0.513884,0.486116
نعدين سوا تع مك,1,0,0,0.512262,0.487738
انا نعبد في القايد صالح مبعد بدلت راني نعبد في شنقريحه حتى ايبان كاش واحد واقف نزيد نعبدو,0,1,0,0.497081,0.502919
الشوربه البيضاء الشعيريه بالدجاج اصلها الجزائر العاصمه والشوربه فريك اصلها الاوراس من قسنطينه والهضاب العليا السطايفيه,0,1,0,0.488011,0.511989
ياك كنت معاه ودرتي فيديوا معاه نهار حكموه لبوليس وطلقوه دك بديتوا دوروا بعضاكم ياوحد الحركي,1,0,0,0.501741,0.498258
طرول قاعد كي سوهختك,1,0,0,0.524174,0.475826
انتم مفروض ديرو اشهار لجميع منتوجات بروند,0,1,0,0.496195,0.503805
علاه كاين بالو دزاير 😂,0,1,0,0.497299,0.502701
بابا تدافعو المجرم ربراب هاذي زادت فضحت الزواف,1,0,0,0.500054,0.499946
بسكره عندكمش نقاط البيع,0,1,0,0.494714,0.505286
ربراب الهدف القبض ربراب,0,1,0,0.493394,0.506606
طحان وتقعد طحان والله وتبوس رجلين كل جزائري واحد واحد والله مانسامحوك انت وكل فرد في عصابتك لكم يوم والله يمهل ولا يهمل,1,0,0,0.509493,0.490507
مبروك عليك علينا le diplôme,0,1,0,0.496934,0.503066
الا لعنه الله على الكاذبين,1,0,0,0.512174,0.487826
انت عييت ما تنبح مالحقتش,1,0,0,0.510275,0.489725
القانون الجميع ربراب اظهرت التحقيقات متورط الفساد لازم يتعاقب اطار القانون منو مالناس,0,1,0,0.496104,0.503896
ربي 🤨,0,1,0,0.499753,0.500247
خلونا الدراما والعاطفه تاكدنا بلي ربراب غالط ندافعوا علاخاطر قبايلي كقبايلي نقول بلي خان ثقتنا السنين ومايسحقش ندافعوا ثبت ادانته يعني سقوط رءوس الفساد وماتخافوش ماراهمش رايحين يسلكو السعيد وجماعته ودالته يكن ربك نسيا نهدرو بالعقل,1,0,0,0.505485,0.494515
وجوه الزب لي داخلين باش يقولو اكتبو اله ديرولي جام صلو النبي ياو نيك ماتكم نيك ماتكم وجوه المقله,1,0,0,0.515172,0.484828
نسيت بوصبع العبيد تع بو تبون🤔,1,0,0,0.506869,0.493131
اكبر سراقين في العالم,1,0,0,0.509233,0.490767
خساره عليكم يالي راكم تهدرو عل القبايل ميعرفوش الدين,1,0,0,0.501188,0.498812
ماكرون مجنون يرسل اختو تقاتل اله يلعن الظالمين,1,0,0,0.512343,0.487657
تخفيضات,0,1,0,0.485361,0.514639
