texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,1,True,0.9854886,0.014511406
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.008357162,0.99164283
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.0099562295,0.99004376
بغل حركي,1,1,True,0.9959282,0.004071772
خارينا,1,0,False,0.35487032,0.6451297
بنات الفميليا الجزاءر,0,0,True,0.019357994,0.980642
الله يبارك ما شاء الله,0,0,True,0.0061117155,0.99388826
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.9504543,0.049545705
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.0046938234,0.9953062
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.9952579,0.004742086
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.99524504,0.0047549605
انا شريتها من قسنطينه,0,0,True,0.015749618,0.98425037
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,True,0.54478407,0.45521593
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.96331626,0.03668374
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.0074452255,0.9925548
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.008726361,0.99127364
بركولي ليوم شريت,0,0,True,0.009568126,0.99043185
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.99479985,0.0052001476
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.9949443,0.0050557256
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,True,0.9685546,0.031445384
الي روتور,0,0,True,0.12379391,0.8762061
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,True,0.81881213,0.18118787
عملاء فرنسا يسيطرون الجزاءر,1,1,True,0.98404896,0.015951037
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,True,0.007297905,0.99270207
تحرمن كيو تاع حمادي,0,0,True,0.030478103,0.9695219
فيف لقبايل,0,1,False,0.5251307,0.4748693
اه يالزح ما تفكرناش,0,0,True,0.018986344,0.98101366
جاري الخروج الصفحه الكاشيريه,1,1,True,0.91025805,0.089741945
ربي يهديكم,0,0,True,0.056725662,0.9432743
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.00550603,0.99449396
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.99453837,0.005461633
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,True,0.9921226,0.007877409
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.013722824,0.98627716
نعبد ربي الحمد اله يا رب,0,0,True,0.03341817,0.9665818
جي دورونج تاع التفاح,0,0,True,0.028758544,0.9712415
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,True,0.96905285,0.030947149
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.9941702,0.005829811
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,True,0.0066042747,0.99339575
وانت وين راك,0,0,True,0.19135463,0.80864537
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.99117917,0.008820832
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.033874486,0.9661255
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.99265254,0.0073474646
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,True,0.98856854,0.011431456
لقد اشتريت واحده ولم اعلم,0,0,True,0.0028648558,0.99713516
نحي فلسطين دار اسراءيل💔☹,0,0,True,0.34629813,0.6537019
دوك الصلاه تمنيكو بيها,1,1,True,0.6028159,0.39718407
يوجد نقطه بيع ولايه سكيكده,0,0,True,0.002496684,0.99750334
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,0,True,0.020029992,0.97997
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,True,0.021119833,0.97888017
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,True,0.016920218,0.9830798
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,True,0.9955302,0.004469812
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,True,0.99504906,0.0049509406
دير القايد تبون تخافيش,0,1,False,0.7792826,0.22071737
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,1,True,0.98765403,0.01234597
الكعباخطرمنذالكورونا,1,0,False,0.35487032,0.6451297
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,True,0.9855596,0.014440417
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,True,0.009356911,0.9906431
تكتب ضواحيها ليس ظواحيها,0,0,True,0.23102087,0.76897913
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,True,0.96409345,0.035906553
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,True,0.07928217,0.92071784
se9si yemak tgoulk awlid,1,1,True,0.976852,0.023148
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,1,True,0.9953666,0.0046334267
el khra yaw,1,1,True,0.8527364,0.14726359
بركاكم الكذب الناس,0,1,False,0.54192686,0.45807314
واله حاجه متخرجني,0,0,True,0.012147782,0.9878522
khanza faiha tfo,1,0,False,0.48445854,0.51554143
صحا المازدا شكون نتا لي يقول احرار ياو فاقو هذا السيد دار لجوء سياسي باش يهجر ويعيش حياه اوروبه انت كافي ماتقدرش تكافيني يابغل انا وزيطوت واشباهكم تفرو صوالح الصهاينه بفئه من شباب الصاروخ وليريكا ماهوش فايق لعمرو,1,1,True,0.9967499,0.003250122
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,True,0.003027301,0.9969727
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,0,True,0.0029173833,0.9970826
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,1,True,0.98548317,0.01451683
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,1,True,0.9843737,0.015626311
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,1,True,0.9891594,0.010840595
الشعب ساكت حق يستاهل يخلص الاكسجين الي يتنفس,0,0,True,0.06474373,0.93525624
كس امو لي ميحب فري فاير 😑,1,1,True,0.8076232,0.19237679
الجيش هو الشي الوحيد اللي يصلح في هذه البلاد,0,0,True,0.0038013349,0.99619865
الحظه وقت الوقوف باب الجنه سنتذكر شعورنا الدقاءق,0,0,True,0.004673963,0.99532604
لو تصبروا حتى 10 افريل فقط صافيه,0,0,True,0.004119316,0.99588066
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,0,True,0.019303285,0.98069674
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,1,True,0.99248236,0.007517636
😅😆,1,0,False,0.45329183,0.54670817
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,True,0.9957361,0.004263878
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,1,True,0.991013,0.0089870095
