texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
خارينا,1,1,0,0,0.35487032,0.6451297,False
الكعباخطرمنذالكورونا,1,1,0,0,0.35487032,0.6451297,False
khanza faiha tfo,1,1,0,0,0.48445854,0.51554143,False
😅😆,1,1,0,0,0.45329183,0.54670817,False
المبلغ هادا حكمو حداد صرف رقيق يا ارهابي,1,1,0,0,0.27344337,0.72655666,False
هذا وزير هذا تقول قردقود,1,1,0,0,0.03984505,0.96015495,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.04870246,0.9512975,False
ان شاء الله قاع يتحاسبو,1,1,0,0,0.44015935,0.5598407,False
طرول قاعد كي سوهختك,1,1,0,0,0.3204508,0.6795492,False
المهم ضربوهلو كيما انت,1,1,0,0,0.21298122,0.7870188,False
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,1,0,0,0.03916521,0.9608348,False
نشرها غاليه احسن يمدوهالي باطل مخيمات الاجءين يالخاين,1,1,0,0,0.30804184,0.6919582,False
نوميديا بزول,1,1,0,0,0.17378871,0.8262113,False
يالمنافقين,1,1,0,0,0.39746296,0.60253704,False
هذا كامل بوصبعle bleuالمغيب الشماتى,1,1,0,0,0.23247007,0.76752996,False
اح لفريش,1,1,0,0,0.44570205,0.5542979,False
عبلويه 10😵,1,1,0,0,0.39774418,0.6022558,False
ماشاء الله تعليقات تليق بك ايها الرويبضه يا زنديق,1,1,0,0,0.01283192,0.9871681,False
سحب الجنسيه الجزاءريه منهم واله مسءلين حمير,1,1,0,0,0.4746963,0.5253037,False
الشعب قال له نريد رب الدزاير في الحراش,1,1,0,0,0.0126542635,0.98734576,False
16 جيقا ويقلك ستوكي ياناس العلم راهم لحقو 28 جيقا وحنايا مازال في عليها مازلنا روطار,1,1,0,0,0.005920337,0.99407965,False
frites omelette bayd ya wahd café,1,1,0,0,0.41986102,0.580139,False
عنصرين,1,1,0,0,0.45248723,0.54751277,False
ربي يحفظك اخينا العربي زيتوت واصل انشاء الله حتى تسقط العصابه,1,1,0,0,0.36190355,0.63809645,False
صحا قوادتك,1,1,0,0,0.17077489,0.8292251,False
ال تحلب ولا يهدر معطوب,1,1,0,0,0.1361101,0.86388993,False
🖕🏻,1,1,0,0,0.43489385,0.56510615,False
سيريسلي لي يلبسو لاكوسط لاريني اعطيه غنيه نتاع بيلو يعطيك ختو نورمال,1,1,0,0,0.008507139,0.99149287,False
ترر,1,1,0,0,0.35487032,0.6451297,False
nikk,1,1,0,0,0.35487032,0.6451297,False
افف,1,1,0,0,0.35487032,0.6451297,False
نكفر بيهم,1,1,0,0,0.20149301,0.798507,False
عفن السلام,1,1,0,0,0.07546449,0.9245355,False
الرئيس وحيد لفات سلال في تهريج,1,1,0,0,0.28047517,0.71952486,False
kelba,1,1,0,0,0.4944485,0.50555146,False
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,1,0,0,0.0034560468,0.99654394,False
جيقا ويقلك ستوكي ياناس العلم راهم لحقو جيقا وحنايا مازلنا روطار,1,1,0,0,0.012253343,0.98774666,False
tfoo,1,1,0,0,0.4975763,0.5024237,False
من وعد وفي للاسف رئيس كادب,1,1,0,0,0.07098337,0.92901665,False
مبروك علينا يا امير هكدا العصابه تحكملك الختان,1,1,0,0,0.12135327,0.87864673,False
واله غي كافي,1,1,0,0,0.43852958,0.5614704,False
الاءمه خرج فيهم الدجال لاتبعوه,1,1,0,0,0.3660128,0.6339872,False
ماشاء اله تعليقات تليق بك ايها الرويبضه يا زنديق,1,1,0,0,0.012816568,0.98718345,False
يافرطاس ياخامج,1,1,0,0,0.27476943,0.7252306,False
اعلا واش تحوسو ربراب شغل اله الجزاءر ملزمش يتحاسب قلتو بوفوار اساسان ام يتحاسبو غع,1,1,0,0,0.22182378,0.7781762,False
كان رح ينكحنا بلكورونا,1,1,0,0,0.034866758,0.96513325,False
مكنش موقع اباحي مدخلوش,1,1,0,0,0.17030346,0.82969654,False
البيض 🤮😭,1,1,0,0,0.43586943,0.56413054,False
قديمه,1,1,0,0,0.14145017,0.85854983,False
اتمنا اله يموت الموعد,1,1,0,0,0.14948176,0.8505182,False
لاكوست تعمل شهريه باباك,1,1,0,0,0.272772,0.727228,False
بروبلام والله ما فيهم بروبلام فالشعب لي يتفرجهم ومطلعلهم شانهم بلي vu لوكان حتى واحد مراه سمع بهم منعرفوش قاع فيقوره كيما هدو,1,1,0,0,0.011042324,0.9889577,False
واش درولك في مازدا ياحمير درولك حاجه تتحرك قيق يابريق,1,1,0,0,0.31747976,0.6825203,False
بوتفليقه قبل التحلاب,1,1,0,0,0.4487406,0.5512594,False
na3lato elah alyk,1,1,0,0,0.29735014,0.70264983,False
الله لا يربحهم,1,1,0,0,0.2891387,0.7108613,False
pidé,1,1,0,0,0.35487032,0.6451297,False
islamya matchi zwafia,1,1,0,0,0.29735014,0.70264983,False
شكون هادو اسبي,1,1,0,0,0.06696871,0.9330313,False
la ilha ila allah matoub rasoul allah,1,1,0,0,0.020363392,0.9796366,False
رح ينكحنا بلكورونا,1,1,0,0,0.037551586,0.9624484,False
مطاطيطك,1,1,0,0,0.35487032,0.6451297,False
احمار اعطولوا ورده اشمها كلاها هكذا يا فريت اوملاط بالبيض,1,1,0,0,0.1116286,0.8883714,False
matoub radiya 3anhoo ❤️,1,1,0,0,0.20385192,0.79614806,False
10 كذابين,1,1,0,0,0.047830414,0.9521696,False
ياو قوو,1,1,0,0,0.23088902,0.769111,False
وراك عيش ياحلوف,1,1,0,0,0.19670983,0.8032902,False
اكدلي على دوري المنحرفين,1,1,0,0,0.27847758,0.72152245,False
تموت بلقنطه,1,1,0,0,0.23065117,0.76934886,False
smhli bsh g3rtha 😢,1,1,0,0,0.42317533,0.57682467,False
😑👎,1,1,0,0,0.43808773,0.5619123,False
لست ربراب حداد,1,1,0,0,0.04748494,0.95251507,False
keshma darolk mouloudia beyna 🌶,1,1,0,0,0.32820007,0.6717999,False
باجه دزب ملخر,1,1,0,0,0.28135997,0.71864,False
7🤣,1,1,0,0,0.35487032,0.6451297,False
سمن هز الصحه الجرثومه,1,1,0,0,0.023955073,0.97604495,False
الله يعميكم على الجزائر,1,1,0,0,0.24024616,0.7597538,False
المشكل ان الامور من سيئ الى اسوء رجعت ازمه السيوله زيد الانترنت بالجمعه صراحه اتساءل وين راهي الدوله,1,1,0,0,0.3530308,0.6469692,False
ennahar nta3 nemi hadi jamais nefat ghir tbahdel fina,1,1,0,0,0.19766091,0.8023391,False
وزير تقول قردقود,1,1,0,0,0.04960469,0.9503953,False
le3erebe yebe9awe neocha heta leyome,1,1,0,0,0.21768671,0.7823133,False
ih wach dakhalk,1,1,0,0,0.40068725,0.5993128,False
ولات يخرج لنا شرذمه جديد😵,1,1,0,0,0.045393113,0.9546069,False
🙂😉,1,1,0,0,0.35487032,0.6451297,False
نيكوه,1,1,0,0,0.35487032,0.6451297,False
انت عفن السلام,1,1,0,0,0.41614974,0.58385026,False
وراك عيش قبل ياحلوف,1,1,0,0,0.28083375,0.7191663,False
يقصف يبالي,1,1,0,0,0.4481905,0.5518095,False
اه خطونا,1,1,0,0,0.10122261,0.89877737,False
لقبايل رجاله عليكم تحيا القبايل,1,1,0,0,0.044358477,0.9556415,False
وناك القضيه الفلسطينيه,1,1,0,0,0.12331263,0.87668735,False
حكمتهم خريه😐😰😫,1,1,0,0,0.3632042,0.63679576,False
ردو بالكم ليحاكموه على حيازه عمله صعبه دون الابلاغ هنها حيازته على جوازي سفر خلاص اهم دعوى هي الفساد لازم يحاكم عليها استرجاع الاموال المنهوبه,1,1,0,0,0.1795718,0.8204282,False
حماره بغله يقره,1,1,0,0,0.44790506,0.55209494,False
المهم لزم تكون 106,1,1,0,0,0.19466436,0.80533564,False
reh chef li,1,1,0,0,0.27349994,0.72650003,False
كلشي مبروك وعقابهم جيسكوبو,1,1,0,0,0.009665917,0.9903341,False
المبلغ هادا غير الى حكمو عند حداد صرف رقيق يا ارهابي,1,1,0,0,0.3552562,0.6447438,False
ملخر,1,1,0,0,0.27629417,0.7237058,False
مسيره ربراب اتفها الفكره,1,1,0,0,0.029955836,0.97004414,False
اله لاتربحهم,1,1,0,0,0.23635091,0.7636491,False
jaye7,1,1,0,0,0.35487032,0.6451297,False
فريت اوملات بالبيض جديده هذي ازبي,1,1,0,0,0.39124066,0.60875934,False
😂😁,1,1,0,0,0.4474206,0.5525794,False
الف مبروك 🎉🎊الليله يرقدو مقنوطين ✌🇩🇿,1,1,0,0,0.15005271,0.8499473,False
wekhtek chekit kayna menha,1,1,0,0,0.06932821,0.9306718,False
الف مبروك خونا امير ديما عقابهم ولاد لحرام,1,1,0,0,0.078937635,0.92106235,False
