texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,1,True,0.5374816,0.4625184
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.21433839,0.7856616
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.40809453,0.5919055
بغل حركي,1,0,False,0.3352681,0.66473186
خارينا,1,0,False,0.38458297,0.615417
بنات الفميليا الجزاءر,0,0,True,0.29340762,0.7065924
الله يبارك ما شاء الله,0,0,True,0.121092945,0.8789071
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.5014091,0.4985909
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.26114443,0.7388556
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.75740725,0.24259275
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.5370771,0.46292287
انا شريتها من قسنطينه,0,0,True,0.17868742,0.82131255
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.4315594,0.56844056
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.70098525,0.29901475
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,1,False,0.57314336,0.42685664
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,1,False,0.5889933,0.4110067
بركولي ليوم شريت,0,0,True,0.3541959,0.6458041
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.6304612,0.36953878
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.76313424,0.23686576
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,True,0.52595806,0.47404194
الي روتور,0,0,True,0.2861243,0.7138757
