texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,1,True,0.85727316,0.14272684
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.23088323,0.76911676
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.25648475,0.74351525
بغل حركي,1,1,True,0.8098885,0.19011152
خارينا,1,0,False,0.37263834,0.62736166
بنات الفميليا الجزاءر,0,0,True,0.28459218,0.71540785
الله يبارك ما شاء الله,0,0,True,0.030319883,0.96968013
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.50076723,0.49923277
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.23701818,0.76298183
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.5079519,0.49204808
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.87262565,0.12737435
انا شريتها من قسنطينه,0,0,True,0.08136337,0.9186366
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,True,0.57012135,0.42987865
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.6464782,0.35352182
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.26442516,0.73557484
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.49291158,0.5070884
بركولي ليوم شريت,0,0,True,0.07758214,0.9224179
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.5312054,0.46879458
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.893438,0.10656202
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,True,0.5410048,0.45899522
الي روتور,0,0,True,0.13859326,0.86140674
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,True,0.60700005,0.39299995
عملاء فرنسا يسيطرون الجزاءر,1,0,False,0.34712502,0.65287495
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,1,False,0.5006962,0.49930382
تحرمن كيو تاع حمادي,0,0,True,0.4559834,0.5440166
فيف لقبايل,0,0,True,0.36565205,0.6343479
اه يالزح ما تفكرناش,0,0,True,0.2890898,0.7109102
جاري الخروج الصفحه الكاشيريه,1,0,False,0.2173729,0.7826271
ربي يهديكم,0,0,True,0.12597516,0.87402487
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.16272435,0.8372756
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.58023626,0.41976374
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,True,0.8737178,0.12628222
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.26297718,0.7370228
نعبد ربي الحمد اله يا رب,0,1,False,0.5778412,0.42215878
جي دورونج تاع التفاح,0,0,True,0.2639867,0.7360133
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,True,0.6937836,0.30621642
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.7682236,0.23177642
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,True,0.334292,0.665708
وانت وين راك,0,0,True,0.41806993,0.58193004
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.6009469,0.3990531
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.19105187,0.80894816
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.78859305,0.21140695
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,True,0.6135979,0.38640207
لقد اشتريت واحده ولم اعلم,0,0,True,0.023218693,0.9767813
نحي فلسطين دار اسراءيل💔☹,0,0,True,0.39438328,0.6056167
دوك الصلاه تمنيكو بيها,1,0,False,0.31427458,0.68572545
