texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
خارينا,1,1,0,0,0.39819255,0.6018075,False
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,0,0,0.2823517,0.71764827,False
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,0,0,0.07773991,0.9222601,False
الكعباخطرمنذالكورونا,1,1,0,0,0.39819255,0.6018075,False
😅😆,1,1,0,0,0.47995305,0.52004695,False
هذا وزير هذا تقول قردقود,1,1,0,0,0.022508947,0.9774911,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.015790192,0.98420984,False
ان شاء الله قاع يتحاسبو,1,1,0,0,0.1528561,0.8471439,False
طرول قاعد كي سوهختك,1,1,0,0,0.2675837,0.7324163,False
المهم ضربوهلو كيما انت,1,1,0,0,0.18596196,0.81403804,False
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,1,0,0,0.07382135,0.92617863,False
نشرها غاليه احسن يمدوهالي باطل مخيمات الاجءين يالخاين,1,1,0,0,0.46688095,0.5331191,False
نوميديا بزول,1,1,0,0,0.22810383,0.7718962,False
يالمنافقين,1,1,0,0,0.39942336,0.60057664,False
هذا كامل بوصبعle bleuالمغيب الشماتى,1,1,0,0,0.45966506,0.54033494,False
اح لفريش,1,1,0,0,0.4175984,0.58240163,False
عبلويه 10😵,1,1,0,0,0.40336928,0.5966307,False
ماشاء الله تعليقات تليق بك ايها الرويبضه يا زنديق,1,1,0,0,0.083975844,0.91602415,False
الشعب قال له نريد رب الدزاير في الحراش,1,1,0,0,0.017982068,0.98201793,False
16 جيقا ويقلك ستوكي ياناس العلم راهم لحقو 28 جيقا وحنايا مازال في عليها مازلنا روطار,1,1,0,0,0.0069655897,0.9930344,False
عنصرين,1,1,0,0,0.44921067,0.55078936,False
عنصريين,1,1,0,0,0.46541074,0.5345893,False
احمق,1,1,0,0,0.48183978,0.5181602,False
نشرها غاليه احسن من يمدوهالي باطل في مخيمات الاجئين يالخاين,1,1,0,0,0.40493584,0.59506416,False
صحا قوادتك,1,1,0,0,0.18350203,0.816498,False
🖕🏻,1,1,0,0,0.46335042,0.5366496,False
سيريسلي لي يلبسو لاكوسط لاريني اعطيه غنيه نتاع بيلو يعطيك ختو نورمال,1,1,0,0,0.017562537,0.9824375,False
wallah ma andek 3lamn tahachmi zayla,1,1,0,0,0.1570178,0.8429822,False
ترر,1,1,0,0,0.39819255,0.6018075,False
nikk,1,1,0,0,0.39819255,0.6018075,False
افف,1,1,0,0,0.39819255,0.6018075,False
قنبله نويه الاستاذ محمد العربي زيتوت فظح كوارثهم الارهابيه تسقط المافيا العسكريه,1,1,0,0,0.4072169,0.5927831,False
nta frii glit,1,1,0,0,0.44879583,0.5512042,False
نكفر بيهم,1,1,0,0,0.17919776,0.8208022,False
عفن السلام,1,1,0,0,0.09682344,0.90317655,False
الرئيس وحيد لفات سلال في تهريج,1,1,0,0,0.44228718,0.5577128,False
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,1,0,0,0.0019526632,0.99804735,False
جيقا ويقلك ستوكي ياناس العلم راهم لحقو جيقا وحنايا مازلنا روطار,1,1,0,0,0.03965446,0.96034557,False
tfoo,1,1,0,0,0.49281725,0.5071827,False
من وعد وفي للاسف رئيس كادب,1,1,0,0,0.05678876,0.94321126,False
مانسيتش اله تربحكوم,1,1,0,0,0.36328027,0.6367197,False
ماشاء اله تعليقات تليق بك ايها الرويبضه يا زنديق,1,1,0,0,0.07214491,0.9278551,False
يافرطاس ياخامج,1,1,0,0,0.322715,0.67728496,False
كان رح ينكحنا بلكورونا,1,1,0,0,0.08701759,0.9129824,False
انت جاي دورك ماتقلقش ياشيطان,1,1,0,0,0.49624923,0.5037508,False
مكنش موقع اباحي مدخلوش,1,1,0,0,0.4517182,0.5482818,False
قديمه,1,1,0,0,0.1891481,0.81085193,False
اتمنا اله يموت الموعد,1,1,0,0,0.27156428,0.72843575,False
بروبلام والله ما فيهم بروبلام فالشعب لي يتفرجهم ومطلعلهم شانهم بلي vu لوكان حتى واحد مراه سمع بهم منعرفوش قاع فيقوره كيما هدو,1,1,0,0,0.01614376,0.98385626,False
na3lato elah alyk,1,1,0,0,0.32605615,0.6739439,False
الله لا يربحهم,1,1,0,0,0.26626897,0.73373103,False
pidé,1,1,0,0,0.39819255,0.6018075,False
islamya matchi zwafia,1,1,0,0,0.32605615,0.6739439,False
شكون هادو اسبي,1,1,0,0,0.41554752,0.5844525,False
la ilha ila allah matoub rasoul allah,1,1,0,0,0.011331406,0.9886686,False
رح ينكحنا بلكورونا,1,1,0,0,0.1421954,0.8578046,False
مطاطيطك,1,1,0,0,0.39819255,0.6018075,False
احمار اعطولوا ورده اشمها كلاها هكذا يا فريت اوملاط بالبيض,1,1,0,0,0.3990716,0.6009284,False
matoub radiya 3anhoo ❤️,1,1,0,0,0.0942332,0.9057668,False
10 كذابين,1,1,0,0,0.057318754,0.94268125,False
ياو قوو,1,1,0,0,0.45733455,0.5426655,False
اكدلي على دوري المنحرفين,1,1,0,0,0.16203767,0.8379623,False
تموت بلقنطه,1,1,0,0,0.36894992,0.6310501,False
لست ربراب حداد,1,1,0,0,0.142841,0.857159,False
keshma darolk mouloudia beyna 🌶,1,1,0,0,0.3576355,0.6423645,False
7🤣,1,1,0,0,0.39819255,0.6018075,False
سمن هز الصحه الجرثومه,1,1,0,0,0.04378099,0.956219,False
الله يعميكم على الجزائر,1,1,0,0,0.23227294,0.7677271,False
المشكل ان الامور من سيئ الى اسوء رجعت ازمه السيوله زيد الانترنت بالجمعه صراحه اتساءل وين راهي الدوله,1,1,0,0,0.4302655,0.5697345,False
ennahar nta3 nemi hadi jamais nefat ghir tbahdel fina,1,1,0,0,0.27475852,0.7252415,False
وزير تقول قردقود,1,1,0,0,0.014961682,0.98503834,False
اخوااني القباائل ليسو الكل لان القباائل احراار ورجاال من طينه الكباار اتحدث عن الذين يداافعون عن ربراب هو ثااني ملياردير عربي ماذا قدم لكم مااهي المشااريع التى استفدتم منها ياانااس رااه رجل فااسد يخدم المشرووع الفرنسي الذي يريد تقسيمنا حذااري حذااري,1,1,0,0,0.04572216,0.9542778,False
le3erebe yebe9awe neocha heta leyome,1,1,0,0,0.35206342,0.6479366,False
ih wach dakhalk,1,1,0,0,0.33958364,0.66041636,False
ولات يخرج لنا شرذمه جديد😵,1,1,0,0,0.031497903,0.9685021,False
🙂😉,1,1,0,0,0.39819255,0.6018075,False
نيكوه,1,1,0,0,0.39819255,0.6018075,False
انت عفن السلام,1,1,0,0,0.32625186,0.67374814,False
اه خطونا,1,1,0,0,0.26005006,0.73994994,False
bditou fl 3onsoriya wl fitena,1,1,0,0,0.42060342,0.5793966,False
لقبايل رجاله عليكم تحيا القبايل,1,1,0,0,0.020514065,0.9794859,False
وناك القضيه الفلسطينيه,1,1,0,0,0.19003513,0.8099649,False
حكمتهم خريه😐😰😫,1,1,0,0,0.34925675,0.65074325,False
حماره بغله يقره,1,1,0,0,0.49778682,0.5022132,False
reh chef li,1,1,0,0,0.3331491,0.6668509,False
كلشي مبروك وعقابهم جيسكوبو,1,1,0,0,0.008052456,0.99194753,False
ملخر,1,1,0,0,0.30132642,0.6986736,False
مسيره ربراب اتفها الفكره,1,1,0,0,0.05492147,0.94507855,False
اله لاتربحهم,1,1,0,0,0.30003998,0.69996,False
jaye7,1,1,0,0,0.39819255,0.6018075,False
😂😁,1,1,0,0,0.4686935,0.5313065,False
