texte,vrai_label,label_predit,est_correct,probabilite_positive
تفضلي سقسي فرنديقتي علاش مترده,0,1,False,0.5002532601356506
انا شريتها من قسنطينه,0,1,False,0.50364089012146
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,1,False,0.505233645439148
الي روتور,0,1,False,0.5040653944015503
فيف لقبايل,0,1,False,0.5074699521064758
ربي يهديكم,0,1,False,0.5042423009872437
تحيا الجزاءر وربي يرحم الشهداء,0,1,False,0.5057964324951172
انشاء اله كمل يبراو مرض سرطان,0,1,False,0.5014529228210449
نحي فلسطين دار اسراءيل💔☹,0,1,False,0.5089356303215027
يوجد نقطه بيع ولايه سكيكده,0,1,False,0.5027220845222473
دير القايد تبون تخافيش,0,1,False,0.5034551620483398
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,1,False,0.5012589693069458
واله حاجه متخرجني,0,1,False,0.509955644607544
لو تصبروا حتى 10 افريل فقط صافيه,0,1,False,0.5003050565719604
مزيه واحد زاد وحدو🙂😂,0,1,False,0.5107616186141968
مكن اعرف نقاط البيع ولايات الشرق,0,1,False,0.5081548690795898
بوليخاريو وشبه عثمانين يشعرون بصدمه مما وقع,0,1,False,0.50722736120224
اررض 🤣,0,1,False,0.5047743916511536
xxtentacion nhbo,0,1,False,0.5015142560005188
الشوربه االشعيريه بالدجاج اصلها الجزائر العاصمه والشوربه فريك اصلها الاوراس من قسنطينه والهضاب العليا السطايفيه,0,1,False,0.5077645778656006
لم تتصلوا بي,0,1,False,0.5047244429588318
يتسما نحمد ربي,0,1,False,0.5039344429969788
تموتو من مولوديه 🤦‍♂️,0,1,False,0.5051714181900024
انا نعبد في القايد صالح مبعد بدلت راني نعبد في شنقريحه حتى ايبان كاش واحد واقف نزيد نعبدو,0,1,False,0.5029186606407166
الشوربه البيضاء الشعيريه بالدجاج اصلها الجزائر العاصمه والشوربه فريك اصلها الاوراس من قسنطينه والهضاب العليا السطايفيه,0,1,False,0.5119887590408325
انتم مفروض ديرو اشهار لجميع منتوجات بروند,0,1,False,0.5038052201271057
علاه كاين بالو دزاير 😂,0,1,False,0.5027009844779968
بسكره عندكمش نقاط البيع,0,1,False,0.5052860379219055
ربراب الهدف القبض ربراب,0,1,False,0.50660640001297
مبروك عليك علينا le diplôme,0,1,False,0.5030661821365356
القانون الجميع ربراب اظهرت التحقيقات متورط الفساد لازم يتعاقب اطار القانون منو مالناس,0,1,False,0.5038955211639404
ربي 🤨,0,1,False,0.5002471804618835
تخفيضات,0,1,False,0.5146387815475464
قناه النهار مصادر موثوقه تءكد يسعد ربراب متورط هجمات سيريلانكا😂,0,1,False,0.5032528042793274
لم تلمسها يا ادمين🤷‍♂️,0,1,False,0.5002541542053223
