texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
خارينا,1,1,0,0,0.32643995,0.67356,False
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,0,0,0.20627682,0.79372317,False
الكعباخطرمنذالكورونا,1,1,0,0,0.32643995,0.67356,False
حياتي كامل كرهت زوج عباد برك اكتشف الجزاءر وجدي الكبير استوطن,1,1,0,0,0.3033675,0.6966325,False
المبلغ هادا حكمو حداد صرف رقيق يا ارهابي,1,1,0,0,0.3080699,0.69193006,False
هذا وزير هذا تقول قردقود,1,1,0,0,0.04417605,0.95582396,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.0073164375,0.9926836,False
ان شاء الله قاع يتحاسبو,1,1,0,0,0.056295846,0.9437041,False
طرول قاعد كي سوهختك,1,1,0,0,0.17156732,0.8284327,False
الكل مع محاربه الفساد والفاسدين المشكوك فيهم ولست متضامن مع ربراب ولا غيره فالمحكمه هي الفاصل,1,1,0,0,0.123416096,0.87658393,False
المهم ضربوهلو كيما انت,1,1,0,0,0.39170367,0.60829633,False
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,1,0,0,0.009986271,0.9900137,False
نشرها غاليه احسن يمدوهالي باطل مخيمات الاجءين يالخاين,1,1,0,0,0.070290476,0.92970955,False
كلاو مسحو المرميطه من بعد حصلوها فالكاسكيطه واعرين اصحاب الفرشيطه ولا نزيد نرسملك,1,1,0,0,0.2450544,0.75494564,False
مقستهاش كامل مدولو الفين نحي هدا المنشور زعما دي زاجيريا اك شايف,1,1,0,0,0.033407725,0.96659225,False
نوميديا بزول,1,1,0,0,0.18508695,0.81491303,False
بالنسبه لناس الي تادفع ربراب بحجه توفيره لمناصب شغل سجنه سيجعل الاف الناس بطاله ويقولك ماغاضنيش ربراب غاضوني الناس الي تقطع رزقها نقولهم كيما قولتو لبوليسي نحي الكاسكيطا وارواح معانا وقلتولو خاوه خاوه والرزق ربي نقولكم ربراب يتحاسب وخاوه خاوه والرزق ربي واذا مانصب الشغل حداد تاني موفر مناصب شغل وكونيناف موفر مناصب شغل تاني ماغاضنيش البوشي غاضوني الناس الي كانو يخدمو معاه ويبيعو فالكوكاين وماغاضنيش الصراف تاع الزطله غاضوني الناس الي تبيع بالطرف وتسترزق منو,1,1,0,0,0.011273365,0.9887266,False
يالمنافقين,1,1,0,0,0.34954643,0.65045357,False
هذا كامل بوصبعle bleuالمغيب الشماتى,1,1,0,0,0.14989021,0.8501098,False
اح لفريش,1,1,0,0,0.277086,0.722914,False
عبلويه 10😵,1,1,0,0,0.49076834,0.5092317,False
ماشاء الله تعليقات تليق بك ايها الرويبضه يا زنديق,1,1,0,0,0.015188692,0.9848113,False
الشعب قال له نريد رب الدزاير في الحراش,1,1,0,0,0.004885922,0.9951141,False
16 جيقا ويقلك ستوكي ياناس العلم راهم لحقو 28 جيقا وحنايا مازال في عليها مازلنا روطار,1,1,0,0,0.021356834,0.9786432,False
عنصرين,1,1,0,0,0.44064736,0.55935264,False
ايه ياشكوبستان مرتينا لمعيشه وقت بومدين غالي فرنك وظك ولات اورو غاليه بميتين مره شي خرافي ياحبيبي,1,1,0,0,0.4162277,0.5837723,False
احمق,1,1,0,0,0.44523516,0.55476487,False
ربي يحفظك اخينا العربي زيتوت واصل انشاء الله حتى تسقط العصابه,1,1,0,0,0.014542856,0.9854571,False
حداد هو اول واحد دخل للحراش وربراب ايضا مجرم,1,1,0,0,0.19848487,0.8015151,False
نشرها غاليه احسن من يمدوهالي باطل في مخيمات الاجئين يالخاين,1,1,0,0,0.022163624,0.9778364,False
صحا قوادتك,1,1,0,0,0.112538606,0.8874614,False
ال تحلب ولا يهدر معطوب,1,1,0,0,0.09112559,0.9088744,False
🖕🏻,1,1,0,0,0.44016045,0.55983955,False
سيريسلي لي يلبسو لاكوسط لاريني اعطيه غنيه نتاع بيلو يعطيك ختو نورمال,1,1,0,0,0.0041961325,0.9958039,False
wallah ma andek 3lamn tahachmi zayla,1,1,0,0,0.036729656,0.96327037,False
ترر,1,1,0,0,0.32643995,0.67356,False
nikk,1,1,0,0,0.32643995,0.67356,False
افف,1,1,0,0,0.32643995,0.67356,False
قنبله نويه الاستاذ محمد العربي زيتوت فظح كوارثهم الارهابيه تسقط المافيا العسكريه,1,1,0,0,0.0068605514,0.99313945,False
روحنا لتصنيع السيارات ليس خدمه للمواطن بل مخططات العصابه للسرقه كما العاده,1,1,0,0,0.48256508,0.51743495,False
نكفر بيهم,1,1,0,0,0.14680931,0.85319066,False
ربي يحفظك اخي العربي تحيه تقدير اليك الاحرار يخرجون رافضون لحكم العصابه مخطاتها الخبيثه,1,1,0,0,0.0815465,0.9184535,False
عفن السلام,1,1,0,0,0.050829243,0.94917077,False
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,1,0,0,0.0033994105,0.99660057,False
جيقا ويقلك ستوكي ياناس العلم راهم لحقو جيقا وحنايا مازلنا روطار,1,1,0,0,0.010486751,0.9895133,False
والله لو بقيتي في دارك خيرا لك حتى وصلت بك هذه المعصيه للسب والشتم حتى وان كنت على حق فلا بد من الستر والحفظ ان كنت ابنت عائله لكن لن تنتظري من الدوله شيء في اشفاء الغليل يا عزيزتي سمحيلي على كل حال,1,1,0,0,0.07516317,0.9248368,False
من وعد وفي للاسف رئيس كادب,1,1,0,0,0.09419625,0.90580374,False
مبروك علينا يا امير هكدا العصابه تحكملك الختان,1,1,0,0,0.34009948,0.65990055,False
اذا الشعب يوما اراد الحقيقيهلابد ان لا تسمع لمخنث مثل المازدا,1,1,0,0,0.23077057,0.7692294,False
الازمه عالميه وحنا رانا لمخيرين ونتا واش قودك وشكون شكالك,1,1,0,0,0.066056244,0.93394375,False
ماشاء اله تعليقات تليق بك ايها الرويبضه يا زنديق,1,1,0,0,0.018924277,0.9810757,False
يافرطاس ياخامج,1,1,0,0,0.26079932,0.7392007,False
مام انت كيمي هوا علاش غاضك,1,1,0,0,0.23784703,0.76215297,False
اعلا واش تحوسو ربراب شغل اله الجزاءر ملزمش يتحاسب قلتو بوفوار اساسان ام يتحاسبو غع,1,1,0,0,0.01285399,0.987146,False
من كان يعبد ربراب فربراب انتهى ولكن الجزائر الدوله قائمه للابد,1,1,0,0,0.09773512,0.9022649,False
كان رح ينكحنا بلكورونا,1,1,0,0,0.011747047,0.98825294,False
انت جاي دورك ماتقلقش ياشيطان,1,1,0,0,0.34952,0.65048003,False
البيض 🤮😭,1,1,0,0,0.36703688,0.6329631,False
قديمه,1,1,0,0,0.066272326,0.9337277,False
انا مانيش فاهم كيفاه تبعوا هاذ ال بغ الح ما تاع ديزاد قالك عندو شهاده صحفي ومعترف بها في الاتحاد الاوروبي حتى وان سلمنا جدلا ان الامر حقيقه فيقوا ايها المب رد عون كيف حصل عليها الم يتحصل عليها من رن سا المج رم العد وه الاولى للجزائر يين هنا تفهم كل شيء وتدرك تمام الادراك ان امير ديزاد عم يل لديهم وهو مجرد بي دق عندهم يضربون به امننا وامتنا لن ترضى عنك اليهود والنصارى حتى تتبع ملتهم فيق يا اب ريق,1,1,0,0,0.19644383,0.8035562,False
بروبلام والله ما فيهم بروبلام فالشعب لي يتفرجهم ومطلعلهم شانهم بلي vu لوكان حتى واحد مراه سمع بهم منعرفوش قاع فيقوره كيما هدو,1,1,0,0,0.007166021,0.992834,False
واش درولك في مازدا ياحمير درولك حاجه تتحرك قيق يابريق,1,1,0,0,0.030316014,0.969684,False
