texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
خارينا,1,1,0,0,0.2442772,0.7557228,False
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,0,0,0.02380215,0.97619784,False
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,0,0,0.027421402,0.9725786,False
مهم حاول خير فخونشي صح,1,1,0,0,0.030455934,0.96954405,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.0042398474,0.99576014,False
خلونا الدراما والعاطفه تاكدنا بلي ربراب غالط ندافعوا علاخاطر قبايلي كقبايلي نقول بلي خان ثقتنا السنين ومايسحقش ندافعوا ثبت ادانته يعني سقوط رءوس الفساد وماتخافوش ماراهمش رايحين يسلكو السعيد وجماعته ودالته يكن ربك نسيا نهدرو بالعقل,1,1,0,0,0.36844566,0.63155437,False
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,1,0,0,0.4721845,0.52781546,False
koulchy mabrouke hagda abla taharake rpake rpake ya abla,1,1,0,0,0.07678442,0.92321557,False
كلاو مسحو المرميطه من بعد حصلوها فالكاسكيطه واعرين اصحاب الفرشيطه ولا نزيد نرسملك,1,1,0,0,0.4058459,0.5941541,False
نوميديا بزول,1,1,0,0,0.022453425,0.9775466,False
الشعب قال له نريد رب الدزاير في الحراش,1,1,0,0,0.004368432,0.9956316,False
16 جيقا ويقلك ستوكي ياناس العلم راهم لحقو 28 جيقا وحنايا مازال في عليها مازلنا روطار,1,1,0,0,0.0030874955,0.9969125,False
السبب تع هادو قاع ربراب هو لي زاد في السردين او السيارات هو العصابه تع قاع المنتوجات كشيريست,1,1,0,0,0.101983264,0.89801675,False
ballon et camarade ma3rftche kifech taktabhoume ou djite tayer fa siyad machi mlihe ounsorria en plus matalh9ouche koulech,1,1,0,0,0.44911733,0.5508827,False
اسوء سياسه لجلب التفاعل سياسه الحملات الانتخابيه الجزاءريه,1,1,0,0,0.03667367,0.96332633,False
كي تكون نتا تقسم فل الارزاق قلهم ميولدوش,1,1,0,0,0.12626119,0.8737388,False
فريت اوملات بالبيض اه يا طبي 🙄😅,1,1,0,0,0.203302,0.796698,False
روحنا لتصنيع السيارات ليس خدمه للمواطن بل مخططات العصابه للسرقه كما العاده,1,1,0,0,0.27272272,0.7272773,False
