texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,1,1,0.98264474,0.017355263,False
بركاكم الكذب الناس,0,0,1,1,0.8413504,0.15864962,False
مخروب,0,0,1,1,0.87403274,0.12596726,False
هاذي صناعه جزاءريه,0,0,1,1,0.80573046,0.19426954,False
المهم ترقبوا عوده زيت السانقو صفيه بقوه ببوشون واحد فقط تستطيع قلي خروف بشحمه ولحمه وتشتريه بثمن قهوه ومعلب في قاروره قصديره ملعونه ذبحت يدي في محاوله فاشله لفتحها من اجل قلي البطاطا على شاطئ البحر وتوكل اافريت بطعم الدم ونتا جد فرحان وسعيد في حين ربراب يضرب في الصبه بطعم عصير المقارون هو ومعه ربراب وعائله خنينف اللذين بنوا السجون ودشنوها مبكرا عن طريق خط مواصىلات سيدي محمد الحراش السريع,0,0,1,1,0.895754,0.10424602,False
بانت حقيقتك,0,0,1,1,0.56481904,0.43518096,False
او غاقو بكم لاتشغلوا الناس على الحراك الحراك ماضي الى يوم الدين,0,0,1,1,0.5206748,0.47932518,False
وعلاه زدت كلمه البائسين كيف تخاف الفقر والله رازق فقد رزق الطير حوت في بحر,0,0,1,1,0.8729547,0.12704527,False
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,0,1,1,0.9915611,0.008438885,False
المهم ماتشريش زيت ربراب,0,0,1,1,0.6345909,0.36540908,False
شعار حاول انك انثي 😐👎,0,0,1,1,0.9856054,0.014394581,False
اغسل فمك بش تهدر ربراب,0,0,1,1,0.98761797,0.0123820305,False
نتا منين يرحم باباك,0,0,1,1,0.9814285,0.018571496,False
الرابحين الطمبوله,0,0,1,1,0.9429955,0.05700451,False
زيدلها المازدا,0,0,1,1,0.9630788,0.036921203,False
استقلال مختطف فيق يا شعب,0,0,1,1,0.97459745,0.025402546,False
لطفي الله يخليك تبهدل في خسارين لبلاد,0,0,1,1,0.99193,0.008069992,False
ماشافوش شكيب خليل ماشافوش عمار سعيداني ماشافوش السعيد بوتفليقه ماشافوش بهاء طليبه ماشافوش ابن القايد صالح شافو غير القبايل حداد اويحيى ربراب راكم فاهمين 😉قيوو فقو تمثيلا ترحلو يعني ترحلو,0,0,1,1,0.56135786,0.43864214,False
ديرش هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,0,1,1,0.80214274,0.19785726,False
ما ديرش mca مع هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,0,1,1,0.97197896,0.028021038,False
زيد اكشفهم انت ديمقراطي,0,0,1,1,0.9347073,0.065292716,False
هدي لناس لي يقولك اروح لبلاد واهدر هوما الخارجوهبلوهم,0,0,1,1,0.716207,0.28379297,False
خلاط,0,0,1,1,0.8878376,0.11216241,False
واش دخلكم فربراب تعرف دواخل ديالو,0,0,1,1,0.9260689,0.0739311,False
خلي السكطمبري العثروس ودنين الطاروس يرقد على الحيبوسه اسكت لا توقظه,0,0,1,1,0.9888575,0.011142492,False
ضك يجو يتعرقو عليك واش داك تخرب,0,0,1,1,0.9551146,0.044885397,False
الموهبه الجزاءريه بف اختك يا صاحب المقال ستمثل توم كرموز براد بيت يا وقح,0,0,1,1,0.9967874,0.0032125711,False
خطيك,0,0,1,1,0.74078673,0.25921327,False
القبايل احرار ولن يخدعهم الزوافين وعبده ربراب,0,0,1,1,0.98391783,0.016082168,False
خلي السكطمبري العثروس ودنين الطاروس يرقد الحيبوسه اسكت توقظه,0,0,1,1,0.98217666,0.017823339,False
شاء اله نتاهل لكاس العالم بالتوفيق فريق شاب شاء اله مستقبل واعد مشرف مبروك لشقيقه تونس,0,0,1,1,0.5218022,0.4781978,False
مبروك خونا امير لعقوبه لمزيد النجاحات ستصعق النخبه المزعومه,0,0,1,1,0.7300801,0.26991987,False
وعلاه نورمال ولد فرانسا ولد دزاير المهم عاد يقبض لعصا يخي كي تخلط يجيبو ولاد الشرق,0,0,1,1,0.98853314,0.011466861,False
ليحب تحب تشيع تهدر مولوديه,0,0,1,1,0.9757388,0.024261177,False
نضن خلي مكالاه نضن الرعيان,0,0,1,1,0.8222602,0.1777398,False
ونقطاع لاماء,0,0,1,1,0.85910386,0.14089614,False
قالك صحافي العجب السنه الرابعه ابتداءي,0,0,1,1,0.9676509,0.03234911,False
wach bik m3a leqabayel ma lqitch la wach thdr,0,0,1,1,0.9792712,0.020728827,False
متستحييل,0,0,1,1,0.87002426,0.12997574,False
المنحه راهم يديو اصحاب البطون المنتفخه,0,0,1,1,0.9825163,0.017483711,False
peur parce ce que hadou houma les vrais hommes de algérie hadou houma ils vont pas laisser algérie tache3ale fiha naree il sont des principes hadou nasse andehoum algérie fi damhoum machi wellad franca rabi makoum nechallah vous serez régulariser nechallah vous étiez la qui kane chabe fi hala je me souviens très bien de cette époque 👍vive algér,0,0,1,1,0.91345143,0.08654857,False
عندك حق الله تتعذب تعذب اولادك معاك,0,0,1,1,0.92620784,0.07379216,False
wenta rak dayer chdayer howa,0,0,1,1,0.96521366,0.034786344,False
الاغتصاب في مراكز الامن هاده بدايه الانهيار,0,0,1,1,0.954862,0.045138,False
حتى الاشهار تبهدلو بينا عضه قولو لقمه حاله والله,0,0,1,1,0.96564466,0.034355342,False
ech3b rah 9abl bddl he mala ystehl ktar,0,0,1,1,0.9718221,0.028177917,False
عليها كانو الحركى بزاف في الجزائر فرنسا تقدم امتيازات بالجمله قال صحفي معترف بها🐗,0,0,1,1,0.9925288,0.007471204,False
القباءل ربراب الشاويه القايد خلي نديرو حرب,0,0,1,1,0.9896171,0.010382891,False
🖕لاي ابوناهم,0,0,1,1,0.8204992,0.17950082,False
اخطيكم من الدين,0,0,1,1,0.55380505,0.44619495,False
aw qaderek,0,0,1,1,0.8849747,0.11502528,False
الترمه عمرها تبول يعني تقعد ترمه ليكوش هدا,0,0,1,1,0.9952532,0.0047467947,False
الشعب خاصتوو برك 😂,0,0,1,1,0.5258853,0.47411472,False
حاجه تاع تبهليل داخل عمك الطرطور,0,0,1,1,0.88364416,0.11635584,False
impossibl,0,0,1,1,0.7043112,0.2956888,False
انطلقوا ايها الغاضبون انه يشتم الهتنا 😂,0,0,1,1,0.75177354,0.24822646,False
ribondi 3alya brv omlyy😉,0,0,1,1,0.9093117,0.09068829,False
زمنا كنت رجلا اصبحت عدو الجميع,0,0,1,1,0.5465342,0.45346582,False
rä mï aya tsm3 lekhra,0,0,1,1,0.9896343,0.010365725,False
خلطي جلطي حرزي تزعطي,0,0,1,1,0.9746943,0.025305688,False
♓✌️☪️الى يوم يبعثون,0,0,1,1,0.5263953,0.47360468,False
wallahe ila 3ib ar ndam fasid,0,0,1,1,0.9830564,0.016943574,False
انامنوهرانباخينشريكوزميتر,0,0,1,1,0.50030386,0.49969614,False
