texte,vrai_label,label_predit,est_correct,probabilite_haine,probabilite_non_haine
الي روتور,0,1,False,0.5004628341571772,0.4995371658428228
ربي يهديكم,0,1,False,0.771514001590497,0.228485998409503
دير القايد تبون تخافيش,0,1,False,0.8707540484111066,0.1292459515888934
تكتب ضواحيها ليس ظواحيها,0,1,False,0.6854478707975562,0.3145521292024438
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,1,False,0.5395320720514052,0.4604679279485948
بركاكم الكذب الناس,0,1,False,0.9555782960938662,0.04442170390613376
سببت الهتهم يا جورج,0,1,False,0.8616597629217954,0.13834023707820464
كفاه راهم يديرو هاذو باه يربحو,0,1,False,0.9063377255263548,0.09366227447364517
مهمتنا تغيير النظام وليس تحرير ربراب,0,1,False,0.6203549030384026,0.37964509696159743
تموتو من مولوديه 🤦‍♂️,0,1,False,0.5773255261532684,0.4226744738467316
ربراب هذا من فضل ربي 😁,0,1,False,0.739603488377064,0.260396511622936
مصطلح قهوي هو مصطلح عنصري معناه اللون البني وهو اشاره الى العرب باعتبارهم بشرتهم سمراء كل شخص يستعمله بقصد,0,1,False,0.6655597577758485,0.3344402422241515
راجل نستعرف بيك المسؤول اختار المسؤوليه فالاساس باه يخدم الشعب نقطه ارجع للسطر,0,1,False,0.5068314826591795,0.49316851734082046
ولكن اذا اصبح كل ناس اغنياء لا تجد من يحلق شعر راسك او يبيع لك سجائر او يعصر لك القهوه الى اخره لانهم كلهم اغنياء لا احد يريد العمل لذالك خمم فيها مليح قبل ما تهدر,0,1,False,0.6357338809480957,0.3642661190519043
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,1,False,0.9071348409322765,0.09286515906772352
من اليوم يا السطايفي راك كيف كيف فالميزان نتا والبجاوي ممنوع عليك حملاوي,0,1,False,0.8511375069869099,0.14886249301309007
افريقيا الكحلاء,0,1,False,0.8417904218475931,0.15820957815240688
جناح القايد قضى على جناح بوتفليقه والان جناح اخر يقضي على جناح القايد الفرق انه كنا نعرف جناح بوتاف وجناح القايد اما الان فلا نعرف اي الاجنحه تتحكم فلو صدقنا قولكم على ان توفيق ونزار يتحكمان فلمذا كنتم ضد من اراد القضاء عليهم بمعنى واحد ووحيد انكم لن ترضو باي جناح حتى ولو كان جناح بعوضه,0,1,False,0.5075920508716559,0.49240794912834407
نتا منين يرحم باباك,0,1,False,0.7664694205528015,0.23353057944719846
عيبهم انهم سرقو صفر دينار لو كانو سرقو الملايير كانو سيكرمون لك الله يا جزاير,0,1,False,0.6093829563692197,0.3906170436307803
زيدلها المازدا,0,1,False,0.937959214749235,0.06204078525076495
ااه اكبر يسعد ربراب,0,1,False,0.5649185784430254,0.4350814215569746
يستهل انسان صادق,0,1,False,0.8802037331110315,0.1197962668889685
ça va chwia mn frr 😆,0,1,False,0.579409289994173,0.42059071000582704
مابوني لي جواغ تاع ملهيه,0,1,False,0.7981498947819777,0.20185010521802227
sidi rayak nahtarmoh aya 9oli wach tsupporté nta,0,1,False,0.7024113099006062,0.2975886900993938
استقلال مختطف فيق يا شعب,0,1,False,0.960928706557417,0.03907129344258298
stfuمثقفين لودو are here,0,1,False,0.5563239408949875,0.4436760591050125
ربي يهدي,0,1,False,0.8924329066555957,0.10756709334440429
جزاءر تبون,0,1,False,0.7031171124080291,0.2968828875919709
زيد اكشفهم انت ديمقراطي,0,1,False,0.520247429845258,0.47975257015474204
تبون الجيش يخرجش لمالي بامر ماكرون او طبطب,0,1,False,0.6400543815797133,0.3599456184202867
كنت معاه انت,0,1,False,0.7964867691971934,0.2035132308028066
القبائل خوتنا ❤️,0,1,False,0.6653440136796533,0.33465598632034665
ناس ماتحبش هاذ الشيء,0,1,False,0.6237070523491685,0.37629294765083154
نحبوا مولوديا وعايشين زوعاما,0,1,False,0.7514379250924966,0.24856207490750337
القايد صالح بيجو 406 zed okay 😁,0,1,False,0.550485575639074,0.44951442436092603
وفضح الخليج يدعم الارهاب,0,1,False,0.5863160299506035,0.4136839700493965
mebrouk 3lik,0,1,False,0.5503123326241024,0.4496876673758976
سندويش فريط او املاط نص طياب,0,1,False,0.706792792997473,0.293207207002527
يتذكر كلام رخيس الجزاير الكوكاين وعوده العصابه ستحاسب,0,1,False,0.7733621645387035,0.22663783546129646
نطالب باسترجاع بوتفليقه والعصابه 😂 رغم الفساد وكانت مستوره معانا,0,1,False,0.5359312062095524,0.46406879379044763
ضك يجو يتعرقو عليك واش داك تخرب,0,1,False,0.6197298387607206,0.38027016123927937
الموهبه الجزاءريه بف اختك يا صاحب المقال ستمثل توم كرموز براد بيت يا وقح,0,1,False,0.981282468053851,0.018717531946149002
دالتك غير وجد روحك,0,1,False,0.575728649899124,0.424271350100876
jebtha antik ki wesalt les clubs khasartha,0,1,False,0.6494055987585423,0.3505944012414577
تمدوه بالمعريفه يا,0,1,False,0.8616597629217954,0.13834023707820464
القبايل احرار ولن يخدعهم الزوافين وعبده ربراب,0,1,False,0.8146366287775063,0.1853633712224937
واش يقعدو في بلاد اازمان,0,1,False,0.622650765955796,0.37734923404420395
الفرج منك يا اله,0,1,False,0.9224882289967852,0.07751177100321482
ونتا هاذو حسبتهم اله ربك,0,1,False,0.9111306711123414,0.08886932888765864
العصابه غرقت الوحل راهي طرش,0,1,False,0.5206442977169418,0.47935570228305824
واش,0,1,False,0.5501475279757307,0.44985247202426926
شهاده تعادل الماستر هي دوره تكوينيه هزيله تاع سمانه حتى تورنوا مابين الاحياء ماتسمحلكش تغطيها راك تتخايل,0,1,False,0.7173311985839336,0.28266880141606643
كون زدت محمد صلاح,0,1,False,0.632768631791279,0.36723136820872104
wach kho cava,0,1,False,0.5920791000456022,0.40792089995439784
قالك صحافي العجب السنه الرابعه ابتداءي,0,1,False,0.7335743501051514,0.2664256498948486
ou ya3tihh sahték ya chikour abla,0,1,False,0.9477428895812533,0.0522571104187467
wach bik m3a leqabayel ma lqitch la wach thdr,0,1,False,0.7710947155693486,0.2289052844306514
انت عندك معلومه,0,1,False,0.5666207703909829,0.4333792296090171
المنحه راهم يديو اصحاب البطون المنتفخه,0,1,False,0.5502402945456129,0.44975970545438715
peur parce ce que hadou houma les vrais hommes de algérie hadou houma ils vont pas laisser algérie tache3ale fiha naree il sont des principes hadou nasse andehoum algérie fi damhoum machi wellad franca rabi makoum nechallah vous serez régulariser nechallah vous étiez la qui kane chabe fi hala je me souviens très bien de cette époque 👍vive algér,0,1,False,0.9823792340097561,0.01762076599024387
تبون,0,1,False,0.95629795880099,0.04370204119901
احح بردتلي قلبي,0,1,False,0.5687758937847425,0.43122410621525753
فريط اوملات ببيض 😂,0,1,False,0.8239556344903145,0.1760443655096855
مخي حبس مع هذو العلماء قالك قاطع شركه جزائريه روح اشري على شركه سعوديه 🤦🏻‍♂️,0,1,False,0.5187408904626098,0.48125910953739015
درت اختبار حمض نووي لقيت روحي اصلي من قبرص,0,1,False,0.5436346454493804,0.45636535455061955
ستندمون زمن القايد صالح رحمه اله,0,1,False,0.5066546497118158,0.49334535028818416
الخونه واامحكوم عليهم 20 سنه من طرف المحكمه العسكريه يعودون الى البلد وعلى متن طاءره رءاسيه والاحرار متهمون بالارهاب,0,1,False,0.5509238041303508,0.4490761958696492
شكون قالك معطوب الاه,0,1,False,0.861524484301147,0.13847551569885297
جناح القايد قضي جناح بوتفليقه والان جناح اخر يقضي جناح القايد الفرق كنا نعرف جناح بوتاف وجناح القايد فلا نعرف الاجنحه تحكم فلو صدقنا قولكم توفيق ونزار يتحكمان فلمذا كنتم اراد القضاء عليهم بمعني وحيد انكم ترضو باي جناح ولو جناح بعوضه,0,1,False,0.5618984320099066,0.43810156799009337
الرءيس الوحيد وجه النظام العالمي الصهيوماسوني واوقف الدعم اكبر منظماته لمن يعرف,0,1,False,0.6698698115531048,0.33013018844689523
azul mon frère amine besahtek houcine de tizi ouzou avec vos,0,1,False,0.9393792128647523,0.060620787135247656
نتوما مزالكم ذم بيلايك مرعوبه,0,1,False,0.8136605341320102,0.18633946586798977
المبالغ ليست قطره بحر المبالغ اخدتها العصابه وعد الرءيس يعيدها وكذالك تساوي شيء يعمل كريس ويبقي مرتبه الشهري حالو لاحول باله العلي العظيم,0,1,False,0.6224089082263624,0.3775910917736376
القباءل ربراب الشاويه القايد خلي نديرو حرب,0,1,False,0.5946935414806102,0.40530645851938985
راك حاس بيه كيما صرالك 😁,0,1,False,0.704399320375937,0.295600679624063
قال تبون الجيش ما يخرجش لمالي بامر من ماكرونااو طبطب,0,1,False,0.5449648209458678,0.45503517905413216
داريخلص ربراب اخر,0,1,False,0.7768503569481665,0.2231496430518335
اول مره في حياه زيطوط يكتب منشور فيه الخير للناس,0,1,False,0.5036548595491263,0.49634514045087375
الترمه عمرها تبول يعني تقعد ترمه ليكوش هدا,0,1,False,0.8170642805595705,0.18293571944042952
باي باي الجزاءر متزيدش تدخلها عمرك تبقي عسكريه جدارميه بوليسيه شنبيطيه مدنيه لي راك تحوس مزال مشفنهاش,0,1,False,0.7225402718102053,0.2774597281897947
الجيش ولد الشعب ادرها,0,1,False,0.5447132770612642,0.45528672293873584
