number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_norm,params_dropout_lstm,params_dropout_post_lstm,params_dropout_pre_lstm,params_hidden_dim,params_learning_rate,params_n_layers,params_scheduler_factor,params_scheduler_patience,params_weight_decay,state
0,0.4756463134894962,2026-05-16 12:34:02.307360,2026-05-16 12:38:06.024688,0 days 00:04:03.717328,32,3.3994812107955625,0.5,0.2,0.5,64,0.00010255552094216992,2,0.3,5,0.00013066739238053285,COMPLETE
1,0.4880377355740926,2026-05-16 12:38:06.025915,2026-05-16 12:40:59.356690,0 days 00:02:53.330775,32,3.0489195547657553,0.4,0.4,0.2,48,0.0003654769917956456,1,0.5,3,0.0003823475224675188,COMPLETE
2,0.45228546505894585,2026-05-16 12:40:59.357796,2026-05-16 12:43:22.599138,0 days 00:02:23.241342,64,2.416590316244232,0.3,0.5,0.4,48,0.0001096524277832185,2,0.4,2,0.00013492834268013249,COMPLETE
3,0.011560693641618497,2026-05-16 12:43:22.600459,2026-05-16 12:44:39.397696,0 days 00:01:16.797237,128,2.9792217348362575,0.3,0.6,0.4,80,0.00016463795672118082,1,0.4,5,0.0021137059440645744,COMPLETE
4,0.47373673111532477,2026-05-16 12:44:39.398708,2026-05-16 12:47:06.326198,0 days 00:02:26.927490,64,0.9547826400522686,0.7,0.2,0.4,128,0.00012329223607243696,2,0.7,3,0.00012315571723666037,COMPLETE
5,0.0,2026-05-16 12:47:06.327808,2026-05-16 12:49:54.835454,0 days 00:02:48.507646,32,0.5338857085259134,0.5,0.4,0.2,32,0.002010804001006617,1,0.6000000000000001,3,0.00830886096612208,COMPLETE
6,0.4631204197704449,2026-05-16 12:49:54.836556,2026-05-16 12:52:46.105887,0 days 00:02:51.269331,32,4.982175626258337,0.4,0.4,0.2,112,0.000834076117670142,1,0.8,2,0.0006589837388158311,COMPLETE
7,0.45039203884630047,2026-05-16 12:52:46.106957,2026-05-16 12:54:01.785283,0 days 00:01:15.678326,128,1.5698807618409583,0.7,0.30000000000000004,0.2,32,0.0004960281433134101,1,0.5,4,0.0005234878117183911,COMPLETE
8,0.4859708260047981,2026-05-16 12:54:01.786467,2026-05-16 12:56:56.542632,0 days 00:02:54.756165,32,1.413252894407453,0.5,0.6,0.6,80,0.004116872913975088,1,0.6000000000000001,4,0.0016715497814415725,COMPLETE
9,0.47965153335441835,2026-05-16 12:56:56.543644,2026-05-16 13:00:48.772224,0 days 00:03:52.228580,32,4.720945016216621,0.4,0.30000000000000004,0.30000000000000004,96,0.0003945173598476267,2,0.5,3,0.00034182789779257786,COMPLETE
10,0.3655564606258076,2026-05-16 13:00:48.773307,2026-05-16 13:02:39.045018,0 days 00:01:50.271711,64,2.2018685216476275,0.6000000000000001,0.5,0.30000000000000004,64,5.056401182267126e-05,1,0.3,2,0.0051157217815787775,COMPLETE
11,0.4872903643292708,2026-05-16 13:02:39.046236,2026-05-16 13:05:31.974072,0 days 00:02:52.927836,32,1.5717394068125723,0.4,0.6,0.6,80,0.004550952398044049,1,0.6000000000000001,4,0.0016208236209362353,COMPLETE
12,0.4600840714340203,2026-05-16 13:05:31.975427,2026-05-16 13:08:23.169699,0 days 00:02:51.194272,32,1.1529980834296951,0.4,0.5,0.6,64,0.0013468725891872166,1,0.7,4,0.0012328302929046151,COMPLETE
13,0.5094939482113343,2026-05-16 13:08:23.170919,2026-05-16 13:11:15.444746,0 days 00:02:52.273827,32,0.8374221392607385,0.4,0.30000000000000004,0.5,96,0.0037459424459416737,1,0.6000000000000001,4,0.0003315977424533472,COMPLETE
14,0.5274798249298633,2026-05-16 13:11:15.445753,2026-05-16 13:14:07.758435,0 days 00:02:52.312682,32,0.6840041532691363,0.3,0.30000000000000004,0.5,112,0.0002934855132695697,1,0.5,3,0.00025455605418178674,COMPLETE
