texte,vrai_label,label_predit,est_correct,probabilite_haine,probabilite_non_haine
خارينا,1,0,False,0.3254679315042492,0.6745320684957508
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.4226619202732269,0.5773380797267731
الحراش لزمو ربي يهدينا ويهديهم يكونو الرجال,1,0,False,0.26786514916592924,0.7321348508340708
matahachmouch shab rachad zenzla mazalkoum dirou el politique haya allah el bghoula,1,0,False,0.3849541594660733,0.6150458405339267
naima bitalmaa tahball mouti naima lafouhiste,1,0,False,0.3254679315042492,0.6745320684957508
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,0,False,0.32131694092058466,0.6786830590794153
الكعباخطرمنذالكورونا,1,0,False,0.3254679315042492,0.6745320684957508
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,0,False,0.3966391514424773,0.6033608485575227
khanza faiha tfo,1,0,False,0.3254679315042492,0.6745320684957508
كس امو ميحب فري فاير 😑,1,0,False,0.1182948010414535,0.8817051989585465
😅😆,1,0,False,0.3254679315042492,0.6745320684957508
لخماج خامجين كواvا,1,0,False,0.3254679315042492,0.6745320684957508
kalb chmata wa r7is wo tahan tffo,1,0,False,0.18242120912545273,0.8175787908745473
راقصه ملاهي ليليه وعميله فرنسا تكلم شءون البلاد عيش تشوف,1,0,False,0.4674617365486135,0.5325382634513864
المبلغ هادا حكمو حداد صرف رقيق ارهابي,1,0,False,0.4409629092528719,0.559037090747128
والى سرق نورمال ماشي قتالين,1,0,False,0.45079636693448516,0.5492036330655148
وزير تقول قردقود,1,0,False,0.2167106542228039,0.7832893457771961
هواتف رديءه باسعار باهضه,1,0,False,0.3254679315042492,0.6745320684957508
hasbiya allah wa ni3ma el wakil,1,0,False,0.24148972496815785,0.7585102750318422
شاء الله يتحاسبو,1,0,False,0.4082988040914345,0.5917011959085655
arkhis,1,0,False,0.3254679315042492,0.6745320684957508
المهم ضربوهلو,1,0,False,0.20137339849196798,0.798626601508032
استغفر الله واتوب اليه حاب يدير الفتنه,1,0,False,0.1593819364179056,0.8406180635820943
koulchy mabrouke hagda abla taharake rpake rpake abla,1,0,False,0.3254679315042492,0.6745320684957508
عيبك بء لبزازل,1,0,False,0.3254679315042492,0.6745320684957508
atfo kalb,1,0,False,0.3254679315042492,0.6745320684957508
khra,1,0,False,0.3254679315042492,0.6745320684957508
نوميديا بزول,1,0,False,0.3310360007457606,0.6689639992542393
بالنسبه لناس تادفع ربراب بحجه توفيره لمناصب سجنه سيجعل الاف الناس بطاله ويقولك ماغاضنيش ربراب غاضوني الناس تقطع رزقها نقولهم قولتو لبوليسي نحي الكاسكيطا وارواح معانا وقلتولو خاوه خاوه والرزق ربي نقولكم ربراب يتحاسب وخاوه خاوه والرزق ربي مانصب الشغل حداد تاني موفر مناصب وكونيناف موفر مناصب تاني ماغاضنيش البوشي غاضوني الناس كانو يخدمو ويبيعو فالكوكاين وماغاضنيش الصراف الزطله غاضوني الناس تبيع بالطرف وتسترزق منو,1,0,False,0.38638055912958946,0.6136194408704105
akbar kadeb menteur battar,1,0,False,0.3254679315042492,0.6745320684957508
يالمنافقين,1,0,False,0.3254679315042492,0.6745320684957508
tezz,1,0,False,0.3254679315042492,0.6745320684957508
كامل بوصبعle bleuالمغيب الشماتى,1,0,False,0.46184113944751554,0.5381588605524845
اح لفريش,1,0,False,0.2511666961643335,0.7488333038356665
عبلويه 10😵,1,0,False,0.2586480719098649,0.7413519280901351
ماشاء الله تعليقات تليق الرويبضه زنديق,1,0,False,0.09519470895449858,0.9048052910455014
16 جيقا ويقلك ستوكي ياناس العلم لحقو 28 جيقا وحنايا عليها مازلنا روطار,1,0,False,0.03559309180430743,0.9644069081956925
frites omelette bayd café,1,0,False,0.2426246901930882,0.7573753098069118
ربي يحفظك اخينا العربي زيتوت واصل انشاء الله تسقط العصابه,1,0,False,0.2585092766818477,0.7414907233181522
السبب هادو ربراب زاد السردين السيارات العصابه المنتوجات كشيريست,1,0,False,0.25299777489327074,0.7470022251067292
