texte,vrai_label,label_predit,est_correct,score_decision,probabilite_haine,probabilite_non_haine
خارينا,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,-0.7032799520972098,0.3310854218206477,0.6689145781793523
الحراش لزمو ربي يهدينا ويهديهم يكونو الرجال,1,0,False,-0.42762396278080156,0.3946938498144142,0.6053061501855859
matahachmouch shab rachad zenzla mazalkoum dirou el politique haya allah el bghoula,1,0,False,-0.2656531712829916,0.4339745447790647,0.5660254552209353
naima bitalmaa tahball mouti naima lafouhiste,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
الكعباخطرمنذالكورونا,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
ماعندو مادخلك اقعد قشورك وتلها فرواحكم,1,0,False,-0.1586277012931208,0.4604260223973142,0.5395739776026858
khanza faiha tfo,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
كس امو ميحب فري فاير 😑,1,0,False,-0.8953404514445006,0.29000897641834755,0.7099910235816524
😅😆,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
لخماج خامجين كواvا,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
kalb chmata wa r7is wo tahan tffo,1,0,False,-0.6242961839340821,0.3488049831456677,0.6511950168543323
راقصه ملاهي ليليه وعميله فرنسا تكلم شءون البلاد عيش تشوف,1,0,False,-0.14916802155596398,0.4627769901001104,0.5372230098998896
المبلغ هادا حكمو حداد صرف رقيق ارهابي,1,0,False,-0.3917808998104616,0.4032886589421541,0.596711341057846
وزير تقول قردقود,1,0,False,-0.6381158882951783,0.34567256951183084,0.6543274304881692
هواتف رديءه باسعار باهضه,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
hasbiya allah wa ni3ma el wakil,1,0,False,-0.5400412105217346,0.3681779956983058,0.6318220043016942
شاء الله يتحاسبو,1,0,False,-0.1785135219335026,0.4554897577306183,0.5445102422693817
طرول قاعد سوهختك,1,0,False,-0.19363215270808393,0.45174264542147424,0.5482573545785258
arkhis,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
كلب نباح,1,0,False,-0.35206856398335507,0.41288088974548276,0.5871191102545172
المهم ضربوهلو,1,0,False,-0.22192879782611458,0.4447444037835693,0.5552555962164307
استغفر الله واتوب اليه حاب يدير الفتنه,1,0,False,-0.5773292369279177,0.3595473674682859,0.6404526325317141
koulchy mabrouke hagda abla taharake rpake rpake abla,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
عيبك بء لبزازل,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
atfo kalb,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
نشرها غاليه احسن يمدوهالي باطل مخيمات الاجءين يالخاين,1,0,False,-0.02558067164992822,0.493605180798941,0.506394819201059
khra,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
نوميديا بزول,1,0,False,-0.06008177206642748,0.4849840737767207,0.5150159262232793
akbar kadeb menteur battar,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
يالمنافقين,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
tezz,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
اح لفريش,1,0,False,-0.44666605323898445,0.39015373352877597,0.6098462664712241
عبلويه 10😵,1,0,False,-0.2637415473419486,0.43444417643791255,0.5655558235620874
ماشاء الله تعليقات تليق الرويبضه زنديق,1,0,False,-0.9957503304673988,0.2697777770903288,0.7302222229096712
16 جيقا ويقلك ستوكي ياناس العلم لحقو 28 جيقا وحنايا عليها مازلنا روطار,1,0,False,-1.772697997512033,0.14520712738070862,0.8547928726192914
frites omelette bayd café,1,0,False,-0.6429724910811405,0.34457491316787875,0.6554250868321212
ربي يحفظك اخينا العربي زيتوت واصل انشاء الله تسقط العصابه,1,0,False,-0.241600805823719,0.4398918950923063,0.5601081049076937
السبب هادو ربراب زاد السردين السيارات العصابه المنتوجات كشيريست,1,0,False,-0.07286252126243206,0.48179242422630564,0.5182075757736944
nhebb mouloudia yedaq wnehi ze mla page taek drarri tae ze,1,0,False,-0.20484016595508459,0.44896827263550937,0.5510317273644907
نشرها غاليه احسن يمدوهالي باطل مخيمات الاجئين يالخاين,1,0,False,-0.02558067164992822,0.493605180798941,0.506394819201059
قوادتك,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
yazebi mi habes likima linako leblad yazebi,1,0,False,-0.23763997852914584,0.4408680226273979,0.5591319773726021
🖕🏻,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
اسوء سياسه لجلب التفاعل سياسه الحملات الانتخابيه الجزاءريه,1,0,False,-0.07942027061750612,0.48015536221823324,0.5198446377817667
نوض هز قلايطك جسم فاني وحياه فانيه يتزوج يخدم قدو حالتو ديك اشياء,1,0,False,-1.1851221864345949,0.23413246367475946,0.7658675363252405
بوخانه,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
lil tahra9 nedt sbah khredjtelna be istintaj manach habsine bel bayd 😅,1,0,False,-0.045531075227462914,0.4886191972336286,0.5113808027663713
فريت اوملات بالبيض طبي 🙄😅,1,0,False,-0.5995550197877982,0.354445504831191,0.645554495168809
سيريسلي يلبسو لاكوسط لاريني اعطيه غنيه نتاع بيلو يعطيك ختو نورمال,1,0,False,-0.5532317346488396,0.3651149473866718,0.6348850526133283
3ar abi nqolek tahia israël 🇮🇱 tahia tmazgha ♓😂,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
نسرق الفرماج صغيره امشي قودي كرفه خساره الكاسكيطه راسك ولعلام مورا ظهرك,1,0,False,-0.7347811780755131,0.32414640895492924,0.6758535910450707
dekhel matob ha chi ayaghyoul ue3ni aghyoul akhirik enta tehan blekwaght,1,0,False,-0.776035852638586,0.3151748787875762,0.6848251212124238
wallah andek 3lamn tahachmi zayla,1,0,False,-0.10330072791950123,0.47419775867037117,0.5258022413296288
ترر,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
nikk,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
افف,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
قنبله نويه الاستاذ محمد العربي زيتوت فظح كوارثهم الارهابيه تسقط المافيا العسكريه,1,0,False,-0.24381173490934754,0.43934722347879424,0.5606527765212057
frii glit,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
نكفر بيهم,1,0,False,-0.7166144780299762,0.32813893314596493,0.671861066854035
كولي الخبيز وسكتي,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
عفن السلام,1,0,False,-1.8238432188446287,0.1389733559058015,0.8610266440941985
الرئيس وحيد لفات سلال تهريج,1,0,False,-0.30751898327588995,0.42372044213658777,0.5762795578634122
ysiporti tajnat csc hdouk mhalbin 🤣,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
d5l crb wa9il ntnaq l3l,1,0,False,-0.4296734651271118,0.3942043077758281,0.6057956922241718
kelba,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
امير دبلوم شاء الله يكون فال خير مزيد التعريه للنظام بدون رحمه,1,0,False,-0.5515987081202847,0.3654935760877562,0.6345064239122438
بصحتكم انتها الحراك مبروك لعصابه سوفه يطلق سراح ربراب لاكن مبروك لعصابه والسب الملال,1,0,False,-0.10878474857907475,0.47283060140242267,0.5271693985975774
جيقا ويقلك ستوكي ياناس العلم لحقو جيقا وحنايا مازلنا روطار,1,0,False,-1.9650447297625822,0.12292212833388944,0.8770778716661105
tfoo,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
وعد وفي للاسف رئيس كادب,1,0,False,-0.09707729750622088,0.4757497171916995,0.5242502828083004
nktha,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
عندو الحق موالف ياكل فريت اوملات بالرخس محاينك الدموع طاحو الضحك عجبني سكت شويه زبلها بالبيض,1,0,False,-0.24837752440131533,0.4382228858599125,0.5617771141400876
مانسيتش اله تربحكوم,1,0,False,-0.6364683588396874,0.34604530742713424,0.6539546925728658
حي الله الحمار,1,0,False,-0.6827898846129938,0.3356389139744292,0.6643610860255709
ماشاء اله تعليقات تليق الرويبضه زنديق,1,0,False,-0.9184685662398135,0.28527003721823374,0.7147299627817663
يافرطاس ياخامج,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
مام كيمي هوا غاضك,1,0,False,-0.28729954268596364,0.4286651118890232,0.5713348881109768
baynd mamidou mdiroch,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
رح ينكحنا بلكورونا,1,0,False,-1.0630120273810426,0.2567342732385816,0.7432657267614184
علبانا بيها وانت تحوس,1,0,False,-0.12062237267889503,0.4698809167556842,0.5301190832443158
جاي دورك ماتقلقش ياشيطان,1,0,False,-0.47088467222809927,0.384406874942317,0.6155931250576829
roih a9tel rouhak tgi thdar syarb,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
bled zeb,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
رجال يكسبو ومنقش يحسبو دزير عندها وميخصهاش,1,0,False,-0.32769338493753986,0.4188019637475319,0.581198036252468
نسرق الفرماج صغيره امشي قودي كرفه خساره الكاسكيطه راسك ولعلام مورا ظهرك,1,0,False,-0.7347811780755131,0.32414640895492924,0.6758535910450707
انسانه فاشله باتم معني الكلمه,1,0,False,-0.2700074886055638,0.4329052565937211,0.567094743406279
مكنش موقع اباحي مدخلوش,1,0,False,-0.07580753041893129,0.4810571882101312,0.5189428117898688
سينيالت ومدرت والو 🤣,1,0,False,-0.38210949739879035,0.40561821286446564,0.5943817871355344
خلوهم يروحو خير القعاد بلاد مانكمل,1,0,False,-0.11098839821227147,0.4722813487829101,0.5277186512170899
قديمه,1,0,False,-1.13212764691396,0.24376866496857108,0.7562313350314289
مانيش فاهم تبعوا بغ الح ديزاد قالك عندو شهاده صحفي ومعترف الاتحاد الاوروبي سلمنا جدلا الامر حقيقه فيقوا المب رد عون حصل عليها الم يتحصل عليها رن سا المج رم العد وه الاولى للجزائر يين تفهم شيء وتدرك تمام الادراك امير ديزاد عم يل لديهم مجرد دق يضربون امننا وامتنا ترضى عنك اليهود والنصارى تتبع ملتهم فيق اب ريق,1,0,False,-0.07233721591542541,0.4819235776674327,0.5180764223325673
بروبلام والله بروبلام فالشعب يتفرجهم ومطلعلهم شانهم vu لوكان مراه سمع منعرفوش فيقوره هدو,1,0,False,-0.7731179309500639,0.31580502144737593,0.684194978552624
batar,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
بوتفليقه التحلاب,1,0,False,-0.34161390758623733,0.4154174929624689,0.5845825070375311
wali darya lahram 🔪,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
كس امو ميحب فري فاير,1,0,False,-0.8953404514445006,0.29000897641834755,0.7099910235816524
