texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,1,1,0.65402615,0.34597385,False
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,1,1,0.6811425,0.3188575,False
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,1,1,0.5905091,0.40949088,False
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,0,1,1,0.7586058,0.24139422,False
سببت الهتهم يا جورج,0,0,1,1,0.6693093,0.33069068,False
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,0,1,1,0.68281317,0.31718683,False
😂 بلا مزيه حبيبه قلبي 😘,0,0,1,1,0.6580428,0.3419572,False
مبروك عليك من حراق الى صحافى محترف الله راك قدوه لكامل الشباب,0,0,1,1,0.6132834,0.3867166,False
مصطلح قهوي هو مصطلح عنصري معناه اللون البني وهو اشاره الى العرب باعتبارهم بشرتهم سمراء كل شخص يستعمله بقصد,0,0,1,1,0.62546176,0.37453824,False
لم تلمسها يا ادمين🤷‍♂️,0,0,1,1,0.51441,0.48558998,False
بركاو التخلاط وشي هاذ المصطلحات الغريبه قهوي روجي وردي موفي سميو الاشخاص باسماءها وحطو الامور نصابها حبسونا هاذ لهبال,0,0,1,1,0.7175464,0.2824536,False
ان الشيطان يعدكم الفقر,0,0,1,1,0.53212106,0.46787894,False
ربراب فءنسي وحداد بريطاني واخر خبر كونيناف جنسيه سويسريه لك اله يا جزاءر,0,0,1,1,0.7993377,0.20066231,False
بانت حقيقتك,0,0,1,1,0.5118352,0.48816478,False
لست بساحر بصح علابالي راك قاعد دك خاصك دراهم01,0,0,1,1,0.90461344,0.095386565,False
سقسي اي واحد هنا يقولك ساره بريئه عاقله مسالمه nمي عائشه نوو🤭,0,0,1,1,0.6637996,0.33620042,False
kolchi yajabdeh zitout makanch laab maah,0,0,1,1,0.5538596,0.4461404,False
راجل نستعرف بيك المسؤول اختار المسؤوليه فالاساس باه يخدم الشعب نقطه ارجع للسطر,0,0,1,1,0.5511168,0.44888318,False
ولكن اذا اصبح كل ناس اغنياء لا تجد من يحلق شعر راسك او يبيع لك سجائر او يعصر لك القهوه الى اخره لانهم كلهم اغنياء لا احد يريد العمل لذالك خمم فيها مليح قبل ما تهدر,0,0,1,1,0.64385015,0.35614985,False
افهم تناقضتهم كيف التحالف يضرب داعش سوريا العراق جوا ارض مكشوفه فيهرب الفيروس ليبيا لماذا لكي ينتقم دوله اسلاميه عربيه سنيه الاولي مقاتله يقاتلونه فداعش صناعه امريكيه اسرايليه ارانيه الامه الاسلاميه العربيه السنيه ونحن الشعب الجزايري جيشنا خندق وسنقطع ايدهم ادا مست دره بلادنا المخضب بدما الشهدا,0,0,1,1,0.67742664,0.32257336,False
