texte,vrai_label,label_predit,est_correct,probabilite_haine,probabilite_non_haine
ربي يهديكم,0,1,False,0.8107282001707155,0.18927179982928455
وانت,0,1,False,0.7016436679083546,0.29835633209164536
دير القايد تبون تخافيش,0,1,False,0.9312613696141261,0.06873863038587391
مول لباج عطيوه كيلو مخلط الديسير غايسكت,0,1,False,0.6110659773437882,0.3889340226562118
بركاكم الكذب الناس,0,1,False,0.815675567721775,0.18432443227822504
كفاه يديرو باه يربحو,0,1,False,0.9613935278337201,0.03860647216627988
تموتو مولوديه 🤦‍♂️,0,1,False,0.5200888006999752,0.4799111993000248
kolchi yajabdeh zitout laab,0,1,False,0.531331056300004,0.468668943699996
bayen dhork hawass tlazag zelzla nidham 😂,0,1,False,0.91681383697991,0.08318616302008996
افريقيا الكحلاء,0,1,False,0.9156458082175586,0.08435419178244141
تحوس 😋,0,1,False,0.6017294209646269,0.3982705790353731
جناح القايد قضى جناح بوتفليقه والان جناح يقضي جناح القايد الفرق كنا نعرف جناح بوتاف وجناح القايد الان نعرف الاجنحه تتحكم فلو صدقنا قولكم توفيق ونزار يتحكمان فلمذا كنتم ضد اراد القضاء بمعنى ووحيد انكم ترضو باي جناح جناح بعوضه,0,1,False,0.6043098441266413,0.39569015587335865
منين يرحم باباك,0,1,False,0.6420463140838254,0.3579536859161746
اتمنا يحق اله حلمك ويكون هدا هديه,0,1,False,0.500256106766279,0.49974389323372104
توفيق والشعب ربراب,0,1,False,0.5195487343635671,0.4804512656364329
خصاره نسيت جيت نقلك,0,1,False,0.5262306404455722,0.4737693595544278
كا العاده ديما القمه,0,1,False,0.5259035983901328,0.4740964016098672
زيدلها المازدا,0,1,False,0.9248300458050781,0.0751699541949219
ااه اكبر يسعد ربراب,0,1,False,0.5921861089544507,0.4078138910455493
يستهل انسان صادق,0,1,False,0.5734110421780372,0.4265889578219628
ça va chwia frr 😆,0,1,False,0.7171940899160647,0.2828059100839353
نلبس لاكوست لاريني مانيش كعبه,0,1,False,0.5160328846608067,0.48396711533919334
sidi rayak nahtarmoh aya 9oli tsupporté,0,1,False,0.6867733804401385,0.31322661955986153
استقلال مختطف فيق شعب,0,1,False,0.9690402651005829,0.030959734899417057
stfuمثقفين لودو are here,0,1,False,0.6367072478067133,0.3632927521932867
لاشكر علي واجب,0,1,False,0.5817483300673363,0.4182516699326637
ربي يهدي,0,1,False,0.8653885576123251,0.13461144238767486
talha9 crb lazemlk kho 😉,0,1,False,0.5067926585578213,0.4932073414421787
جزاءر تبون,0,1,False,0.6265665836977703,0.3734334163022297
هدي لناس يقولك اروح لبلاد واهدر الخارجوهبلوهم,0,1,False,0.5240379860127964,0.4759620139872036
ناس ماتحبش الشيء,0,1,False,0.6847439774362822,0.31525602256371776
نحبوا مولوديا وعايشين زوعاما,0,1,False,0.7181978901278834,0.2818021098721166
القايد صالح بيجو 406 zed okay 😁,0,1,False,0.5500243684502517,0.4499756315497483
سنوات الاخيره,0,1,False,0.7650284668602312,0.23497153313976882
سندويش فريط املاط نص طياب,0,1,False,0.5905016375571464,0.40949836244285365
يتذكر كلام رخيس الجزاير الكوكاين وعوده العصابه ستحاسب,0,1,False,0.7421517243385196,0.2578482756614804
نطالب باسترجاع بوتفليقه والعصابه 😂 رغم الفساد وكانت مستوره معانا,0,1,False,0.6201380069682955,0.37986199303170454
الموهبه الجزاءريه بف اختك صاحب المقال ستمثل توم كرموز براد بيت وقح,0,1,False,0.9603234432896348,0.039676556710365185
دالتك روحك,0,1,False,0.8160693878481745,0.1839306121518255
السكر ربراب العالم كامل 36 دج 90,0,1,False,0.561229482321498,0.43877051767850195
القبايل احرار ولن يخدعهم الزوافين وعبده ربراب,0,1,False,0.7262476404522505,0.27375235954774946
يقعدو بلاد اازمان,0,1,False,0.7245369666098472,0.27546303339015277
الفرج منك اله,0,1,False,0.7028390189345252,0.29716098106547484
ونتا حسبتهم اله ربك,0,1,False,0.6354408724224884,0.36455912757751163
نعرف نتاع الجزار شاكيب رباعتهم راحو اصلا ماعندهمش مصداقيه دوليه مشكوك امرهم عدالتهم علاباهم نتاع تيري تيري حطت,0,1,False,0.5119128018746499,0.48808719812535006
العصابه غرقت الوحل طرش,0,1,False,0.6173489692330023,0.3826510307669977
