texte,vrai_label,label_predit,est_correct,score_decision,probabilite_haine,probabilite_non_haine
فيف لقبايل,0,1,False,0.09803026395527348,0.5244879584930578,0.47551204150694215
ربي يهديكم,0,1,False,1.1040961162289453,0.751026807385787,0.24897319261421302
وانت,0,1,False,0.22794191267822472,0.5567400181177928,0.44325998188220717
نحي فلسطين دار اسراءيل💔☹,0,1,False,0.1663534427083327,0.5414927174991867,0.4585072825008133
دير القايد تبون تخافيش,0,1,False,0.7177601107087804,0.6721135876113344,0.32788641238866556
بركاكم الكذب الناس,0,1,False,0.2465239654657405,0.5613207462235479,0.4386792537764521
كفاه يديرو باه يربحو,0,1,False,1.5526776987932598,0.8253001383167379,0.17469986168326213
kolchi yajabdeh zitout laab,0,1,False,0.10724467575901314,0.5267855012502131,0.47321449874978694
ادريس undefined خمم,0,1,False,0.015618967287268914,0.5039046624429104,0.49609533755708957
bayen dhork hawass tlazag zelzla nidham 😂,0,1,False,2.171808760681611,0.8976892086304548,0.10231079136954524
افريقيا الكحلاء,0,1,False,1.1857057016112438,0.7659721527971018,0.23402784720289815
المهم ماتشريش زيت ربراب,0,1,False,0.04828575408372948,0.512069093673595,0.487930906326405
تحوس 😋,0,1,False,0.16547880983118196,0.5412755572206512,0.45872444277934876
جناح القايد قضى جناح بوتفليقه والان جناح يقضي جناح القايد الفرق كنا نعرف جناح بوتاف وجناح القايد الان نعرف الاجنحه تتحكم فلو صدقنا قولكم توفيق ونزار يتحكمان فلمذا كنتم ضد اراد القضاء بمعنى ووحيد انكم ترضو باي جناح جناح بعوضه,0,1,False,0.38189895384876504,0.5943310257449789,0.40566897425502113
منين يرحم باباك,0,1,False,0.5336932533388358,0.6303440919622492,0.36965590803775084
خصاره نسيت جيت نقلك,0,1,False,0.3210637782152491,0.579583481152487,0.42041651884751297
كا العاده ديما القمه,0,1,False,0.1999370342763126,0.5498184122034542,0.4501815877965458
زيدلها المازدا,0,1,False,1.4031286573544666,0.8026798898911188,0.19732011010888117
لفاندوفسكي برجلو مركا خمسه دقايق وهادو 12 دقيقه ممركاوش 😞,0,1,False,0.2669495780854504,0.5663438781163609,0.4336561218836391
