texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,1,1,0.6328482,0.3671518,False
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,1,1,0.6080481,0.39195192,False
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,0,1,1,0.55026627,0.44973373,False
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,1,1,0.79414356,0.20585644,False
دير القايد تبون تخافيش,0,0,1,1,0.5149702,0.48502982,False
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,1,1,0.6889315,0.31106848,False
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,1,1,0.6219743,0.3780257,False
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,0,1,1,0.5498198,0.45018017,False
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,0,1,1,0.7960906,0.2039094,False
سببت الهتهم يا جورج,0,0,1,1,0.77591765,0.22408235,False
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,0,1,1,0.7899443,0.21005571,False
😂 بلا مزيه حبيبه قلبي 😘,0,0,1,1,0.75416154,0.24583846,False
مبروك عليك من حراق الى صحافى محترف الله راك قدوه لكامل الشباب,0,0,1,1,0.65323055,0.34676945,False
لي راهم يقولو سعر سكر لي يجيبو ربراب غالي حاجه سااهله ماشي لازم تشري سكر تاع ربراب كاين علامات اخرى مثل لابال,0,0,1,1,0.66578066,0.33421934,False
ايه عندهم الحق الجزاءر بلاد امن راك تشوف فينا نتقاتلو بالسلاح,0,0,1,1,0.5724316,0.42756838,False
كفاه راهم يديرو هاذو باه يربحو,0,0,1,1,0.5193602,0.48063982,False
اولا تكلم القباءل بصفه الجمع قضيه ربراب ثانيا المدافعون دافعو كبيرهم ربراب وعندما نقول ربراب نقول توفيق وحداد دافعو احشمو احشمو,0,0,1,1,0.541277,0.458723,False
تموتو من مولوديه 🤦‍♂️,0,0,1,1,0.5311713,0.46882868,False
العصابه مازالت تستغل ماسي الشعب الزوالي باش تحب تبلعط وتتقرب من الناس لراهي رافضه ليها وماكاش الشرعيه لحكومه الجنرالات,0,0,1,1,0.73347557,0.26652443,False
القانون الجميع ربراب اظهرت التحقيقات متورط الفساد لازم يتعاقب اطار القانون منو مالناس,0,0,1,1,0.6389844,0.36101562,False
مصطلح قهوي هو مصطلح عنصري معناه اللون البني وهو اشاره الى العرب باعتبارهم بشرتهم سمراء كل شخص يستعمله بقصد,0,0,1,1,0.88076484,0.11923516,False
لم تلمسها يا ادمين🤷‍♂️,0,0,1,1,0.64379305,0.35620695,False
بركاو التخلاط وشي هاذ المصطلحات الغريبه قهوي روجي وردي موفي سميو الاشخاص باسماءها وحطو الامور نصابها حبسونا هاذ لهبال,0,0,1,1,0.80692357,0.19307643,False
نتوما اعراب اشد كفرا نفقا ربنا رب السماوات الارض نعبد الحي القيوم انتم تجهلون وتضعون الصور اشركتم بربكم انتم تعلمون لنا اله,0,0,1,1,0.6068344,0.3931656,False
ان الشيطان يعدكم الفقر,0,0,1,1,0.5826834,0.41731662,False
تشفاو نهار لي تصورو زعما قريب ربغين واحد قع لابسين تريكو واحد يامات العيد,0,0,1,1,0.6237657,0.3762343,False
ربراب فءنسي وحداد بريطاني واخر خبر كونيناف جنسيه سويسريه لك اله يا جزاءر,0,0,1,1,0.9011664,0.09883362,False
بانت حقيقتك,0,0,1,1,0.58855283,0.41144717,False
لست بساحر بصح علابالي راك قاعد دك خاصك دراهم01,0,0,1,1,0.94301164,0.05698836,False
سقسي اي واحد هنا يقولك ساره بريئه عاقله مسالمه nمي عائشه نوو🤭,0,0,1,1,0.5415631,0.4584369,False
اخلايا شا راه صاري دزاير كل يوم حاجه جديده الترند واش هو زيد ربراب مالو احوجي غيرر لجديد جزائرنا,0,0,1,1,0.6004506,0.39954942,False
ماسمعناش الشاب يتكلم الشاب القاصر ولازم شهاده طبيه كي تثبت ذالك لازم دائما دلائل والا اي واحد يجي يقول اغتصبت,0,0,1,1,0.57800615,0.42199385,False
وجود الفقراء الاغنياء وانتا وفهامتك,0,0,1,1,0.56083375,0.43916625,False
kolchi yajabdeh zitout makanch laab maah,0,0,1,1,0.61088747,0.38911253,False
راجل نستعرف بيك المسؤول اختار المسؤوليه فالاساس باه يخدم الشعب نقطه ارجع للسطر,0,0,1,1,0.71870387,0.28129613,False
ولكن اذا اصبح كل ناس اغنياء لا تجد من يحلق شعر راسك او يبيع لك سجائر او يعصر لك القهوه الى اخره لانهم كلهم اغنياء لا احد يريد العمل لذالك خمم فيها مليح قبل ما تهدر,0,0,1,1,0.68145496,0.31854504,False
افهم تناقضتهم كيف التحالف يضرب داعش سوريا العراق جوا ارض مكشوفه فيهرب الفيروس ليبيا لماذا لكي ينتقم دوله اسلاميه عربيه سنيه الاولي مقاتله يقاتلونه فداعش صناعه امريكيه اسرايليه ارانيه الامه الاسلاميه العربيه السنيه ونحن الشعب الجزايري جيشنا خندق وسنقطع ايدهم ادا مست دره بلادنا المخضب بدما الشهدا,0,0,1,1,0.83560336,0.16439664,False
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,0,1,1,0.71789026,0.28210974,False
الجزاءر ماشي جديده قديمه وفيها السيراج حكايه الزيت والغلي البكري ماشي برنامج نتاع فرنسا مزال يمشوا بيه والضحيه الشعب,0,0,1,1,0.6517864,0.3482136,False
المقاطعه هي حل عقابي يستجيب له التاجر الذي يحترم مستهلك بضاعته ويتجاهله التاجر الفرعون النازي الذي يرى نفسه من سلاله الالههو,0,0,1,1,0.760337,0.239663,False
من اليوم يا السطايفي راك كيف كيف فالميزان نتا والبجاوي ممنوع عليك حملاوي,0,0,1,1,0.90507454,0.09492546,False
