texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
خارينا,1,1,0,0,0.37350178,0.6264982,False
عملاء فرنسا يسيطرون الجزاءر,1,1,0,0,0.44017687,0.55982316,False
جاري الخروج الصفحه الكاشيريه,1,1,0,0,0.19764723,0.8023528,False
دوك الصلاه تمنيكو بيها,1,1,0,0,0.363406,0.636594,False
الكعباخطرمنذالكورونا,1,1,0,0,0.37350178,0.6264982,False
se9si yemak tgoulk awlid,1,1,0,0,0.4078492,0.5921508,False
khanza faiha tfo,1,1,0,0,0.3972694,0.60273063,False
😅😆,1,1,0,0,0.37350178,0.6264982,False
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,0,0,0.48604208,0.5139579,False
لخماج خامجين كواvا,1,1,0,0,0.37133253,0.6286675,False
ta kalb chmata wa r7is wo tahan tffo,1,1,0,0,0.34975362,0.6502464,False
مهم حاول خير فخونشي صح,1,1,0,0,0.07737867,0.9226213,False
كاين ختك الي ماراهيش حابسه الشي,1,1,0,0,0.4147386,0.5852614,False
هذا وزير هذا تقول قردقود,1,1,0,0,0.45407072,0.5459293,False
هواتف رديءه باسعار باهضه,1,1,0,0,0.16326974,0.83673024,False
hasbiya allah wa ni3ma el wakil fik,1,1,0,0,0.2831647,0.71683526,False
ان شاء الله قاع يتحاسبو,1,1,0,0,0.201118,0.798882,False
فرنسا العصاباتالجزاءريهم ارهابيه,1,1,0,0,0.31217566,0.68782437,False
اكبر سراقين في العالم,1,1,0,0,0.32566923,0.6743308,False
خساره عليكم يالي راكم تهدرو عل القبايل ميعرفوش الدين,1,1,0,0,0.483184,0.516816,False
احنا الجزايرين قاعدين نكسرو بعضانا تشراك الفم,1,1,0,0,0.47074088,0.5292591,False
سمحيلي مانعرفكش وجهك يربحش شغل نتاع مشاكل,1,1,0,0,0.47330543,0.52669454,False
okay hchon ymak,1,1,0,0,0.42241877,0.5775812,False
المهم ضربوهلو كيما انت,1,1,0,0,0.32699606,0.6730039,False
تخمامك كيما نتع يعطينا المنشور,1,1,0,0,0.31622884,0.68377113,False
