texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
خارينا,1,1,0,0,0.3879044,0.6120956,False
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,0,0,0.4549331,0.5450669,False
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,0,0,0.40903997,0.59096,False
عملاء فرنسا يسيطرون الجزاءر,1,1,0,0,0.33044565,0.66955435,False
جاري الخروج الصفحه الكاشيريه,1,1,0,0,0.2198238,0.7801762,False
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,0,0,0.4981785,0.5018215,False
دوك الصلاه تمنيكو بيها,1,1,0,0,0.3247026,0.6752974,False
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,0,0,0.19517216,0.8048278,False
الكعباخطرمنذالكورونا,1,1,0,0,0.3879044,0.6120956,False
se9si yemak tgoulk awlid,1,1,0,0,0.37090707,0.62909293,False
el khra yaw,1,1,0,0,0.34837526,0.65162474,False
khanza faiha tfo,1,1,0,0,0.4113037,0.5886963,False
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,1,0,0,0.48799518,0.51200485,False
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,1,0,0,0.36342677,0.6365732,False
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,1,0,0,0.43640807,0.56359196,False
😅😆,1,1,0,0,0.3879044,0.6120956,False
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,1,0,0,0.28305277,0.7169472,False
لخماج خامجين كواvا,1,1,0,0,0.41028285,0.58971715,False
ta kalb chmata wa r7is wo tahan tffo,1,1,0,0,0.1836668,0.8163332,False
ولاد لكلاب كلاو بعضهم بعض 😂,1,1,0,0,0.4789874,0.5210126,False
الحاجه لي حيرتني الناس لي راهي دافع عليه راه يرزق فيكم مثلا شويه عقل وشويه عزه نفس شحال تعياو تشكمو وتهزو لناس,1,1,0,0,0.34481853,0.65518147,False
القبائل لي راكم تتحرشو بيهم ديما راهم رجاله عليكم بينو بلي احرار ماشي كيما وحد الفئه ربي يهديهم جماعه بوصبع لزرق حاضرين في كل فوط,1,1,0,0,0.35265297,0.64734703,False
حياتي كامل كرهت زوج عباد برك اكتشف الجزاءر وجدي الكبير استوطن,1,1,0,0,0.26196927,0.73803073,False
مهم حاول خير فخونشي صح,1,1,0,0,0.11475926,0.88524073,False
كاين ختك الي ماراهيش حابسه الشي,1,1,0,0,0.34814128,0.6518587,False
هذا وزير هذا تقول قردقود,1,1,0,0,0.31579942,0.6842006,False
