texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,0,False,0.475080281496048,0.524919718503952
الله يسلمك كيفاش حتى تفكرتونا ااه,0,1,False,0.5554533004760742,0.4445466995239258
تفضلي سقسي فرنديقتي علاش مترده,0,1,False,0.6324000954627991,0.3675999045372009
بغل حركي,1,0,False,0.4535005986690521,0.5464994013309479
خارينا,1,1,True,0.5249372720718384,0.4750627279281616
بنات الفميليا الجزاءر,0,0,True,0.44405367970466614,0.5559463202953339
الله يبارك ما شاء الله,0,1,False,0.5071589946746826,0.4928410053253174
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.5556827783584595,0.4443172216415405
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,1,False,0.5467756986618042,0.4532243013381958
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,0,False,0.44930359721183777,0.5506964027881622
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.5450548529624939,0.4549451470375061
انا شريتها من قسنطينه,0,0,True,0.4845331609249115,0.5154668390750885
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.452540785074234,0.547459214925766
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,0,False,0.4323575794696808,0.5676424205303192
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,1,False,0.5233376622200012,0.4766623377799988
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.4604058265686035,0.5395941734313965
بركولي ليوم شريت,0,1,False,0.6117811799049377,0.38821882009506226
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.5892040729522705,0.4107959270477295
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.5299708247184753,0.47002917528152466
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,False,0.48679807782173157,0.5132019221782684
الي روتور,0,0,True,0.4768432378768921,0.5231567621231079
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,0,False,0.39761215448379517,0.6023878455162048
عملاء فرنسا يسيطرون الجزاءر,1,1,True,0.5216809511184692,0.47831904888153076
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,1,False,0.5537009239196777,0.44629907608032227
تحرمن كيو تاع حمادي,0,1,False,0.6167659163475037,0.38323408365249634
فيف لقبايل,0,0,True,0.46836134791374207,0.5316386520862579
اه يالزح ما تفكرناش,0,1,False,0.5207473635673523,0.4792526364326477
جاري الخروج الصفحه الكاشيريه,1,1,True,0.5206781625747681,0.47932183742523193
ربي يهديكم,0,0,True,0.44168660044670105,0.558313399553299
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.4919274151325226,0.5080725848674774
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.5918259024620056,0.4081740975379944
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,True,0.5518319606781006,0.4481680393218994
تحيا الجزاءر وربي يرحم الشهداء,0,1,False,0.5755143761634827,0.42448562383651733
نعبد ربي الحمد اله يا رب,0,0,True,0.452654629945755,0.547345370054245
جي دورونج تاع التفاح,0,1,False,0.6007608771324158,0.39923912286758423
naima bitalmaa tahball mouti ya naima lafouhiste,1,0,False,0.4106670618057251,0.5893329381942749
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,0,False,0.4439088702201843,0.5560911297798157
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,1,False,0.509406566619873,0.49059343338012695
وانت وين راك,0,1,False,0.5847905278205872,0.41520947217941284
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,0,False,0.47627323865890503,0.523726761341095
انشاء اله كمل يبراو مرض سرطان,0,1,False,0.5641502737998962,0.43584972620010376
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.5407824516296387,0.45921754837036133
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,0,False,0.4691121578216553,0.5308878421783447
لقد اشتريت واحده ولم اعلم,0,1,False,0.5522089004516602,0.44779109954833984
نحي فلسطين دار اسراءيل💔☹,0,1,False,0.6192672848701477,0.3807327151298523
دوك الصلاه تمنيكو بيها,1,0,False,0.49035054445266724,0.5096494555473328
يوجد نقطه بيع ولايه سكيكده,0,1,False,0.5175793170928955,0.4824206829071045
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,1,False,0.6107022166252136,0.3892977833747864
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,True,0.4555000960826874,0.5444999039173126
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,1,False,0.511565625667572,0.488434374332428
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,0,False,0.4107806086540222,0.5892193913459778
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,True,0.516853928565979,0.483146071434021
دير القايد تبون تخافيش,0,1,False,0.5789623856544495,0.42103761434555054
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,0,False,0.46756619215011597,0.532433807849884
الكعباخطرمنذالكورونا,1,1,True,0.5453602075576782,0.4546397924423218
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,True,0.544028103351593,0.455971896648407
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,1,False,0.6421180963516235,0.35788190364837646
تكتب ضواحيها ليس ظواحيها,0,1,False,0.5359936356544495,0.46400636434555054
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,True,0.6317127346992493,0.36828726530075073
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,1,False,0.5167306661605835,0.4832693338394165
se9si yemak tgoulk awlid,1,0,False,0.4847758412361145,0.5152241587638855
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,1,True,0.6031447052955627,0.39685529470443726
el khra yaw,1,0,False,0.39188268780708313,0.6081173121929169
بركاكم الكذب الناس,0,0,True,0.4172065556049347,0.5827934443950653
واله حاجه متخرجني,0,1,False,0.5408015847206116,0.4591984152793884
khanza faiha tfo,1,0,False,0.4649866223335266,0.5350133776664734
صحا المازدا شكون نتا لي يقول احرار ياو فاقو هذا السيد دار لجوء سياسي باش يهجر ويعيش حياه اوروبه انت كافي ماتقدرش تكافيني يابغل انا وزيطوت واشباهكم تفرو صوالح الصهاينه بفئه من شباب الصاروخ وليريكا ماهوش فايق لعمرو,1,1,True,0.5013694763183594,0.4986305236816406
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,True,0.49112963676452637,0.5088703632354736
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,1,False,0.5468764305114746,0.4531235694885254
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,0,False,0.4420461356639862,0.5579538643360138
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,1,True,0.5258836150169373,0.47411638498306274
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,1,True,0.5057379603385925,0.49426203966140747
الشعب ساكت حق يستاهل يخلص الاكسجين الي يتنفس,0,0,True,0.4781152606010437,0.5218847393989563
كس امو لي ميحب فري فاير 😑,1,1,True,0.5673035979270935,0.4326964020729065
الجيش هو الشي الوحيد اللي يصلح في هذه البلاد,0,1,False,0.5756981372833252,0.4243018627166748
الحظه وقت الوقوف باب الجنه سنتذكر شعورنا الدقاءق,0,1,False,0.5454074740409851,0.4545925259590149
لو تصبروا حتى 10 افريل فقط صافيه,0,1,False,0.5697596073150635,0.4302403926849365
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,0,True,0.45192331075668335,0.5480766892433167
