texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,1,True,0.7340418,0.2659582
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.21080606,0.7891939
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.25568014,0.74431986
بغل حركي,1,1,True,0.91537696,0.08462304
خارينا,1,0,False,0.3762056,0.62379444
بنات الفميليا الجزاءر,0,0,True,0.32400417,0.6759958
الله يبارك ما شاء الله,0,0,True,0.009378235,0.99062175
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,0,False,0.44650632,0.5534937
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.0992646,0.9007354
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,0,False,0.39551002,0.60449
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.9060406,0.09395939
انا شريتها من قسنطينه,0,0,True,0.04320324,0.95679677
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,True,0.64167947,0.35832053
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.9046506,0.09534937
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.20157473,0.79842526
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.38692254,0.61307746
بركولي ليوم شريت,0,0,True,0.044527743,0.95547223
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.8268635,0.17313647
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.9627198,0.037280202
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,False,0.4750644,0.5249356
الي روتور,0,0,True,0.1180463,0.8819537
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,1,True,0.5148751,0.4851249
عملاء فرنسا يسيطرون الجزاءر,1,0,False,0.38200516,0.61799484
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,True,0.4280945,0.5719055
تحرمن كيو تاع حمادي,0,0,True,0.45388952,0.5461105
فيف لقبايل,0,0,True,0.26343232,0.7365677
اه يالزح ما تفكرناش,0,0,True,0.2378877,0.7621123
جاري الخروج الصفحه الكاشيريه,1,0,False,0.1587746,0.8412254
ربي يهديكم,0,0,True,0.061841905,0.9381581
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.04076522,0.9592348
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.979106,0.020893991
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,True,0.9267948,0.07320517
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.11082821,0.8891718
نعبد ربي الحمد اله يا رب,0,0,True,0.09765009,0.9023499
جي دورونج تاع التفاح,0,0,True,0.13975698,0.860243
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,True,0.6777712,0.3222288
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.95457006,0.045429945
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,True,0.22559181,0.7744082
وانت وين راك,0,0,True,0.24192986,0.7580701
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.80037653,0.19962347
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.2239739,0.7760261
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.9942139,0.005786121
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,True,0.71885586,0.28114414
لقد اشتريت واحده ولم اعلم,0,0,True,0.005395877,0.9946041
نحي فلسطين دار اسراءيل💔☹,0,0,True,0.44178522,0.5582148
دوك الصلاه تمنيكو بيها,1,0,False,0.3316597,0.6683403
يوجد نقطه بيع ولايه سكيكده,0,0,True,0.040548466,0.95945156
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,0,True,0.32488763,0.67511237
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,True,0.33710536,0.6628946
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,1,False,0.65402615,0.34597385
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,True,0.8987552,0.10124481
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,True,0.71270084,0.28729916
دير القايد تبون تخافيش,0,0,True,0.41653445,0.5834656
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,1,True,0.88755256,0.11244744
الكعباخطرمنذالكورونا,1,0,False,0.3762056,0.62379444
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,True,0.7234904,0.27650958
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,True,0.34555674,0.65444326
تكتب ضواحيها ليس ظواحيها,0,0,True,0.29107487,0.7089251
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,True,0.89782107,0.10217893
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,1,False,0.6811425,0.3188575
se9si yemak tgoulk awlid,1,0,False,0.37843,0.62157
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,1,True,0.54104847,0.45895153
el khra yaw,1,1,True,0.52542305,0.47457695
بركاكم الكذب الناس,0,0,True,0.41969606,0.5803039
واله حاجه متخرجني,0,0,True,0.1369285,0.8630715
khanza faiha tfo,1,0,False,0.36071035,0.6392896
صحا المازدا شكون نتا لي يقول احرار ياو فاقو هذا السيد دار لجوء سياسي باش يهجر ويعيش حياه اوروبه انت كافي ماتقدرش تكافيني يابغل انا وزيطوت واشباهكم تفرو صوالح الصهاينه بفئه من شباب الصاروخ وليريكا ماهوش فايق لعمرو,1,1,True,0.89019394,0.10980606
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,1,False,0.5905091,0.40949088
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,0,True,0.2465395,0.7534605
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,1,True,0.8930545,0.106945515
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,0,False,0.3709502,0.6290498
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,1,True,0.5459624,0.4540376
الشعب ساكت حق يستاهل يخلص الاكسجين الي يتنفس,0,0,True,0.2932461,0.7067539
كس امو لي ميحب فري فاير 😑,1,1,True,0.9292352,0.07076478
الجيش هو الشي الوحيد اللي يصلح في هذه البلاد,0,0,True,0.097317845,0.9026822
الحظه وقت الوقوف باب الجنه سنتذكر شعورنا الدقاءق,0,0,True,0.063759625,0.9362404
لو تصبروا حتى 10 افريل فقط صافيه,0,0,True,0.052884243,0.9471158
الي مافي كرشو تبن مايخاف ما النار شده وتفوت عمو ربراب 😂,0,1,False,0.7586058,0.24139422
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,1,True,0.54213965,0.45786035
😅😆,1,0,False,0.3762056,0.62379444
تعرف قصه اسكوبار قصه ربراب يختلفان شيء اسكوبار استثمرا بلاديه ربراب اسثمرا فرنسا,1,0,False,0.25854215,0.7414578
امبعد يجي ذبابه ختو يماه مايدافعش عليهم كيما يدافع على المسؤول,1,1,True,0.7924634,0.20753658
سببت الهتهم يا جورج,0,1,False,0.6693093,0.33069068
ya zitout tfo,1,1,True,0.7141805,0.28581947
اي روح نيكمك لقحبه هود لبلاد يا كرفه وفول ماناش حابسين,1,1,True,0.85590947,0.14409053
لخماج خامجين كواvا,1,0,False,0.33871198,0.661288
ta kalb chmata wa r7is wo tahan tffo,1,0,False,0.33282667,0.6671733
مزيه واحد زاد وحدو🙂😂,0,0,True,0.084657736,0.9153423
امير راجل ونصفويستاهل خيروالف مبروك وخلي العديان اموتوا بالقنطه,0,1,False,0.68281317,0.31718683
طز روحو الامارات,1,1,True,0.659325,0.340675
يارب امين يارب,0,0,True,0.008583675,0.99141634
😂 بلا مزيه حبيبه قلبي 😘,0,1,False,0.6580428,0.3419572
الزيت السكر لمده كيفاش القروض بلا حدود كيفاش يا جماعه حتي الاستعمار موفر مناصب شغل الظالم يبقي ظالم الاستعمار دار بني تحتيه احسن ملي درناهم تاع استقلال بصح هاد الشي منعش الشعب باش يطالب بحريته باختصار ربراب فاسد صح عندو مستوي تسير مليح بناه تم دم الجزاءرين الاف رجال الاعمال النزهاء وقت الارهاب,1,1,True,0.6710039,0.32899612
مبروك عليك من حراق الى صحافى محترف الله راك قدوه لكامل الشباب,0,1,False,0.6132834,0.3867166
السلام العليكم,0,0,True,0.1848914,0.8151086
مكن اعرف نقاط البيع ولايات الشرق,0,0,True,0.01795642,0.98204356
لي راهم يقولو سعر سكر لي يجيبو ربراب غالي حاجه سااهله ماشي لازم تشري سكر تاع ربراب كاين علامات اخرى مثل لابال,0,0,True,0.3193149,0.6806851
بوليخاريو وشبه عثمانين يشعرون بصدمه مما وقع,0,0,True,0.09226703,0.90773296
اررض 🤣,0,0,True,0.44734988,0.5526501
راقصه ملاهي ليليه وعميله فرنسا تكلم شءون البلاد عيش تشوف,1,1,True,0.85422134,0.14577866
اخرج ازبل اخرج,1,1,True,0.5098269,0.4901731
xxtentacion nhbo,0,0,True,0.45118082,0.5488192
الشوربه االشعيريه بالدجاج اصلها الجزائر العاصمه والشوربه فريك اصلها الاوراس من قسنطينه والهضاب العليا السطايفيه,0,0,True,0.16413969,0.8358603
روح تعطي كبيير خلاه انت او لي كيفك,1,1,True,0.8148482,0.18515182
ballon mach balloon camarade mach camarad et3elem nta boudaoui sahal,1,1,True,0.61343956,0.38656044
ولاد لكلاب كلاو بعضهم بعض 😂,1,1,True,0.60845494,0.39154506
عمي العربي مفهمنا والو هذو العجزه اسود علينا نعال في ارجل اسيادهم,1,1,True,0.8501588,0.14984119
hna vrai m9sthch,0,0,True,0.39759427,0.6024057
اطلقوا سراح ربراب,0,0,True,0.1725105,0.8274895
الحاجه لي حيرتني الناس لي راهي دافع عليه راه يرزق فيكم مثلا شويه عقل وشويه عزه نفس شحال تعياو تشكمو وتهزو لناس,1,0,False,0.4167691,0.5832309
اله يذلك يا ديوث يا كبول,1,1,True,0.96598566,0.034014344
القبائل لي راكم تتحرشو بيهم ديما راهم رجاله عليكم بينو بلي احرار ماشي كيما وحد الفئه ربي يهديهم جماعه بوصبع لزرق حاضرين في كل فوط,1,0,False,0.3121908,0.6878092
لطفك يا رب,0,0,True,0.08987384,0.91012615
لم تتصلوا بي,0,0,True,0.15705223,0.8429478
حياتي كامل كرهت زوج عباد برك اكتشف الجزاءر وجدي الكبير استوطن,1,0,False,0.23863152,0.7613685
ايه عندهم الحق الجزاءر بلاد امن راك تشوف فينا نتقاتلو بالسلاح,0,0,True,0.391263,0.608737
سوف تموت ولن تجد ارض تدفن فيها ارض الشهداء حرمت عليم,0,0,True,0.36760733,0.63239264
مهم حاول خير فخونشي صح,1,0,False,0.040128667,0.95987135
كاين احسن اطباء مهندسي الجزائر من خريجي الجامعات الفرنسيه اين المشكل في ذلك,0,0,True,0.11398926,0.88601077
راحت هيبت فريت اوملات شي,0,0,True,0.16814724,0.8318528
كاين ختك الي ماراهيش حابسه الشي,1,0,False,0.2777025,0.7222975
المبلغ هادا حكمو حداد صرف رقيق يا ارهابي,1,1,True,0.7275105,0.2724895
يتسما نحمد ربي,0,0,True,0.015168073,0.9848319
كفاه راهم يديرو هاذو باه يربحو,0,0,True,0.35637066,0.6436293
اولا تكلم القباءل بصفه الجمع قضيه ربراب ثانيا المدافعون دافعو كبيرهم ربراب وعندما نقول ربراب نقول توفيق وحداد دافعو احشمو احشمو,0,0,True,0.32898515,0.67101485
هذا والى سرق نورمال ماشي كما نتوما يا قتالين,1,1,True,0.79595274,0.20404726
مهمتنا تغيير النظام وليس تحرير ربراب,0,0,True,0.16420422,0.83579576
رانا نامنو بربي الرحمان الرحيم الرزاق الغفور اخر اسماء انتاعو وهذاك زعيم وراجل حب حب وكرها كره ايها الاحمق,1,1,True,0.899022,0.10097802
هذا وزير هذا تقول قردقود,1,0,False,0.42743576,0.57256424
الله يسهل,0,0,True,0.08042023,0.91957974
هواتف رديءه باسعار باهضه,1,0,False,0.13732266,0.86267734
تموتو من مولوديه 🤦‍♂️,0,0,True,0.47212493,0.52787507
ياو روح تعطي مازالك تحكي,1,1,True,0.742064,0.257936
hasbiya allah wa ni3ma el wakil fik,1,0,False,0.11121267,0.8887873
ou khtek kayna menha,1,1,True,0.55413336,0.44586664
ايسكوبار كان عندو مشاريع كتر من ربراب ايسكوبار وحدو سكن نص كولومبيا تسمى ايسكوبار مليح لي غلط يتحاسب او الشركه فيها مجلس اداره يروح ربراب يجي واحد في بلاصتو,1,0,False,0.38755733,0.6124427
