texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,1,1,0.97216165,0.02783835,False
بركاكم الكذب الناس,0,0,1,1,0.77329844,0.22670156,False
مخروب,0,0,1,1,0.85763055,0.14236945,False
هاذي صناعه جزاءريه,0,0,1,1,0.73482746,0.26517254,False
المهم ترقبوا عوده زيت السانقو صفيه بقوه ببوشون واحد فقط تستطيع قلي خروف بشحمه ولحمه وتشتريه بثمن قهوه ومعلب في قاروره قصديره ملعونه ذبحت يدي في محاوله فاشله لفتحها من اجل قلي البطاطا على شاطئ البحر وتوكل اافريت بطعم الدم ونتا جد فرحان وسعيد في حين ربراب يضرب في الصبه بطعم عصير المقارون هو ومعه ربراب وعائله خنينف اللذين بنوا السجون ودشنوها مبكرا عن طريق خط مواصىلات سيدي محمد الحراش السريع,0,0,1,1,0.80616343,0.19383657,False
وعلاه زدت كلمه البائسين كيف تخاف الفقر والله رازق فقد رزق الطير حوت في بحر,0,0,1,1,0.7647663,0.23523372,False
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,0,1,1,0.99163693,0.008363068,False
المهم ماتشريش زيت ربراب,0,0,1,1,0.5117347,0.48826528,False
شعار حاول انك انثي 😐👎,0,0,1,1,0.98584056,0.014159441,False
اغسل فمك بش تهدر ربراب,0,0,1,1,0.987722,0.01227802,False
نتا منين يرحم باباك,0,0,1,1,0.9811726,0.018827379,False
الرابحين الطمبوله,0,0,1,1,0.9364032,0.063596785,False
زيدلها المازدا,0,0,1,1,0.9616462,0.0383538,False
استقلال مختطف فيق يا شعب,0,0,1,1,0.9709208,0.029079199,False
لطفي الله يخليك تبهدل في خسارين لبلاد,0,0,1,1,0.99223137,0.007768631,False
ديرش هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,0,1,1,0.64880997,0.35119003,False
ما ديرش mca مع هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,0,1,1,0.9514406,0.048559427,False
زيد اكشفهم انت ديمقراطي,0,0,1,1,0.91773194,0.08226806,False
هدي لناس لي يقولك اروح لبلاد واهدر هوما الخارجوهبلوهم,0,0,1,1,0.5467082,0.45329177,False
خلاط,0,0,1,1,0.88021564,0.119784355,False
واش دخلكم فربراب تعرف دواخل ديالو,0,0,1,1,0.8931431,0.10685688,False
خلي السكطمبري العثروس ودنين الطاروس يرقد على الحيبوسه اسكت لا توقظه,0,0,1,1,0.9873263,0.012673676,False
ضك يجو يتعرقو عليك واش داك تخرب,0,0,1,1,0.93228465,0.06771535,False
الموهبه الجزاءريه بف اختك يا صاحب المقال ستمثل توم كرموز براد بيت يا وقح,0,0,1,1,0.99738485,0.0026151538,False
خطيك,0,0,1,1,0.6895461,0.3104539,False
القبايل احرار ولن يخدعهم الزوافين وعبده ربراب,0,0,1,1,0.98152095,0.01847905,False
خلي السكطمبري العثروس ودنين الطاروس يرقد الحيبوسه اسكت توقظه,0,0,1,1,0.9781948,0.021805227,False
مبروك خونا امير لعقوبه لمزيد النجاحات ستصعق النخبه المزعومه,0,0,1,1,0.6144853,0.38551468,False
وعلاه نورمال ولد فرانسا ولد دزاير المهم عاد يقبض لعصا يخي كي تخلط يجيبو ولاد الشرق,0,0,1,1,0.9847372,0.015262783,False
ليحب تحب تشيع تهدر مولوديه,0,0,1,1,0.9706527,0.0293473,False
نضن خلي مكالاه نضن الرعيان,0,0,1,1,0.7584468,0.24155319,False
ونقطاع لاماء,0,0,1,1,0.84431714,0.15568286,False
قالك صحافي العجب السنه الرابعه ابتداءي,0,0,1,1,0.95756793,0.04243207,False
wach bik m3a leqabayel ma lqitch la wach thdr,0,0,1,1,0.97421527,0.02578473,False
متستحييل,0,0,1,1,0.85548407,0.14451593,False
المنحه راهم يديو اصحاب البطون المنتفخه,0,0,1,1,0.97884,0.021160007,False
