texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,0,False,0.3953233063220978,0.6046766936779022
الله يسلمك كيفاش حتى تفكرتونا ااه,0,1,False,0.5181878805160522,0.48181211948394775
تفضلي سقسي فرنديقتي علاش مترده,0,1,False,0.5615674257278442,0.43843257427215576
بغل حركي,1,0,False,0.45698538422584534,0.5430146157741547
خارينا,1,0,False,0.4395290017127991,0.5604709982872009
بنات الفميليا الجزاءر,0,0,True,0.4683545231819153,0.5316454768180847
الله يبارك ما شاء الله,0,0,True,0.48202764987945557,0.5179723501205444
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.5169274806976318,0.48307251930236816
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,1,False,0.5009850263595581,0.4990149736404419
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.5557955503463745,0.4442044496536255
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.504464328289032,0.495535671710968
انا شريتها من قسنطينه,0,0,True,0.4262222647666931,0.5737777352333069
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.4555662274360657,0.5444337725639343
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,0,False,0.43370717763900757,0.5662928223609924
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.47003424167633057,0.5299657583236694
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.406792551279068,0.593207448720932
بركولي ليوم شريت,0,0,True,0.49505507946014404,0.504944920539856
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,0,False,0.45044636726379395,0.549553632736206
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,0,False,0.4673095643520355,0.5326904356479645
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,False,0.4674520492553711,0.5325479507446289
الي روتور,0,0,True,0.46822214126586914,0.5317778587341309
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,0,False,0.489324152469635,0.510675847530365
عملاء فرنسا يسيطرون الجزاءر,1,0,False,0.44035276770591736,0.5596472322940826
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,True,0.3728242516517639,0.6271757483482361
تحرمن كيو تاع حمادي,0,0,True,0.4326048791408539,0.5673951208591461
فيف لقبايل,0,0,True,0.4327331781387329,0.5672668218612671
اه يالزح ما تفكرناش,0,0,True,0.47353723645210266,0.5264627635478973
جاري الخروج الصفحه الكاشيريه,1,1,True,0.5007845163345337,0.4992154836654663
ربي يهديكم,0,0,True,0.46845880150794983,0.5315411984920502
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,1,False,0.5119630694389343,0.4880369305610657
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,0,False,0.48524603247642517,0.5147539675235748
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,0,False,0.47752854228019714,0.5224714577198029
تحيا الجزاءر وربي يرحم الشهداء,0,1,False,0.5123812556266785,0.48761874437332153
نعبد ربي الحمد اله يا رب,0,0,True,0.4929886758327484,0.5070113241672516
جي دورونج تاع التفاح,0,1,False,0.5337458848953247,0.4662541151046753
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,True,0.5084317326545715,0.49156826734542847
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.5009509325027466,0.4990490674972534
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,True,0.45830562710762024,0.5416943728923798
وانت وين راك,0,1,False,0.5314205884933472,0.46857941150665283
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,0,False,0.46297699213027954,0.5370230078697205
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.38000378012657166,0.6199962198734283
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,0,False,0.48599040508270264,0.5140095949172974
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,0,False,0.3645743727684021,0.6354256272315979
لقد اشتريت واحده ولم اعلم,0,1,False,0.523505449295044,0.47649455070495605
نحي فلسطين دار اسراءيل💔☹,0,0,True,0.4423651099205017,0.5576348900794983
دوك الصلاه تمنيكو بيها,1,1,True,0.5589297413825989,0.4410702586174011
يوجد نقطه بيع ولايه سكيكده,0,1,False,0.5927804708480835,0.4072195291519165
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,0,True,0.4523759186267853,0.5476240813732147
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,1,False,0.6227943897247314,0.37720561027526855
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,1,False,0.5245537757873535,0.4754462242126465
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,True,0.5638468861579895,0.4361531138420105
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,0,False,0.4142450988292694,0.5857549011707306
دير القايد تبون تخافيش,0,1,False,0.5028387904167175,0.49716120958328247
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,0,False,0.48686304688453674,0.5131369531154633
الكعباخطرمنذالكورونا,1,1,True,0.5020681023597717,0.49793189764022827
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,0,False,0.49483242630958557,0.5051675736904144
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,1,False,0.5892453193664551,0.4107546806335449
تكتب ضواحيها ليس ظواحيها,0,1,False,0.5501419305801392,0.44985806941986084
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,0,False,0.41756704449653625,0.5824329555034637
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,True,0.4647817313671112,0.5352182686328888
se9si yemak tgoulk awlid,1,0,False,0.4205843508243561,0.5794156491756439
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,0,False,0.48470795154571533,0.5152920484542847
el khra yaw,1,0,False,0.4788517355918884,0.5211482644081116
بركاكم الكذب الناس,0,0,True,0.46543940901756287,0.5345605909824371
واله حاجه متخرجني,0,1,False,0.5024864673614502,0.4975135326385498
khanza faiha tfo,1,0,False,0.3920738697052002,0.6079261302947998
صحا المازدا شكون نتا لي يقول احرار ياو فاقو هذا السيد دار لجوء سياسي باش يهجر ويعيش حياه اوروبه انت كافي ماتقدرش تكافيني يابغل انا وزيطوت واشباهكم تفرو صوالح الصهاينه بفئه من شباب الصاروخ وليريكا ماهوش فايق لعمرو,1,1,True,0.5540425181388855,0.4459574818611145
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,1,False,0.5302585363388062,0.46974146366119385
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,0,True,0.47616609930992126,0.5238339006900787
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,0,False,0.42285069823265076,0.5771493017673492
نطلب السلطات الجزاءريه نطلب الجنرال شنقريحه اجيبنا الكلب هادا لي حاب اخرب لبلاد راهو سب الراءيس تاعنا سب القايد تاعنا ربي يرحمو نطلب السلطات القبض فورا فوات الاوان هادا الكلب مطلوب يارب يارب,1,0,False,0.4697803854942322,0.5302196145057678
rouh saksi yamak babak chekoun 😎balak ankoun ana li naktha fi diskoutak boura boura,1,0,False,0.42007145285606384,0.5799285471439362
الشعب ساكت حق يستاهل يخلص الاكسجين الي يتنفس,0,0,True,0.3951094448566437,0.6048905551433563
كس امو لي ميحب فري فاير 😑,1,1,True,0.5641193985939026,0.4358806014060974
الجيش هو الشي الوحيد اللي يصلح في هذه البلاد,0,0,True,0.48506999015808105,0.514930009841919
الحظه وقت الوقوف باب الجنه سنتذكر شعورنا الدقاءق,0,0,True,0.4849110543727875,0.5150889456272125
