texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
يا خي بترونه,1,1,0,0,0.4201611,0.5798389,False
بغل حركي,1,1,0,0,0.3482622,0.6517378,False
خارينا,1,1,0,0,0.37201732,0.6279827,False
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,0,0,0.4454206,0.5545794,False
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,1,0,0,0.41786692,0.58213305,False
عملاء فرنسا يسيطرون الجزاءر,1,1,0,0,0.3995569,0.6004431,False
جاري الخروج الصفحه الكاشيريه,1,1,0,0,0.4103126,0.5896874,False
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,0,0,0.4887438,0.5112562,False
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,0,0,0.4511015,0.54889846,False
دوك الصلاه تمنيكو بيها,1,1,0,0,0.3373685,0.6626315,False
الكعباخطرمنذالكورونا,1,1,0,0,0.37201732,0.6279827,False
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,0,0,0.37922123,0.6207788,False
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,0,0,0.3771106,0.6228894,False
se9si yemak tgoulk awlid,1,1,0,0,0.35053504,0.64946496,False
el khra yaw,1,1,0,0,0.3630968,0.63690317,False
khanza faiha tfo,1,1,0,0,0.3429093,0.65709066,False
كس امو لي ميحب فري فاير 😑,1,1,0,0,0.45271608,0.5472839,False
العقل المدبر في ارسال الجيش الجزائري الي المالي هوا الخبارجي تاع فرنسا الجنيرال قايدي,1,1,0,0,0.39187926,0.60812074,False
😅😆,1,1,0,0,0.36482564,0.6351744,False
ya zitout tfo,1,1,0,0,0.363816,0.636184,False
لخماج خامجين كواvا,1,1,0,0,0.30614674,0.69385326,False
ta kalb chmata wa r7is wo tahan tffo,1,1,0,0,0.3800133,0.6199867,False
طز روحو الامارات,1,1,0,0,0.36502513,0.63497484,False
اخرج ازبل اخرج,1,1,0,0,0.34457105,0.65542895,False
ولاد لكلاب كلاو بعضهم بعض 😂,1,1,0,0,0.3910379,0.60896206,False
عمي العربي مفهمنا والو هذو العجزه اسود علينا نعال في ارجل اسيادهم,1,1,0,0,0.4991352,0.5008648,False
مهم حاول خير فخونشي صح,1,1,0,0,0.35653105,0.643469,False
كاين ختك الي ماراهيش حابسه الشي,1,1,0,0,0.38023922,0.61976075,False
هذا والى سرق نورمال ماشي كما نتوما يا قتالين,1,1,0,0,0.444926,0.555074,False
