texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,0,False,0.4201611,0.5798389
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.30822203,0.69177794
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.35733762,0.6426624
بغل حركي,1,0,False,0.3482622,0.6517378
خارينا,1,0,False,0.37201732,0.6279827
بنات الفميليا الجزاءر,0,0,True,0.32516825,0.67483175
الله يبارك ما شاء الله,0,0,True,0.2592009,0.74079907
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,0,False,0.4454206,0.5545794
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.43469715,0.56530285
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.7099979,0.2900021
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.54629654,0.45370346
انا شريتها من قسنطينه,0,0,True,0.26398075,0.73601925
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.41786692,0.58213305
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.6945478,0.30545223
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,1,False,0.5540083,0.4459917
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,1,False,0.7219804,0.2780196
بركولي ليوم شريت,0,0,True,0.3245729,0.6754271
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.51127464,0.48872536
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.7611296,0.23887038
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,True,0.54441476,0.45558524
الي روتور,0,0,True,0.32790497,0.67209506
