texte,vrai_label,label_predit,est_correct,probabilite_positive
خارينا,1,0,False,0.014298309572041035
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,0,False,0.20196689665317535
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,0,False,0.10150719434022903
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,0,False,0.1582707017660141
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,0,False,0.24554608762264252
khanza faiha tfo,1,0,False,0.09475497901439667
😅😆,1,0,False,0.4422975778579712
حياتي كامل كرهت زوج عباد برك اكتشف الجزاءر وجدي الكبير استوطن,1,0,False,0.36792677640914917
مهم حاول خير فخونشي صح,1,0,False,0.04128660261631012
هواتف رديءه باسعار باهضه,1,0,False,0.047134172171354294
hasbiya allah wa ni3ma el wakil fik,1,0,False,0.157861590385437
ان شاء الله قاع يتحاسبو,1,0,False,0.23752649128437042
خلونا الدراما والعاطفه تاكدنا بلي ربراب غالط ندافعوا علاخاطر قبايلي كقبايلي نقول بلي خان ثقتنا السنين ومايسحقش ندافعوا ثبت ادانته يعني سقوط رءوس الفساد وماتخافوش ماراهمش رايحين يسلكو السعيد وجماعته ودالته يكن ربك نسيا نهدرو بالعقل,1,0,False,0.3111879229545593
anta arkhis,1,0,False,0.44768431782722473
احنا الجزايرين قاعدين نكسرو بعضانا تشراك الفم,1,0,False,0.047499753534793854
يا جماعه مافهمت والوا قاستو الرجله النيف يتكلم الدين يقول المنكر الفساد حنا كامل نخافوا ربي نتقوه نتوما كامل تحبوا الغفه الطهاره املا شكون راه يكذب بنات الناس شكون راه يزني البغايا العاهرات تقولولي الشرطه الامن شكون الشرطه شكون ياخي منا علينا كامل جزايرين يحل فموا يبدا بنفسه يتقي اله ربي يهدينا يرفق بينا,1,0,False,0.4437558054924011
الكل مع محاربه الفساد والفاسدين المشكوك فيهم ولست متضامن مع ربراب ولا غيره فالمحكمه هي الفاصل,1,0,False,0.1431140899658203
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,0,False,0.056376729160547256
مادام القبائل مع ربراب فان ربراب مظلوم جيبو حداد لا واحد اخر تشوفو لقبايل كيفاش يبولو عليه,1,0,False,0.3443717062473297
alkhana mol mazda hadi srarlek lik,1,0,False,0.25992482900619507
نوميديا بزول,1,0,False,0.010341339744627476
بهلول,1,0,False,0.36420920491218567
بالنسبه لناس الي تادفع ربراب بحجه توفيره لمناصب شغل سجنه سيجعل الاف الناس بطاله ويقولك ماغاضنيش ربراب غاضوني الناس الي تقطع رزقها نقولهم كيما قولتو لبوليسي نحي الكاسكيطا وارواح معانا وقلتولو خاوه خاوه والرزق ربي نقولكم ربراب يتحاسب وخاوه خاوه والرزق ربي واذا مانصب الشغل حداد تاني موفر مناصب شغل وكونيناف موفر مناصب شغل تاني ماغاضنيش البوشي غاضوني الناس الي كانو يخدمو معاه ويبيعو فالكوكاين وماغاضنيش الصراف تاع الزطله غاضوني الناس الي تبيع بالطرف وتسترزق منو,1,0,False,0.2859010696411133
يالمنافقين,1,0,False,0.011377446353435516
اح لفريش,1,0,False,0.03439244627952576
