texte,vrai_label,label_predit,est_correct,probabilite_positive,probabilite_negative
يا خي بترونه,1,1,True,0.9148712,0.085128784
الله يسلمك كيفاش حتى تفكرتونا ااه,0,0,True,0.0057937633,0.99420625
تفضلي سقسي فرنديقتي علاش مترده,0,0,True,0.009468847,0.99053115
بغل حركي,1,1,True,0.99078244,0.00921756
خارينا,1,0,False,0.39819255,0.6018075
بنات الفميليا الجزاءر,0,0,True,0.018268164,0.98173183
الله يبارك ما شاء الله,0,0,True,0.002042374,0.99795765
حنا ربراب ونتوما جيبو السعودين يديرو السكر,1,1,True,0.980312,0.01968801
جاوبني كي تشوف لميساج فضلك راني مزروبا,0,0,True,0.0021093285,0.99789065
الكلام الميدان ياسي حفيظ وراء الاقطار النفاق الاعتناق اعتدنه منك العارفون يعرفون يبقي لك سوي الجاهلون انصار,1,1,True,0.99868923,0.0013107657
روحي تعلمي لزيغوي ولا نقي نيفك وكتي علي,1,1,True,0.9979348,0.0020651817
انا شريتها من قسنطينه,0,0,True,0.0078705605,0.99212945
المهيم اكرمو متشبهي النساء يموتو ميكرموش النساء,1,0,False,0.2823517,0.71764827
انتوما لي تخباو مور تيليفون لنميمه يا عبد اله كونك راجل قدرتش الاقل كون بنت فاميليه,1,1,True,0.9610026,0.03899741
اخويا واله ضنيت البلديه لي دشناتو ماشي الشعب علا,0,0,True,0.007812228,0.9921878
القبايل رجال هدو اقليه لي ستفادو ربراب راهم يديرو مسيره الصحافه راهي ضخم الامر,0,0,True,0.031089762,0.9689102
بركولي ليوم شريت,0,0,True,0.015848009,0.984152
نتا مضلوم اسي ربراب من اين لك هذا معليش والله تتحاسبو عليها قااع اولاد فرنسا,1,1,True,0.9870444,0.012955606
المهم يا زيطوط تموت تدفن ثمه كي الكلب مكاش حتا لي يترحم خنتو اوطانكم,1,1,True,0.9974885,0.0025115013
من الحراش واحد من لزمو ربي يهدينا ويهديهم هكذا يكونو الرجال,1,1,True,0.94631493,0.05368507
الي روتور,0,0,True,0.16092646,0.83907354
matahachmouch shab rachad zenzla ou mazalkoum dirou el politique haya allah el bghoula,1,0,False,0.07773991,0.9222601
عملاء فرنسا يسيطرون الجزاءر,1,1,True,0.934658,0.06534201
الله يرحم من ماتو يشفي الجرحى اتقوا الله يا سائقي الحافلات في زبائنكم,0,0,True,0.0069092405,0.99309075
تحرمن كيو تاع حمادي,0,0,True,0.02014498,0.979855
فيف لقبايل,0,0,True,0.36481884,0.6351812
اه يالزح ما تفكرناش,0,0,True,0.033356544,0.96664345
جاري الخروج الصفحه الكاشيريه,1,1,True,0.80114406,0.19885594
ربي يهديكم,0,0,True,0.07846423,0.9215358
وعلاه كاين ياعاءشه ربي يديمك معنا اخت معزه مكرمه,0,0,True,0.001959371,0.9980406
ربي يحفظك الشيخ وربي يرحم امك ويرحم امي شاء اله ويجعل مثواهما الجنه شاء اله متنساش تستغفر ونتمني ربي يحقلك واش تمني,1,1,True,0.99939406,0.0006059408
نعل راسه نتاعك خماج ليوم ربحتي لباك غدوا تربحي ناار,1,1,True,0.997703,0.0022969842
تحيا الجزاءر وربي يرحم الشهداء,0,0,True,0.009777669,0.99022233
نعبد ربي الحمد اله يا رب,0,0,True,0.047141805,0.9528582
جي دورونج تاع التفاح,0,0,True,0.026288643,0.9737114
naima bitalmaa tahball mouti ya naima lafouhiste,1,1,True,0.96871823,0.03128177
انت يا زيتوت بريطاني واش دخلك في الجزايرهذه كلمه حق يراد من ورائها باطل لي ما يعرفكش يا زيتوت يحسبك عمر بن عبد العزيز وانت سحليه سامه,1,1,True,0.998596,0.0014039874
الله افرج اسرحوا السيد يسعد ربراب محترم ولا يستحق هذه المعامله النظام الفاسد هو الي حبسوا لانه يريد الخير للبلاد ربي يحفظوا يسلك السراحوا انا ليس لي علاقه به ولا بشركته لكن لا احب الظلم انه استاد محترم,0,0,True,0.0017785855,0.9982214
وانت وين راك,0,0,True,0.3845594,0.6154406
زيد قولنا بلي عبله لي دارو الزلزال من اجل وقف الحراك ااه بصحتك لقيتي الحمير لي يتبعوك,1,1,True,0.99109507,0.008904934
انشاء اله كمل يبراو مرض سرطان,0,0,True,0.04295819,0.9570418
ربي يحفدك استاذ يرحم روح امك الطاهره انشاء اله قاع نربحو نجيبو الباك هاد العام,1,1,True,0.999358,0.0006420016
10 مليار دولار واش حسبتونا مهابل احشموا على ارواحكم يكفيكم استغباء استحمارا للشعب سراقين واه,1,1,True,0.99239117,0.007608831
لقد اشتريت واحده ولم اعلم,0,0,True,0.00072661013,0.9992734
نحي فلسطين دار اسراءيل💔☹,0,1,False,0.77605975,0.22394025
دوك الصلاه تمنيكو بيها,1,1,True,0.74386007,0.25613993
يوجد نقطه بيع ولايه سكيكده,0,0,True,0.00046360213,0.9995364
جيبولي الفايسبوك الحراك يدافع حداد وكونيناف واويحي ربراب يدعمه الكثير احرار الجزاءر,0,0,True,0.031991895,0.9680081
المقاطعه فن يجب يصاب البعض بالهفه ويشتري العشرات الزيت,0,0,True,0.021335432,0.9786646
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,True,0.36570308,0.6342969
لي خصو كلب مغربي يجي يدي التعليقات وشكرا,1,1,True,0.9989496,0.0010504127
ربي يجيب الخير لبلاد يارب واسترنا يارب يارب واحمي شبابنا وامهاتنا وشيوخنا يارب متنساوش خاوتي سينياليو فيديو يزرع الفتنه الجزاءرين,1,1,True,0.993232,0.006767988
دير القايد تبون تخافيش,0,1,False,0.96503717,0.034962833
انتوما لي راكو تسبو كلا الطرفين حمير التهريب يخدموه المعلمين القياده كلا الطرفين يا لحمير يدخل الزطله لدزاير يدخل الكاشيات لمغرب هدم بيوت الناس عيب رخيس لي قال بلي هاذو خونه يجي لباب العسه يشوف الارض تقع الحدود ملك لمجاهد يهرب السلاح وقت الثوره المغاربه حاربو معانا يا لفرخا ونتا يا لحمار لي راك تسب الجزاير واله خطاتكم دزاير اله يا المجاعه غي حكمتكم انعلو الشيطان خطيكم السب مفارخ الكيف راه يفوت فالبحر بالقليسور مشي التراب يا محمر المهم تحيا المساكين بغا مغاربه جزايرين,1,1,True,0.99891484,0.0010851622
الكعباخطرمنذالكورونا,1,0,False,0.39819255,0.6018075
ماعندو مادخلك اقعد في قشورك وتلها فرواحكم,1,1,True,0.98538554,0.014614463
النور والسرور وبونجور عليكم توجور ☕بالعسل والكونفيتور019نحبو بزاف دقله نور 🌴ولا داعي يا اسحاق لياجور😁,0,0,True,0.038099974,0.9619
تكتب ضواحيها ليس ظواحيها,0,0,True,0.25523967,0.74476033
منشن المحاسب السابق الملياردير الحالي مصاص دماء الجزائرين ومحتكر,1,1,True,0.9891884,0.010811627
مول لباج عطيوه غير كيلو مخلط تاع الديسير غايسكت,0,0,True,0.32008302,0.679917
se9si yemak tgoulk awlid,1,1,True,0.98511916,0.014880836
مهمتك ايها المرتزق هي تحريض الشعب على حرق بلادو ماشي اسقاط النظام بل اسقاط الجزائر كما سقطت سوريا والعراق وليبيا ثم ستختفي تنتهي مهمتك كما اختفى المعريضين السورين والعراقيين واللبيين الذين حرضوا شعبهم في بلاطوات الجزيره الصهيونيه,1,1,True,0.9984072,0.0015928149
el khra yaw,1,1,True,0.6106998,0.38930023
بركاكم الكذب الناس,0,1,False,0.5903229,0.4096771
واله حاجه متخرجني,0,0,True,0.017698633,0.98230135
khanza faiha tfo,1,1,True,0.52157193,0.47842807
صحا المازدا شكون نتا لي يقول احرار ياو فاقو هذا السيد دار لجوء سياسي باش يهجر ويعيش حياه اوروبه انت كافي ماتقدرش تكافيني يابغل انا وزيطوت واشباهكم تفرو صوالح الصهاينه بفئه من شباب الصاروخ وليريكا ماهوش فايق لعمرو,1,1,True,0.99937856,0.000621438
مليح مليح حتى انا حبستهم مده عام زياده مي دروك وليت نشربهم خطره على خطره ماكاش كيما الماء سيرتو الصباح على الريق,0,0,True,0.000904333,0.9990957
وانتم سعداء انقياء بقلوب بيضاء وجوه مشرقه مبتسمه وانتم امنين مطمءنين عيدك مبارك سعيد وكل وانت بخير جعلني اله واياك اهل الجاءزه المبارك واسال اله العلي القدير يعيده علينا اعواما عديده وازمنه مديده ونحن والامه الاسلاميه صحه وامن وسلام وعافيه 😘💓,0,0,True,0.26503417,0.7349658
اله ينعلك انت لست مربيه اجيال انت وحش بلا قلب قلبك كليته اله يستر وانت يا بنيتي ربي يشفيك يحفضك يارب,1,1,True,0.9987332,0.0012667775
