texte,vrai_label,vrai_label_numerique,label_predit,label_predit_numerique,probabilite_positive,probabilite_negative,est_correct
انا شاويه بصح جامي لا شديتو هذ العلم بصح مكلاه الفتن كيما نتا متشتيش يسبولك يماك معندكش الحق دنس علم يمثل رمز اعتزازلانسان اوخر ماش جاست كامل,0,0,1,1,0.97214913,0.027850866,False
بركاكم الكذب الناس,0,0,1,1,0.77326655,0.22673345,False
مخروب,0,0,1,1,0.8576234,0.1423766,False
هاذي صناعه جزاءريه,0,0,1,1,0.7343054,0.26569462,False
المهم ترقبوا عوده زيت السانقو صفيه بقوه ببوشون واحد فقط تستطيع قلي خروف بشحمه ولحمه وتشتريه بثمن قهوه ومعلب في قاروره قصديره ملعونه ذبحت يدي في محاوله فاشله لفتحها من اجل قلي البطاطا على شاطئ البحر وتوكل اافريت بطعم الدم ونتا جد فرحان وسعيد في حين ربراب يضرب في الصبه بطعم عصير المقارون هو ومعه ربراب وعائله خنينف اللذين بنوا السجون ودشنوها مبكرا عن طريق خط مواصىلات سيدي محمد الحراش السريع,0,0,1,1,0.80584353,0.19415647,False
وعلاه زدت كلمه البائسين كيف تخاف الفقر والله رازق فقد رزق الطير حوت في بحر,0,0,1,1,0.7644331,0.23556691,False
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,0,1,1,0.99163896,0.008361042,False
المهم ماتشريش زيت ربراب,0,0,1,1,0.51201093,0.48798907,False
شعار حاول انك انثي 😐👎,0,0,1,1,0.98584205,0.014157951,False
اغسل فمك بش تهدر ربراب,0,0,1,1,0.98772174,0.012278259,False
نتا منين يرحم باباك,0,0,1,1,0.98117435,0.01882565,False
الرابحين الطمبوله,0,0,1,1,0.93641543,0.063584566,False
زيدلها المازدا,0,0,1,1,0.9616483,0.038351715,False
استقلال مختطف فيق يا شعب,0,0,1,1,0.97090673,0.029093266,False
لطفي الله يخليك تبهدل في خسارين لبلاد,0,0,1,1,0.99223244,0.007767558,False
ديرش هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,0,1,1,0.6483917,0.35160828,False
ما ديرش mca مع هذو الخرطي المولوديه كيان اسلام فريق تاع شهداء نادي الطبقه الفقيره ❤💚,0,0,1,1,0.9514136,0.04858643,False
زيد اكشفهم انت ديمقراطي,0,0,1,1,0.9175611,0.082438886,False
هدي لناس لي يقولك اروح لبلاد واهدر هوما الخارجوهبلوهم,0,0,1,1,0.54563594,0.45436406,False
خلاط,0,0,1,1,0.88018996,0.119810045,False
